# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 17
# run: 2fc5ad13-15eb-48ad-b8f2-377dd8415b73
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67698	118800	950400	0	0	34.82558497034162	34.961793020157	61.71043266099541	61.71043266099541	2.9227621359244864,2.9227621359244864,2.9227621359244864,2.9227621359244864,2.9227621359244864,2.9227621359244864,15.763877212082996,21.673177421959537,21.673177421959537,21.673177421959537,21.673177421959537,21.673177421959537,21.673177421959537,21.673177421959537,21.673177421959537,21.673177421959537,21.673177421959537,21.02658102979612,21.02658102979612,21.02658102979612,25.88678353402419,25.88678353402419,23.98404243041049,23.98404243041049,29.071652337097454,29.071652337097454,29.071652337097454,29.071652337097454,31.66860392151939,32.402703071228075,32.402703071228075,32.402703071228075,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,31.626446475427457,34.30544417484177,34.30544417484177,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.961793020157,34.82558497034162,34.82558497034162,34.82558497034162,34.82558497034162	0.9960817657423182	34.961793020157	19	false	1527
26	15	15	100	67857	118800	950400	0	0	46.05247528339287	46.05247528339287	70.21363632911276	70.21363632911276	32.824294103173735,32.824294103173735,32.824294103173735,42.72567690716498,42.72567690716498,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,42.6469065406552,46.05247528339287,46.05247528339287	0.9958718681688247	46.05247528339287	19	false	553
27	16	16	100	68191	126720	1013760	0	0	21.41880061745845	35.17892709247747	72.24317221264103	71.0396644444738	31.676484368899388,31.676484368899388,35.17892709247747,29.290006814651214,29.290006814651214,29.290006814651214,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,24.594750056829476,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845,21.41880061745845	0.9954479788859564	35.17892709247747	22	false	735
28	18	18	100	68207	142560	1140480	0	0	50.66174095100803	50.972431606238004	83.29020890119345	83.1408346244803	22.85743455088459,22.85743455088459,35.000248586914395,40.86640181217296,40.86640181217296,40.202607989264976,40.202607989264976,40.202607989264976,40.202607989264976,40.68913455557741,40.68913455557741,38.05554374104085,38.05554374104085,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,43.07462981281613,42.801796644982275,41.60999835482099,46.947879092137185,46.947879092137185,46.947879092137185,46.947879092137185,49.84807297343998,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.972431606238004,50.66174095100803,50.66174095100803,50.66174095100803,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,49.10487538751269,50.66174095100803,50.66174095100803,50.66174095100803,50.66174095100803,50.66174095100803,50.66174095100803	0.9952459040363794	50.972431606238004	20	false	316
29	20	20	100	68939	158400	1267200	0	0	70.39519760047065	70.39519760047065	93.47330378850391	93.47330378850391	41.363244492562586,41.363244492562586,41.363244492562586,55.733627152808666,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,56.998212895601526,63.677439351675815,63.677439351675815,63.677439351675815,64.74142495902733,64.74142495902733,64.74142495902733,64.74142495902733,64.74142495902733,64.74142495902733,67.93858779240179,68.94112704589347,66.66260043449284,66.66260043449284,66.66260043449284,65.08957365917824,65.08957365917824,65.08957365917824,65.08957365917824,65.08957365917824,65.08957365917824,65.08957365917824,65.08957365917824,65.08957365917824,65.08957365917824,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,67.36810027057886,70.39519760047065	0.9948494308420032	70.39519760047065	16	true	288
30	20	20	100	68770	158400	1267200	0	0	77.2161543655138	77.2161543655138	94.77853187787619	94.77853187787619	66.67182408463589,66.67182408463589,66.67182408463589,69.39036847308321,69.39036847308321,69.39036847308321,69.33246121514341,69.33246121514341,67.23000471503016,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,71.1420388827388,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,74.04550628722633,76.44997668120041,76.44997668120041,76.44997668120041,76.44997668120041,77.2161543655138,77.2161543655138,77.2161543655138,77.2161543655138	0.9947698145210228	77.2161543655138	14	true	297
31	21	20	100	68656	158400	1267200	0	0	-8.861593300028112	-1.7984221068685713	77.75532606120743	77.89924917871214	-13.244342881113168,-13.244342881113168,-26.23674865689867,-26.23674865689867,-19.09527819845038,-10.97442712538577,-10.90724272940885,-10.90724272940885,-10.90724272940885,-15.399604033976388,-15.399604033976388,-15.399604033976388,-15.399604033976388,-22.092850090062328,-14.596650493352556,-14.596650493352556,-14.596650493352556,-14.596650493352556,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-20.110802966438023,-13.885069754657266,-13.885069754657266,-19.330926339727455,-22.274759985290373,-22.274759985290373,-22.274759985290373,-22.274759985290373,-22.274759985290373,-22.274759985290373,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-25.886224698361517,-5.699311899323547,-1.7984221068685713,-2.6099418912175807,-2.8617280545267363,-5.083813529647447,-7.07516632404737,-7.07516632404737,-7.07516632404737,-7.07516632404737,-9.695884383179244,-9.695884383179244,-9.695884383179244,-9.695884383179244,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112,-8.861593300028112	0.9934708402482799	-1.7984221068685713	24	false	286
32	23	23	100	69574	182160	1457280	0	0	21.248294742282937	22.137995881031806	86.79611557969749	87.4832411735581	10.993201826992552,10.993201826992552,15.457149041333043,13.388461013251534,20.188602271994753,22.137995881031806,22.04569179854935,22.04569179854935,22.04569179854935,22.04569179854935,22.04569179854935,22.04569179854935,19.812388731125324,19.812388731125324,19.812388731125324,19.812388731125324,19.812388731125324,19.214189502269353,17.3700475158917,17.3700475158917,17.3700475158917,17.3700475158917,17.3700475158917,17.3700475158917,17.3700475158917,16.225002955625783,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,14.266723735669608,19.857152068721668,19.857152068721668,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937,21.248294742282937	0.992905593613148	22.137995881031806	24	true	578
33	24	22	100	69269	174240	1393920	0	0	29.297691158935695	29.297691158935695	84.50185166749819	84.50185166749819	19.319647565515837,19.319647565515837,19.893970197952285,19.893970197952285,18.94920616224993,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,14.569055932664813,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,17.255862267976898,18.300167784972633,18.300167784972633,18.300167784972633,18.300167784972633,18.300167784972633,29.060287664767788,29.060287664767788,29.060287664767788,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695,29.297691158935695	0.9928647984734722	29.297691158935695	21	true	295
34	25	20	100	68788	158400	1267200	0	0	-2.65654419158464	-2.65654419158464	75.37839949297657	75.37839949297657	-46.568044293479815,-46.568044293479815,-30.730072031521622,-47.766463519659126,-47.766463519659126,-48.77375396935982,-48.77375396935982,-50.353641820917616,-50.353641820917616,-50.353641820917616,-50.353641820917616,-50.353641820917616,-62.289150431217365,-66.56727388327344,-66.56727388327344,-66.56727388327344,-71.4735501835596,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-76.98786062736707,-73.31859563205961,-73.31859563205961,-73.31859563205961,-73.31859563205961,-73.31859563205961,-70.24629940513238,-60.58503741712977,-48.79352828772477,-48.79352828772477,-48.79352828772477,-49.770133239822826,-49.770133239822826,-49.770133239822826,-49.770133239822826,-49.770133239822826,-49.770133239822826,-49.770133239822826,-49.770133239822826,-40.531417506522885,-31.483313274444825,-24.623779490169397,-15.963276243956003,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-9.504774812002509,-10.783158204981614,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464,-2.65654419158464	0.992981408236524	-2.65654419158464	21	false	343
