# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 19
# run: 4dee0034-5177-475c-a895-7d809cea4432
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67869	118800	950400	0	0	33.95535283087502	34.847656722346166	64.49578967688957	64.44862300276866	4.9561602839552705,4.9561602839552705,2.922543351837632,2.922543351837632,2.922543351837632,2.922543351837632,15.762678864450471,21.671763609989895,21.671763609989895,21.671763609989895,21.671763609989895,21.671763609989895,21.671763609989895,21.671763609989895,21.671763609989895,21.671763609989895,21.02679961173699,21.02679961173699,26.544044934023063,26.544044934023063,26.544044934023063,25.887601523503207,25.887601523503207,25.887601523503207,25.887601523503207,25.887601523503207,30.975090303704278,30.975090303704278,29.070498711799182,29.070498711799182,29.070498711799182,31.667220957390526,31.667220957390526,31.667220957390526,31.667220957390526,31.667220957390526,31.667220957390526,31.667220957390526,31.667220957390526,31.667220957390526,32.40063899251835,32.40063899251835,32.40063899251835,32.40063899251835,32.40063899251835,32.40063899251835,32.40063899251835,32.40063899251835,32.40063899251835,31.667220957390526,31.667220957390526,31.667220957390526,33.57181254929562,33.57181254929562,33.57181254929562,33.57181254929562,33.57181254929562,33.57181254929562,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.22825595981548,34.847656722346166,34.847656722346166,34.847656722346166,34.847656722346166,34.847656722346166,34.847656722346166,34.847656722346166,34.847656722346166,33.95535283087502,33.95535283087502,33.95535283087502	0.9960817657423182	34.847656722346166	19	false	1363
26	15	15	100	67681	118800	950400	0	0	48.28963535194651	50.62142168295198	74.06053615644063	74.06053615644063	47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,47.57835768869618,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,50.62142168295198,49.054854745700446,49.054854745700446,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651,48.28963535194651	0.9960817657423182	50.62142168295198	18	false	627
27	15	15	100	67952	118800	950400	0	0	59.67231766429001	59.67231766429001	76.97350779608169	76.97350779608169	56.39707532814975,56.39707532814975,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,55.11734709296214,57.35422982289881,57.35422982289881,57.35422982289881,59.67231766429001,59.67231766429001,59.67231766429001,59.67231766429001,59.67231766429001,59.67231766429001,59.67231766429001,59.67231766429001	0.9960817657423182	59.67231766429001	16	false	589
28	15	15	100	67757	118800	950400	0	0	54.70477575436177	54.70477575436177	72.46221167689421	72.46221167689421	25.68069307999717,25.68069307999717,25.68069307999717,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,31.572033627928178,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,45.6953137445923,36.72762327290762,36.72762327290762,36.72762327290762,36.72762327290762,36.72762327290762,42.438192278321374,41.63089302775192,47.105074478202006,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177,54.70477575436177	0.9956704147505866	54.70477575436177	16	false	503
29	17	17	100	68183	134640	1077120	0	0	28.731520016058575	40.32859644786793	82.29477967500095	81.88089452131378	29.218286077420963,29.218286077420963,35.76859586527167,40.32859644786793,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575,28.731520016058575	0.9952702495229601	40.32859644786793	20	false	240
30	20	19	100	68749	150480	1203840	0	0	38.90129138800853	54.547114737416564	88.47706743664588	88.37646940807912	40.367459913561596,40.367459913561596,52.02733404490819,52.02733404490819,54.547114737416564,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,46.52613109734002,44.572144334857306,44.572144334857306,44.572144334857306,44.572144334857306,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,41.50732533920493,42.70108648317813,42.70108648317813,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,42.54122756242309,43.49259081329953,43.49259081329953,43.49259081329953,43.49259081329953,43.49259081329953,48.368656277362106,48.368656277362106,49.28647021124743,48.36823065031713,46.48233714535086,46.48233714535086,46.48233714535086,46.48233714535086,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853,38.90129138800853	0.994886278064936	54.547114737416564	20	true	364
31	20	17	100	68151	134640	1077120	0	0	57.40680702723942	57.40680702723942	80.78558229068558	80.78558229068558	22.081941176535835,22.081941176535835,21.162572616463677,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,14.073664735806737,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,17.513027696834783,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,20.056407171892488,26.76817898869929,39.406558447182256,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942,57.40680702723942	0.9949912268516825	57.40680702723942	17	false	337
32	21	18	100	68506	142560	1140480	0	0	32.94953228182653	32.94953228182653	77.1575078246533	77.1575078246533	30.549759806747197,30.549759806747197,30.398860627515077,31.116800725638043,30.312317244194517,30.312317244194517,30.312317244194517,26.26849213860899,22.97289431809908,18.634003747363273,18.634003747363273,18.634003747363273,18.634003747363273,18.634003747363273,18.634003747363273,18.634003747363273,18.634003747363273,18.634003747363273,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,26.006718194420465,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653,32.94953228182653	0.9939393263684283	32.94953228182653	22	false	831
33	23	20	100	68792	158400	1267200	0	0	-15.530160318758789	6.349446178347286	75.35837125385972	74.74278261178983	-19.9568662677719,-19.9568662677719,6.191198449443881,2.2622492993580323,2.2622492993580323,4.325502708268395,5.6791555187960086,6.349446178347286,6.349446178347286,6.349446178347286,6.346716688509652,6.346716688509652,6.346716688509652,6.346716688509652,4.305514647596901,2.232733576118479,-0.5975126564936151,-0.5975126564936151,-8.932964072932592,-15.107858316104284,-15.107858316104284,-15.107858316104284,-15.107858316104284,-15.107858316104284,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.676774320151594,-19.766623149725334,-19.766623149725334,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-20.787081034810164,-24.454716894211067,-24.454716894211067,-24.454716894211067,-24.454716894211067,-24.454716894211067,-24.454716894211067,-24.454716894211067,-24.454716894211067,-30.090197147068718,-30.090197147068718,-30.090197147068718,-25.748510049121048,-27.83461477716142,-27.83461477716142,-27.83461477716142,-27.83461477716142,-23.502982234035883,-19.19779617815969,-19.19779617815969,-19.19779617815969,-19.19779617815969,-19.19779617815969,-15.530160318758789,-15.530160318758789,-15.530160318758789,-15.530160318758789,-15.530160318758789,-15.530160318758789	0.9932319547305546	6.349446178347286	28	false	290
34	23	19	100	68833	150480	1203840	0	0	23.87234349114872	30.313395669365157	64.49088125403765	64.50348908036868	-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-35.93417730774782,-22.724364920324135,-22.724364920324135,-21.75828124437298,-22.06192975159729,-22.06192975159729,-22.06192975159729,-22.06192975159729,-22.06192975159729,-22.06192975159729,-22.06192975159729,18.201946201715714,20.81961057337989,20.81961057337989,20.81961057337989,16.29674047400401,16.29674047400401,16.29674047400401,20.691570369682992,20.691570369682992,20.691570369682992,20.691570369682992,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,24.595761761445857,27.963078150707787,27.963078150707787,27.963078150707787,27.963078150707787,27.963078150707787,27.963078150707787,29.692314515926128,30.313395669365157,26.51327174588222,26.51327174588222,26.51327174588222,26.51327174588222,26.51327174588222,23.87262642829854,23.87234349114872,23.87234349114872,23.87234349114872,23.87234349114872	0.9929672249800776	30.313395669365157	22	false	258
35	24	18	100	68325	142560	1140480	0	0	2.836015395102841	7.147985176462825	59.296581156695424	57.90316783093584	-89.12812657931924,-89.12812657931924,-89.12812657931924,-89.12812657931924,-84.60853066578113,-84.60853066578113,-84.60853066578113,-84.60853066578113,-84.60853066578113,-72.21999014602655,-67.99760400348386,-62.40191813459835,-51.921115391258525,-46.78595454135169,-26.085149734656532,2.3779335494233393,7.147985176462825,3.202320480247117,0.06449622356558393,0.06449622356558393,0.06449622356558393,0.06449622356558393,0.06449622356558393,0.06449622356558393,-0.9908857820948498,-3.4051076184088913,-3.4051076184088913,-5.925292329382131,-2.937196342531678,-0.8061816681349967,-0.8061816681349967,0.5339161266831738,0.5339161266831738,1.1392504137522579,1.1392504137522579,-0.19713157332270015,-0.19713157332270015,-0.664597773793794,-0.664597773793794,-3.2671420474815207,-3.2671420474815207,-3.2671420474815207,-3.2671420474815207,-3.2671420474815207,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-4.171849604869955,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-1.5693053311822283,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,-0.664597773793794,2.836015395102841,2.836015395102841,2.836015395102841,2.836015395102841,2.836015395102841	0.9928961624787067	7.147985176462825	26	false	267
