# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 21
# run: 50a5303a-2717-4efe-921f-357dbc90fa21
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67432	118800	950400	0	0	33.95799188213528	34.96389815986568	63.5988772938599	64.42479096190236	2.9276184270692482,2.9276184270692482,2.9276184270692482,2.9276184270692482,2.9276184270692482,9.509854766747182,15.768931158299786,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,21.67804015154607,27.195287648073247,26.53887814472087,26.53887814472087,25.890309918719154,25.890309918719154,25.890309918719154,23.98591492649343,23.98591492649343,23.98591492649343,23.98591492649343,23.98591492649343,23.98591492649343,23.98591492649343,29.072781939293513,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,31.669585193981263,32.40309366428761,32.40309366428761,32.40309366428761,32.40309366428761,32.40309366428761,32.40309366428761,32.40309366428761,32.40309366428761,34.30748865651333,34.30748865651333,34.30748865651333,34.30748865651333,34.96389815986568,34.96389815986568,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.23038968955934,34.85013328395515,34.85013328395515,34.85013328395515,34.85013328395515,34.85013328395515,34.85013328395515,34.85013328395515,34.85013328395515,34.85013328395515,33.95799188213528,33.95799188213528,33.95799188213528,33.95799188213528,33.95799188213528	0.9960817657423182	34.96389815986568	19	false	1456
26	15	15	100	67508	118800	950400	0	0	51.64807032754645	52.457622299400924	72.80300881155395	73.36522974346794	47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,47.67250911853776,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,50.69581184515248,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.14559263614767,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,52.457622299400924,50.89944041185255,50.89944041185255,50.89944041185255,51.64807032754645,51.64807032754645,51.64807032754645,51.64807032754645,51.64807032754645	0.9960817657423182	52.457622299400924	18	false	699
27	15	15	100	67540	118800	950400	0	0	60.2589906794845	60.2589906794845	75.33918072287211	75.33918072287211	58.681463188853414,58.681463188853414,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.38628176257134,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,57.12056799166335,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845,60.2589906794845	0.9959128826372083	60.2589906794845	17	false	536
28	15	15	100	67496	118800	950400	0	0	57.57915704816736	57.57915704816736	73.36406547930828	73.36406547930828	22.478308402380463,22.478308402380463,22.478308402380463,22.478308402380463,24.249563873839183,34.91770053117554,34.91770053117554,34.91770053117554,37.41047125740916,37.41047125740916,37.41047125740916,37.41047125740916,37.41047125740916,37.41047125740916,37.41047125740916,37.41047125740916,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,38.63113329802292,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,44.33435177953044,51.394794898330574,51.870226834380105,51.870226834380105,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,55.219322779319796,57.57915704816736,57.57915704816736,57.57915704816736,57.57915704816736,57.57915704816736,57.57915704816736,57.57915704816736,57.57915704816736	0.9956704147505866	57.57915704816736	16	false	314
29	17	17	100	68084	134640	1077120	0	0	57.87603145207649	57.87603145207649	86.05754248964017	86.05754248964017	44.13450881956392,44.13450881956392,57.601408018975306,57.601408018975306,57.601408018975306,50.003820447327726,50.003820447327726,50.003820447327726,50.003820447327726,50.003820447327726,50.003820447327726,48.62418929693143,48.62418929693143,48.62418929693143,48.62418929693143,48.62418929693143,48.62418929693143,48.62418929693143,48.62418929693143,48.62418929693143,54.46494143945429,54.46494143945429,54.46494143945429,54.46494143945429,54.46494143945429,54.46494143945429,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649,57.87603145207649	0.9953534847676211	57.87603145207649	18	false	259
30	19	19	100	68520	150480	1203840	0	0	49.48913044810887	51.140815255266006	90.12609849059707	90.49802496696259	35.658920868165225,35.658920868165225,51.140815255266006,51.140815255266006,48.74683726903831,46.54288827175629,46.54288827175629,47.022787063450714,47.022787063450714,47.022787063450714,47.022787063450714,47.022787063450714,47.022787063450714,45.489566242757824,45.489566242757824,45.489566242757824,45.489566242757824,45.489566242757824,45.489566242757824,45.489566242757824,45.489566242757824,45.489566242757824,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.221938021659525,46.09824632978004,46.09824632978004,45.155161323769384,45.155161323769384,45.155161323769384,45.155161323769384,43.355980862513604,43.355980862513604,43.355980862513604,43.355980862513604,43.355980862513604,43.355980862513604,43.355980862513604,43.355980862513604,43.355980862513604,43.355980862513604,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887,49.48913044810887	0.9950569889092784	51.140815255266006	20	true	239
31	20	18	100	68131	142560	1140480	0	0	40.55997640621227	42.49934632726456	85.37403203753168	84.69136255763992	42.49934632726456,42.49934632726456,37.64401455578916,38.94208984049086,38.94208984049086,38.94208984049086,40.9177270117026,40.85078091720886,37.77615780543685,33.08756830327147,33.08756830327147,33.08756830327147,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,29.271041182594594,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,33.08756830327147,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,34.49267405704124,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227,40.55997640621227	0.9948566686893648	42.49934632726456	22	false	466
32	21	19	100	68491	150480	1203840	0	0	41.27699942236013	42.152283875635675	79.2298907022487	78.37241051967253	13.6156899122252,13.6156899122252,21.340477273276065,30.827511207221193,30.827511207221193,30.827511207221193,30.827511207221193,35.03390907405873,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,35.98010058145158,35.98010058145158,35.98010058145158,35.98010058145158,35.98010058145158,35.98010058145158,35.98010058145158,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,33.060871078063386,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,35.03390907405873,37.54664489216778,42.152283875635675,42.152283875635675,42.152283875635675,42.152283875635675,42.152283875635675,42.152283875635675,42.152283875635675,42.152283875635675,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013,41.27699942236013	0.9938670575591637	42.152283875635675	23	false	247
33	22	20	100	68770	158400	1267200	0	0	11.729770091707266	17.462907528640017	73.85660024376472	73.798764323834	-7.448830841044938,-7.448830841044938,7.820005900552204,7.820005900552204,9.382450368574911,10.36384279933049,10.36384279933049,11.54716224025632,11.54716224025632,11.54716224025632,11.54716224025632,11.54716224025632,12.343640199414658,11.54716224025632,11.54716224025632,11.54716224025632,10.82758562387788,10.82758562387788,10.82758562387788,10.82758562387788,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.696322506176422,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.753263747695907,7.250873768555463,7.250873768555463,7.250873768555463,7.250873768555463,5.85736108326112,0.10884182050136282,0.10884182050136282,0.10884182050136282,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,-4.896447198066792,1.2376589447693327,1.2376589447693327,1.2376589447693327,7.059618818502964,7.059618818502964,15.697093578271815,15.697093578271815,17.175588522368926,17.175588522368926,17.462907528640017,17.462907528640017,17.462907528640017,16.66289310491816,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266,11.729770091707266	0.9933005315065688	17.462907528640017	25	false	313
34	22	19	100	68621	150480	1203840	0	0	37.658042682180195	37.658042682180195	65.23736290736336	65.23736290736336	-38.82751141761446,-38.82751141761446,-38.82751141761446,-41.30367800373311,-41.30367800373311,-44.38774427110775,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-48.11187645122888,-39.0304370608913,-39.0304370608913,-35.230600871288665,-34.87051827932676,-34.87051827932676,-9.359237137131185,-12.272830664636041,-12.272830664636041,-9.205673263338705,-9.205673263338705,-6.988886495598203,-6.988886495598203,-6.988886495598203,-6.988886495598203,-6.988886495598203,-6.988886495598203,-6.988886495598203,-0.508425419427903,13.214626126176773,26.82203758031072,31.473171895198455,31.473171895198455,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,31.727219455626674,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,35.62538743547448,37.658042682180195,37.658042682180195,37.658042682180195,37.658042682180195,37.658042682180195	0.9931659733442509	37.658042682180195	20	false	232
