# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 3
# run: 5d5644c4-07c5-42d4-b3f6-d94697d90371
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67789	118800	950400	0	0	41.22903643901542	41.3419958806342	69.11457986842001	69.11249026734669	2.947678738909076,2.947678738909076,2.947678738909076,2.947678738909076,2.947678738909076,9.530492238516146,15.789179761925105,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.698363745008862,21.052004751029415,21.052004751029415,21.052004751029415,26.568291548384423,25.91175840776809,24.009411701718527,24.009411701718527,29.097035055581394,29.097035055581394,29.097035055581394,29.097035055581394,29.097035055581394,30.999381761630957,33.596231022910466,33.596231022910466,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,34.25276416352681,38.17545082681203,38.17545082681203,38.17545082681203,38.17545082681203,41.3419958806342,41.3419958806342,41.3419958806342,41.3419958806342,41.3419958806342,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542,41.22903643901542	0.9966306358339244	41.3419958806342	17	false	1060
26	15	15	100	67657	118800	950400	0	0	51.71989778805615	51.71989778805615	76.33974080006197	76.33974080006197	46.72930931008054,46.72930931008054,46.72930931008054,46.72930931008054,46.72930931008054,46.72930931008054,46.72930931008054,46.72930931008054,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615,51.71989778805615	0.9964291824156865	51.71989778805615	18	false	578
27	15	15	100	67773	118800	950400	0	0	62.082181962523755	62.082181962523755	78.46048343179736	78.46048343179736	57.732760371872594,57.732760371872594,57.732760371872594,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,56.42662828264515,59.81811559950217,59.81811559950217,59.81811559950217,59.81811559950217,62.082181962523755,62.082181962523755,62.082181962523755,62.082181962523755,62.082181962523755,62.082181962523755	0.9960817657423182	62.082181962523755	16	false	320
28	15	15	100	67744	118800	950400	0	0	67.27007861475775	67.27007861475775	81.97403478333605	81.97403478333605	51.22398483346998,51.22398483346998,56.33067332562178,56.33067332562178,60.88767997729315,60.88767997729315,60.88767997729315,62.79221425339991,62.79221425339991,62.79221425339991,62.79221425339991,62.79221425339991,62.79221425339991,62.79221425339991,62.79221425339991,62.79221425339991,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,62.53905188190341,63.61766056005276,63.61766056005276,63.61766056005276,63.61766056005276,63.61766056005276,63.61766056005276,63.61766056005276,63.61766056005276,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,66.20888777883185,67.27007861475775,67.27007861475775,67.27007861475775,67.27007861475775,67.27007861475775	0.9960817657423182	67.27007861475775	15	false	329
29	15	15	100	67998	118800	950400	0	0	72.03850733522106	72.03850733522106	83.76367045158274	83.76367045158274	54.28375454121187,54.28375454121187,54.28375454121187,54.28375454121187,54.28375454121187,59.29824268578137,59.29824268578137,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,63.79886832836586,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,65.51446775534009,67.89504495482946,67.89504495482946,68.96480874319523,68.96480874319523,68.96480874319523,68.96480874319523,68.96480874319523,68.96480874319523,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,70.35555398351484,71.19526293638785,71.19526293638785,71.19526293638785,71.19526293638785,71.19526293638785,71.19526293638785,72.03850733522106,72.03850733522106,72.03850733522106,72.03850733522106,72.03850733522106,72.03850733522106,72.03850733522106	0.9960817657423182	72.03850733522106	14	false	229
30	15	14	100	67815	110880	887040	0	0	42.29727926227646	58.55412696035584	74.95574886693582	75.78583038782413	29.790300699540655,29.790300699540655,27.236443837009826,27.236443837009826,27.236443837009826,27.236443837009826,27.236443837009826,27.236443837009826,27.236443837009826,27.236443837009826,34.224201537794286,34.224201537794286,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,40.8963170098599,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,45.06431761203102,55.50891482700912,55.50891482700912,58.139807165585765,58.139807165585765,58.139807165585765,58.139807165585765,58.139807165585765,58.139807165585765,58.55412696035584,52.17379847876862,52.17379847876862,52.17379847876862,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,47.20533563246293,42.29727926227646,42.29727926227646,42.29727926227646	0.9959217654498799	58.55412696035584	18	false	170
31	15	14	100	67622	110880	887040	0	0	59.19783434123307	59.19783434123307	74.9372726706834	74.9372726706834	24.427113834526647,24.427113834526647,23.93711224326835,23.915826825433378,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,22.54819085783644,29.161290099652028,29.161290099652028,29.161290099652028,35.4303436408484,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,39.36226180978125,47.486889113618474,47.486889113618474,47.486889113618474,47.486889113618474,51.94550177803809,52.13864506835933,52.13864506835933,52.13864506835933,52.13864506835933,52.13864506835933,52.13864506835933,52.13864506835933,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307,59.19783434123307	0.9957118678763863	59.19783434123307	18	false	173
32	16	15	100	67856	118800	950400	0	0	45.98309004697731	45.98309004697731	78.70143507907916	78.70143507907916	4.842785749743706,4.842785749743706,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,28.54255952275427,35.34892624721964,35.34892624721964,35.34892624721964,35.34892624721964,35.34892624721964,35.34892624721964,35.34892624721964,41.82342932822381,41.82342932822381,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731,45.98309004697731	0.99554795622199	45.98309004697731	20	false	784
33	17	14	100	67415	110880	887040	0	0	21.8907873541961	21.8907873541961	69.57335322921722	69.57335322921722	7.640069712570272,7.640069712570272,9.968871782519768,13.62341661764385,10.072894398155137,5.282343432119575,5.282343432119575,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,5.282343432119575,3.71070135894346,3.71070135894346,3.71070135894346,3.71070135894346,10.756923880771545,10.756923880771545,10.756923880771545,10.756923880771545,10.756923880771545,10.756923880771545,10.756923880771545,10.756923880771545,10.756923880771545,17.47188815848626,17.47188815848626,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961,21.8907873541961	0.9954477961120332	21.8907873541961	24	false	202
34	17	14	100	67849	110880	887040	0	0	27.085184456319347	27.085184456319347	71.19133847250666	71.19133847250666	-10.020097153544185,-10.020097153544185,10.869451250268234,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,6.642186428250959,4.25572803991718,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,1.193768226790704,8.629558698290078,8.629558698290078,8.629558698290078,8.629558698290078,8.629558698290078,12.107262343039947,14.995305789657689,14.995305789657689,15.108336139488081,15.108336139488081,22.230321623156634,22.230321623156634,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347,27.085184456319347	0.9954619428136948	27.085184456319347	22	false	183
