# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 9
# run: 6c8bc171-4788-4641-a0ef-47ccd88b8a3b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67620	118800	950400	0	0	31.8398257054219	35.48704453711462	62.7385126236982	62.74322113884109	2.916505589123389,2.916505589123389,2.916505589123389,2.916505589123389,2.916505589123389,9.499212109074364,15.758328516951686,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,21.667560890976148,27.184076107603772,27.184076107603772,27.184076107603772,26.52732396911486,24.62527943988674,29.712696528930095,29.712696528930095,29.712696528930095,29.712696528930095,29.712696528930095,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.266282656982334,32.266282656982334,32.266282656982334,32.266282656982334,32.266282656982334,32.266282656982334,32.266282656982334,32.266282656982334,32.266282656982334,32.266282656982334,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,32.30942388575345,34.211468414981574,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,34.868220553470486,35.48704453711462,35.48704453711462,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,34.5957715011809,31.8398257054219	0.9960817657423182	35.48704453711462	19	false	1323
26	15	15	100	67792	118800	950400	0	0	50.03464488772679	51.08461804605192	71.9110064051483	72.2844914175634	48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,48.04252150790429,51.08461804605192,51.08461804605192,51.08461804605192,51.08461804605192,51.08461804605192,51.08461804605192,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.82549897459209,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679,50.03464488772679	0.9960817657423182	51.08461804605192	18	false	654
27	16	16	100	67728	126720	1013760	0	0	45.07175938881245	45.7799217058742	76.79108527953383	77.67999967193495	41.99789742718896,41.99789742718896,41.99789742718896,45.265300632583546,45.265300632583546,45.265300632583546,45.265300632583546,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.7799217058742,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245,45.07175938881245	0.9956494323041942	45.7799217058742	20	false	1384
28	17	17	100	68005	134640	1077120	0	0	44.338462018468434	48.233981489428956	81.69457144562121	81.6771944539131	18.922374958698967,18.922374958698967,25.799131388001115,34.77491495098175,32.27420168655583,34.11103469533313,38.04326321506123,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,35.86976570794597,39.74331763808972,40.76991485823417,40.76991485823417,40.76991485823417,40.607715715919326,40.607715715919326,40.607715715919326,40.607715715919326,40.607715715919326,38.316907797623045,46.767544308015275,46.7865084074685,46.7865084074685,46.7865084074685,44.00348217138669,44.00348217138669,42.24221151636526,42.24221151636526,42.24221151636526,42.24221151636526,42.24221151636526,42.24221151636526,42.24221151636526,42.24221151636526,42.95565763543941,42.95565763543941,42.95565763543941,42.95565763543941,42.95565763543941,42.95565763543941,42.95565763543941,42.95565763543941,47.823057196224994,47.823057196224994,47.98254706648181,47.98254706648181,48.233981489428956,48.233981489428956,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,46.871948250752354,44.338462018468434,44.338462018468434,44.338462018468434,44.338462018468434,44.338462018468434,44.338462018468434,44.338462018468434,44.338462018468434,44.338462018468434	0.9954391326280697	48.233981489428956	20	false	291
29	18	18	100	68091	142560	1140480	0	0	51.99178733742717	52.108988884230584	84.02073366795159	84.04622837998652	19.060720094855036,19.060720094855036,19.060720094855036,28.90783166087346,28.90783166087346,28.90783166087346,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,45.58367965414516,50.16107701226197,50.16107701226197,50.16107701226197,50.16107701226197,50.16107701226197,50.16107701226197,50.16107701226197,50.16107701226197,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,52.108988884230584,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717,51.99178733742717	0.9950458031451738	52.108988884230584	20	false	246
30	20	20	100	68870	158400	1267200	0	0	65.9783752254686	65.9783752254686	94.19733292404965	94.19733292404965	57.158270040355276,57.158270040355276,57.158270040355276,57.89033902987265,57.07551743484704,57.07551743484704,54.37079590298792,53.260783966216394,53.260783966216394,53.260783966216394,53.260783966216394,53.260783966216394,52.6764274666734,52.6764274666734,51.199961184513484,51.199961184513484,51.199961184513484,48.13720307299276,54.35287235996016,54.35287235996016,54.35287235996016,54.35287235996016,54.35287235996016,60.214313455275445,60.214313455275445,63.69092171396569,63.69092171396569,65.45869386791183,65.45869386791183,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686,65.9783752254686	0.9948494308420032	65.9783752254686	18	true	264
31	20	20	100	68802	158400	1267200	0	0	71.79317311754235	71.79317311754235	87.18614381103964	87.18614381103964	12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,12.911752748811642,45.5142712533511,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,48.4995980415318,52.43057872336867,55.69148312453977,55.69148312453977,55.69148312453977,55.69148312453977,55.69148312453977,55.69148312453977,55.69148312453977,55.69148312453977,58.11183279607687,58.11183279607687,60.272776749740714,61.15322142060499,63.3352218087995,63.3352218087995,63.3352218087995,63.3352218087995,63.3352218087995,64.4546594858628,64.4546594858628,64.4546594858628,64.4546594858628,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,67.55105417098365,70.87956899420507,70.87956899420507,70.87956899420507,70.87956899420507,71.79317311754235	0.994225769660991	71.79317311754235	12	true	582
32	21	20	100	68572	158400	1267200	0	0	26.801933354420633	26.801933354420633	79.60293061797609	79.60293061797609	5.083744043587982,5.083744043587982,0.20802768056926624,-4.396506126487218,-4.396506126487218,-4.396506126487218,-4.396506126487218,-4.396506126487218,-5.414502300106697,-5.414502300106697,-7.104296573384737,-7.104296573384737,-7.104296573384737,-7.104296573384737,-7.104296573384737,-7.104296573384737,-7.104296573384737,-7.104296573384737,-7.104296573384737,-8.822469797833397,-11.339106917549694,-11.339106917549694,-11.339106917549694,-11.339106917549694,-11.339106917549694,-11.339106917549694,-11.339106917549694,-11.339106917549694,-11.339106917549694,-4.605220397269585,-4.605220397269585,-4.605220397269585,-4.605220397269585,-4.605220397269585,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,1.7646410328115731,4.649327683487998,4.649327683487998,4.649327683487998,4.649327683487998,4.649327683487998,7.24908022764548,7.24908022764548,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,16.494496021241964,24.08170861044888,24.08170861044888,24.08170861044888,24.08170861044888,24.08170861044888,26.801933354420633,26.801933354420633,26.801933354420633,26.801933354420633	0.9934708402482799	26.801933354420633	21	false	507
33	21	21	100	68992	166320	1330560	0	0	34.151790315743945	34.151790315743945	83.62774874309004	83.62774874309004	20.231436906204117,20.231436906204117,14.865486310207864,14.865486310207864,14.865486310207864,13.947716074841574,12.174998892845066,12.174998892845066,12.174998892845066,12.174998892845066,12.276014663768256,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,11.756540963205095,21.693512206789336,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,28.12382337887177,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945,34.151790315743945	0.9933785028622396	34.151790315743945	22	false	302
34	23	21	100	68888	166320	1330560	0	0	-2.3298219968235543	4.439417282021884	80.43551297548983	78.68337931630158	-18.62963249697541,-18.62963249697541,4.439417282021884,-11.819292015551563,-17.40955881414916,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-20.504537605742996,-15.0164843780273,-9.886903691034348,-9.886903691034348,-9.886903691034348,-9.886903691034348,-9.886903691034348,-9.886903691034348,-9.886903691034348,-9.886903691034348,-9.886903691034348,-9.886903691034348,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543,-2.3298219968235543	0.9930615728792741	4.439417282021884	28	false	322
