# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 24
# run: 6ecaf380-0c72-4476-aee6-8692b5d8a904
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67792	118800	950400	0	0	34.59472844754065	35.486151913663825	62.79128249937021	62.783857163245315	2.9163310439789853,2.9163310439789853,2.9163310439789853,2.9163310439789853,2.9163310439789853,2.9163310439789853,15.757253559158151,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.666053339636065,21.010118546844495,21.010118546844495,24.623888653581844,24.623888653581844,29.711601958361697,29.711601958361697,29.711601958361697,29.711601958361697,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,33.042025835631605,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,32.30854984187375,34.21085147331289,34.21085147331289,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,34.86678626610446,35.486151913663825,35.486151913663825,35.486151913663825,35.486151913663825,34.59472844754065,34.59472844754065,34.59472844754065,34.59472844754065,34.59472844754065,34.59472844754065,34.59472844754065,34.59472844754065,34.59472844754065	0.9960817657423182	35.486151913663825	19	false	1171
26	15	15	100	67673	118800	950400	0	0	47.95788044486378	51.094388862455254	72.34530463815432	72.93180802411966	48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,48.051920081986616,51.094388862455254,51.094388862455254,51.094388862455254,51.094388862455254,51.094388862455254,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.836442752631065,50.03098543409383,50.03098543409383,50.03098543409383,50.03098543409383,50.03098543409383,50.03098543409383,50.03098543409383,50.03098543409383,50.03098543409383,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378,47.95788044486378	0.9960817657423182	51.094388862455254	18	false	678
27	15	15	100	67454	118800	950400	0	0	60.740616959441944	60.740616959441944	77.41934712299617	77.41934712299617	55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,55.53678293120564,58.52360148503829,58.52360148503829,60.740616959441944,60.740616959441944,60.740616959441944,60.740616959441944,60.740616959441944,60.740616959441944,60.740616959441944	0.9960817657423182	60.740616959441944	16	false	593
28	15	15	100	67501	118800	950400	0	0	64.77533751981422	64.77533751981422	81.26853518105999	81.26853518105999	54.781583309694675,54.781583309694675,59.38697815885593,59.38697815885593,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.363323487723086,61.0772978745299,61.0772978745299,61.0772978745299,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,58.75665250394018,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422,64.77533751981422	0.9960817657423182	64.77533751981422	16	false	1198
29	15	15	100	67607	118800	950400	0	0	58.3908252372355	58.46725531519689	75.86798683941707	75.86798683941707	16.261904951551344,16.261904951551344,13.708005707385283,13.708005707385283,23.88779810595402,25.206722931909294,31.977332665956407,31.977332665956407,31.977332665956407,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,36.400676636310635,39.02326301551939,39.02326301551939,39.02326301551939,39.02326301551939,39.02326301551939,39.02326301551939,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,40.238187088448285,41.325507594577715,41.325507594577715,41.325507594577715,41.325507594577715,41.325507594577715,49.884325910718275,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,47.05022193156955,49.543358055022665,50.74809383613713,51.32549038796221,51.32549038796221,51.32549038796221,51.32549038796221,51.32549038796221,51.32549038796221,55.887391974961,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.46725531519689,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355,58.3908252372355	0.9956704147505866	58.46725531519689	16	false	206
30	17	16	100	67743	126720	1013760	0	0	35.476315104558545	35.476315104558545	78.08210173853801	78.08210173853801	18.08369956807885,18.08369956807885,29.371532651182314,29.371532651182314,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,9.734206469820721,17.58336920830031,17.58336920830031,17.58336920830031,17.58336920830031,17.58336920830031,17.58336920830031,17.58336920830031,17.58336920830031,25.130868253084806,25.130868253084806,25.130868253084806,25.130868253084806,25.130868253084806,25.130868253084806,25.130868253084806,30.372726157472663,30.372726157472663,30.372726157472663,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545,35.476315104558545	0.9952870281691172	35.476315104558545	20	false	219
31	17	15	100	67592	118800	950400	0	0	27.05379556000816	38.814245485739086	72.68274211947656	73.58459516926894	0.9458840716994317,0.9458840716994317,-1.2102184688168407,-1.2102184688168407,-4.65350161096633,-8.621959657343645,-8.621959657343645,-8.621959657343645,-8.621959657343645,-8.621959657343645,-8.621959657343645,-8.621959657343645,-8.621959657343645,-3.777674058593753,-3.777674058593753,-3.777674058593753,-3.777674058593753,0.5014623696519536,0.5014623696519536,0.5014623696519536,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,2.1436046006307308,6.112062647008045,6.112062647008045,6.112062647008045,6.112062647008045,6.112062647008045,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,5.506875583542936,34.16295709461657,34.16295709461657,34.16295709461657,29.19645035078178,29.19645035078178,29.19645035078178,29.19645035078178,30.53503483904558,36.72814417708955,36.72814417708955,36.72814417708955,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,34.60110163733101,29.349778319930692,29.349778319930692,38.814245485739086,35.8879453323465,33.652703018835695,28.06470438098978,28.06470438098978,23.889199148548045,23.889199148548045,23.889199148548045,23.889199148548045,23.889199148548045,23.889199148548045,27.05379556000816	0.9953069870815391	38.814245485739086	18	false	208
32	18	17	100	67893	134640	1077120	0	0	13.100814898236841	25.66068046537559	82.28581693738974	81.16228852796374	25.66068046537559,25.66068046537559,22.815465012793624,20.733924669881503,1.2466267904877473,1.1123142874863934,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,-2.047946536257747,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,5.6836368073634915,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841,13.100814898236841	0.9952827512593122	25.66068046537559	24	false	482
33	19	17	100	68035	134640	1077120	0	0	34.643905854523396	34.643905854523396	77.29930803156475	77.29930803156475	-1.1522291178729756,-1.1522291178729756,6.760623405266886,19.781406855219373,29.363184726371088,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,29.64886500561856,34.643905854523396,34.643905854523396,34.643905854523396,34.643905854523396,34.643905854523396,34.643905854523396,34.643905854523396,34.643905854523396,34.643905854523396	0.9946428963086976	34.643905854523396	23	false	265
34	20	18	100	68360	142560	1140480	0	0	35.17502773616343	35.17502773616343	69.91772257347723	69.91772257347723	-5.403719886429473,-5.403719886429473,-2.2893816633891433,-3.566408656054449,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-12.407906130357688,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-7.023241870734438,-2.967034756170234,-2.967034756170234,-2.967034756170234,-2.967034756170234,-2.967034756170234,-2.967034756170234,-2.967034756170234,26.06852555195583,32.33548217226191,32.33548217226191,32.33548217226191,34.66121686431182,34.25691524376565,34.25691524376565,34.25691524376565,34.25691524376565,34.25691524376565,34.25691524376565,34.25691524376565,34.25691524376565,34.25691524376565,34.25691524376565,34.770726115617265,34.770726115617265,34.770726115617265,35.17502773616343,35.17502773616343	0.99374375827052	35.17502773616343	22	false	233
