# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 14
# run: ba902d88-d000-4e85-857c-40ce0de89688
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67204	118800	950400	0	0	30.103791312341027	34.96139346361143	65.72855397317828	65.61242004453624	4.957834484641182,4.957834484641182,2.924705153765302,2.924705153765302,2.924705153765302,2.924705153765302,15.766099114885272,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,21.674863930548028,26.54367252209441,25.88635779570629,25.88635779570629,25.88635779570629,25.88635779570629,23.981852866329497,23.981852866329497,23.981852866329497,23.981852866329497,29.069021188697768,29.069021188697768,29.069021188697768,29.069021188697768,31.66573221880799,31.66573221880799,32.39957380784652,32.39957380784652,32.39957380784652,31.623202192319894,31.623202192319894,31.623202192319894,28.010405054029775,28.010405054029775,28.010405054029775,31.623202192319894,31.623202192319894,31.623202192319894,31.623202192319894,31.623202192319894,31.623202192319894,31.623202192319894,31.623202192319894,31.623202192319894,33.5277071216967,33.5277071216967,33.5277071216967,33.5277071216967,34.18502184808481,34.18502184808481,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.2275518745729,34.2275518745729,34.2275518745729,34.2275518745729,34.2275518745729,34.2275518745729,34.2275518745729,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.96139346361143,34.826199379245324,34.826199379245324,34.826199379245324,34.826199379245324,34.826199379245324,33.34952477869494,33.34952477869494,30.103791312341027,30.103791312341027,30.103791312341027,30.103791312341027,30.103791312341027,30.103791312341027	0.9964291824156865	34.96139346361143	19	false	1180
26	15	15	100	67363	118800	950400	0	0	50.33430661393413	50.606282380412566	72.49218234952974	72.49218234952974	47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,47.843268459549876,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.606282380412566,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413,50.33430661393413	0.9960817657423182	50.606282380412566	18	false	591
27	15	15	100	67348	118800	950400	0	0	58.67213734160107	58.67213734160107	77.25920955602994	77.25920955602994	56.566148235871324,56.566148235871324,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,55.282418120976075,58.67213734160107,58.67213734160107,58.67213734160107,58.67213734160107,58.67213734160107,58.67213734160107,58.67213734160107,58.67213734160107,58.67213734160107	0.9960817657423182	58.67213734160107	17	false	445
28	15	15	100	67354	118800	950400	0	0	64.84325438408267	64.84325438408267	82.09704534475595	82.09704534475595	49.992163527703724,49.992163527703724,49.992163527703724,55.0617003798361,55.0617003798361,61.54105136499419,61.54105136499419,61.54105136499419,61.39866104149438,61.39866104149438,61.39866104149438,61.39866104149438,61.39866104149438,61.39866104149438,61.39866104149438,61.39866104149438,61.39866104149438,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,59.0978806963267,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,62.46106094928463,64.84325438408267,64.84325438408267,64.84325438408267,64.84325438408267,64.84325438408267,64.84325438408267	0.9960817657423182	64.84325438408267	16	false	313
29	15	15	100	67291	118800	950400	0	0	69.72101258940582	69.72101258940582	83.42613337817743	83.42613337817743	52.89923165662951,52.89923165662951,52.89923165662951,52.89923165662951,52.89923165662951,52.89923165662951,52.89923165662951,52.89923165662951,62.3462373361013,62.3462373361013,62.3462373361013,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,64.1830070589254,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,63.845705005282326,64.9445276254469,64.9445276254469,64.9445276254469,64.9445276254469,64.9445276254469,64.9445276254469,64.9445276254469,64.9445276254469,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,67.63660576483383,68.5877266955181,68.5877266955181,68.5877266955181,68.5877266955181,69.72101258940582,69.72101258940582,69.72101258940582	0.9960817657423182	69.72101258940582	14	false	199
30	15	14	100	67050	110880	887040	0	0	41.87430656127654	52.144457809493346	73.07805391968976	72.91449181382727	18.837249282955067,18.837249282955067,17.35692075376648,20.66641623556653,20.66641623556653,20.66641623556653,20.66641623556653,20.66641623556653,20.66641623556653,20.66641623556653,20.66641623556653,20.66641623556653,20.66641623556653,27.60057299543273,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,34.23960828964637,38.380855768418584,38.380855768418584,38.380855768418584,38.380855768418584,38.380855768418584,38.380855768418584,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,40.87028930116803,41.94184495838796,41.94184495838796,41.94184495838796,41.94184495838796,45.922059835291165,45.922059835291165,45.922059835291165,45.922059835291165,45.922059835291165,45.922059835291165,48.77861773562955,52.144457809493346,50.12019168937401,47.27332882412669,47.27332882412669,42.687482754260884,42.687482754260884,42.687482754260884,42.687482754260884,42.687482754260884,42.687482754260884,42.687482754260884,42.687482754260884,38.15747537909543,38.15747537909543,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654,41.87430656127654	0.9957118678763863	52.144457809493346	20	false	196
31	16	15	100	67202	118800	950400	0	0	64.87828226047701	64.87828226047701	81.02820063834265	81.02820063834265	21.313170516143593,21.313170516143593,24.70701798884311,24.70701798884311,24.70701798884311,24.70701798884311,24.70701798884311,24.70701798884311,24.70701798884311,31.42499413643704,31.42499413643704,31.42499413643704,31.42499413643704,31.42499413643704,31.42499413643704,31.42499413643704,31.42499413643704,31.42499413643704,31.42499413643704,37.67428689668748,43.582882144699326,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,52.298156510488965,54.862734989975536,54.862734989975536,54.862734989975536,55.62039048167745,55.62039048167745,55.62039048167745,55.62039048167745,55.62039048167745,55.76129484656657,55.76129484656657,55.76129484656657,56.19920471134506,56.19920471134506,56.19920471134506,56.19920471134506,56.19920471134506,56.19920471134506,56.19920471134506,60.017169881233116,60.017169881233116,60.017169881233116,60.017169881233116,60.017169881233116,60.017169881233116,60.017169881233116,60.017169881233116,63.00829046939485,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701,64.87828226047701	0.99553413851339	64.87828226047701	18	false	203
32	17	16	100	67799	126720	1013760	0	0	36.8322927236264	36.8322927236264	80.19617153693002	80.19617153693002	10.124726534003472,10.124726534003472,29.3771685008664,30.760471049582478,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,21.227501565503204,27.44554278037775,27.44554278037775,27.44554278037775,33.31762532963436,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264,36.8322927236264	0.9952948143382488	36.8322927236264	22	false	803
33	17	16	100	67754	126720	1013760	0	0	39.038111204600796	39.038111204600796	81.85319641724752	81.85319641724752	24.95287621471534,24.95287621471534,24.04238505970679,24.04238505970679,24.04238505970679,24.04238505970679,24.04238505970679,24.04238505970679,24.04238505970679,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,21.17464953185037,21.17464953185037,21.17464953185037,21.17464953185037,21.17464953185037,21.17464953185037,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,22.9660935932163,29.316569590258062,29.316569590258062,29.316569590258062,35.343204817258915,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796,39.038111204600796	0.9953227787485104	39.038111204600796	22	false	226
34	17	15	100	67397	118800	950400	0	0	50.02463447668995	53.77781291592841	76.26272729574347	77.0664462198085	8.971287623796954,8.971287623796954,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,5.194372092043295,11.984922009104338,11.984922009104338,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,22.688357246668673,45.52294542119079,45.92005267632249,44.31042901334952,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,42.393483634148595,50.771364353879164,52.25097102946702,48.811022034672256,51.94833493831648,53.77781291592841,53.77701093366386,51.85522623630192,50.02463447668995,50.02463447668995,50.02463447668995,50.02463447668995	0.9953316615611817	53.77781291592841	18	false	224
