# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: d2275bc6-2770-4e3e-86c4-b910868d66bc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67558	118800	950400	0	0	33.97283853707933	34.97895308186651	68.13714339418175	68.18575359518273	2.939227378222128,2.939227378222128,2.939227378222128,2.939227378222128,2.939227378222128,9.521272726878209,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.690729681982504,21.044600863833466,25.903967796556543,25.903967796556543,25.903967796556543,30.991328300753565,33.588640267393366,33.588640267393366,31.68389103916205,31.68389103916205,31.68389103916205,31.68389103916205,31.68389103916205,32.417441086717105,32.417441086717105,32.417441086717105,32.417441086717105,32.417441086717105,32.417441086717105,32.417441086717105,32.417441086717105,31.640471087981993,31.640471087981993,31.640471087981993,31.640471087981993,31.640471087981993,31.640471087981993,31.640471087981993,32.417441086717105,32.417441086717105,32.417441086717105,32.417441086717105,32.417441086717105,34.322190314948415,34.322190314948415,34.322190314948415,34.322190314948415,34.322190314948415,34.322190314948415,34.97895308186651,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.24540303431146,34.86500766285939,34.86500766285939,34.86500766285939,34.86500766285939,34.86500766285939,34.86500766285939,34.86500766285939,33.97283853707933,33.97283853707933,33.97283853707933,33.97283853707933,33.97283853707933	0.9964291824156865	34.97895308186651	19	false	1367
26	15	15	100	67702	118800	950400	0	0	49.36797860426456	50.941060293365084	76.27010673534534	76.34117370280866	47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,47.69660342851283,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.462615568196995,50.62868203714922,50.62868203714922,50.62868203714922,50.941060293365084,50.941060293365084,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.37527261868398,49.36797860426456,49.36797860426456	0.9964291824156865	50.941060293365084	18	false	722
27	15	15	100	67579	118800	950400	0	0	61.15061582200684	61.15061582200684	77.82379164059047	77.82379164059047	56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,56.015993610109035,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,55.78196085428061,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,58.92504128083581,61.15061582200684,61.15061582200684,61.15061582200684,61.15061582200684,61.15061582200684	0.9960817657423182	61.15061582200684	16	false	1034
28	15	15	100	67459	118800	950400	0	0	65.18271224028116	65.18271224028116	81.4491847270391	81.4491847270391	50.09114388669927,50.09114388669927,59.7936810855863,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.77771903294895,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,61.51412726993452,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,59.196248386836245,62.57958610414221,62.57958610414221,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116,65.18271224028116	0.9960817657423182	65.18271224028116	16	false	219
29	15	15	100	67590	118800	950400	0	0	71.93741395875512	71.93741395875512	83.53441248408595	83.53441248408595	53.07800090657477,53.07800090657477,53.07800090657477,53.07800090657477,53.07800090657477,53.07800090657477,62.598035253591064,62.598035253591064,62.598035253591064,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.4712649731056,64.14555613713537,64.14555613713537,64.14555613713537,64.14555613713537,64.14555613713537,64.14555613713537,64.14555613713537,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,61.753259644785345,65.22683149393683,65.22683149393683,65.22683149393683,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,67.90547258104202,70.03516807974387,70.03516807974387,70.03516807974387,70.03516807974387,70.03516807974387,70.03516807974387,70.03516807974387,71.12993490653164,71.12993490653164,71.93741395875512	0.9960817657423182	71.93741395875512	13	false	181
30	15	14	100	67449	110880	887040	0	0	44.32672526406723	55.04328569064966	72.86573407531806	72.47544708760778	16.12658086375776,16.12658086375776,13.302937371370634,13.302937371370634,13.302937371370634,13.302937371370634,13.302937371370634,13.302937371370634,13.302937371370634,13.302937371370634,20.548210278651936,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,29.20032348232921,33.35525274039115,33.35525274039115,33.35525274039115,33.35525274039115,35.882343371362786,35.882343371362786,35.882343371362786,35.882343371362786,35.882343371362786,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,37.28850197385909,41.94688905130217,41.94688905130217,41.94688905130217,41.94688905130217,41.94688905130217,41.94688905130217,41.94688905130217,45.51348080502294,53.62667748018035,55.04328569064966,48.559803107276295,48.559803107276295,48.559803107276295,48.559803107276295,48.87142773735883,48.87142773735883,48.87142773735883,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723,44.32672526406723	0.9957118678763863	55.04328569064966	18	false	169
31	17	17	100	68357	134640	1077120	0	0	63.634564407314876	63.634564407314876	88.39151616489195	88.39151616489195	30.200614400326394,30.200614400326394,61.632721271241145,60.52723906771519,60.52723906771519,60.52723906771519,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876,63.634564407314876	0.9953860550807495	63.634564407314876	18	false	237
32	17	16	100	67968	126720	1013760	0	0	58.91308740490606	58.91308740490606	80.60802803235028	80.60802803235028	26.05068580695862,26.05068580695862,18.42528946971325,18.42528946971325,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,9.79063985842226,14.105255128584986,14.105255128584986,16.792265189757128,16.792265189757128,16.792265189757128,16.792265189757128,16.792265189757128,16.792265189757128,35.23202627124546,35.23202627124546,40.33256507195742,42.35514757723141,42.35514757723141,42.35514757723141,42.35514757723141,38.04053230706869,38.04053230706869,38.04053230706869,43.5346289493369,52.248034814725216,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,54.45660120549431,53.33071086112996,53.33071086112996,50.694344098989816,50.694344098989816,52.92164499790497,57.46590456322644,57.46590456322644,58.91308740490606,58.91308740490606	0.9953227787485104	58.91308740490606	16	false	234
33	17	16	100	67793	126720	1013760	0	0	56.397689432335845	60.162511975294855	78.89904624321073	78.27467104641832	-5.972938152296642,-5.972938152296642,-3.4241738922566114,-3.4241738922566114,-3.4241738922566114,-3.4241738922566114,-3.4241738922566114,-3.4241738922566114,-3.4241738922566114,-1.6423280190756646,-1.6423280190756646,-3.629482853898729,-7.218698928593788,-7.218698928593788,-7.218698928593788,-7.218698928593788,-7.218698928593788,-7.218698928593788,-3.629482853898729,-1.109665343969933,-1.6423280190756646,-1.6423280190756646,-1.6423280190756646,-3.4241738922566114,-3.4241738922566114,2.9920455066695766,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,9.100560041010503,35.08632113979169,40.66831135219581,50.45981377391914,51.35862332270965,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,50.96642291162173,55.23387479043415,60.162511975294855,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845,56.397689432335845	0.9952902084353822	60.162511975294855	16	false	214
34	17	15	100	67642	118800	950400	0	0	48.15365962984455	48.15365962984455	73.76269197413346	73.76269197413346	-1.6862829952914495,-1.6862829952914495,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,-1.4051806911639275,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,10.936638613993303,26.283715753531602,40.53189319598079,40.53189319598079,40.15519768313306,40.15519768313306,40.15519768313306,40.15519768313306,40.15519768313306,40.15519768313306,40.15519768313306,40.15519768313306,40.15519768313306,38.03934809198538,38.03934809198538,42.28292086071283,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,47.17569904968041,48.09398666398661,47.17630164929956,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,45.29010047576107,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455,48.15365962984455	0.9951798860952908	48.15365962984455	16	false	198
