# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 13
# run: e4b0dfba-ef9c-4a8b-a9e2-08531b9cb8bc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67722	118800	950400	0	0	30.74555670716327	35.602863915969564	62.663208409864794	62.66213552467299	4.9510247938087275,4.9510247938087275,2.9176626599331996,2.9176626599331996,2.9176626599331996,2.9176626599331996,15.759527378967512,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.668506549776538,21.01183892633277,24.62601568508005,24.62601568508005,24.62601568508005,24.62601568508005,24.62601568508005,29.713220521875684,32.3102963043463,32.3102963043463,32.3102963043463,32.3102963043463,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,32.267200818856274,32.267200818856274,32.267200818856274,32.267200818856274,32.267200818856274,32.267200818856274,32.267200818856274,32.267200818856274,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,33.04409695835844,34.9461962925258,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.602863915969564,35.46670771984995,35.46670771984995,33.990966044118935,33.990966044118935,33.990966044118935,33.990966044118935,33.990966044118935,33.990966044118935,33.990966044118935,33.990966044118935,30.74555670716327	0.9960817657423182	35.602863915969564	19	false	1329
26	15	15	100	67520	118800	950400	0	0	50.8550938320715	52.687853572879746	71.65942062139926	71.63495532031914	48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,48.221244184269594,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,51.239047024686016,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.687853572879746,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,52.45104749225918,50.8550938320715	0.9960817657423182	52.687853572879746	18	false	450
27	15	15	100	67719	118800	950400	0	0	57.400826004880614	57.400826004880614	76.6580721665329	76.6580721665329	57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614,57.400826004880614	0.9960817657423182	57.400826004880614	18	false	191
28	15	15	100	67669	118800	950400	0	0	61.059113576939794	63.17641660264722	81.01801909297937	80.5043791033146	51.59903395225575,51.59903395225575,56.69012345547594,61.26055889136201,63.17641660264722,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794,61.059113576939794	0.9960817657423182	63.17641660264722	18	false	239
29	15	15	100	67598	118800	950400	0	0	59.49238098921471	60.40317290950085	75.08861707135749	75.04811860869988	22.435093704558746,22.435093704558746,18.680059159322283,18.680059159322283,18.680059159322283,18.680059159322283,33.69900283611446,33.69900283611446,37.81188382912542,37.81188382912542,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,40.27206814567353,49.52990450453083,49.52990450453083,49.52990450453083,49.52990450453083,49.52990450453083,49.52990450453083,49.52990450453083,49.52990450453083,49.52990450453083,49.52990450453083,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,57.08780339302558,58.0091742229516,58.0091742229516,58.0091742229516,58.0091742229516,58.0091742229516,58.0091742229516,58.0091742229516,60.40317290950085,60.40317290950085,60.40317290950085,60.40317290950085,60.40317290950085,60.40317290950085,59.49238098921471,59.49238098921471,59.49238098921471,59.49238098921471	0.9956704147505866	60.40317290950085	16	false	172
30	17	16	100	67924	126720	1013760	0	0	43.53685341439818	43.53685341439818	80.1618538294289	80.1618538294289	17.797764581899795,17.797764581899795,33.46136059917542,33.46136059917542,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,21.255895607520277,28.57091288997967,35.613919821086924,35.613919821086924,35.613919821086924,35.613919821086924,35.613919821086924,35.613919821086924,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,40.322090082900075,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818,43.53685341439818	0.9952870281691172	43.53685341439818	20	false	109
31	17	15	100	67688	118800	950400	0	0	35.62501528634144	51.62495491929552	72.90236372340772	71.79084961757786	2.1405556646409707,2.1405556646409707,1.968679618435619,2.9718127612067704,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,-4.428759935907173,0.3698734869381397,4.674567073401185,4.674567073401185,4.674567073401185,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,6.331911757862805,12.614305471409697,12.614305471409697,12.614305471409697,12.614305471409697,12.614305471409697,12.614305471409697,13.732484454976762,13.732484454976762,13.732484454976762,13.732484454976762,13.732484454976762,13.732484454976762,13.111874299031404,13.111874299031404,13.111874299031404,13.111874299031404,13.111874299031404,13.111874299031404,13.111874299031404,13.111874299031404,13.111874299031404,11.99369531546434,11.99369531546434,11.99369531546434,43.93940901344129,43.93940901344129,43.93940901344129,43.93940901344129,42.169834154677744,42.169834154677744,42.169834154677744,42.169834154677744,42.169834154677744,42.169834154677744,46.521136028548085,50.37461251732772,50.37461251732772,51.62495491929552,51.62495491929552,50.76507884830342,50.76507884830342,47.85428648319969,47.85428648319969,47.85428648319969,47.85428648319969,47.85428648319969,47.85428648319969,47.85428648319969,47.85428648319969,47.85428648319969,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,44.06903683657055,40.793312245307746,40.793312245307746,35.84814457476222,35.62501528634144,35.62501528634144	0.9953069870815391	51.62495491929552	18	false	96
32	18	16	100	67715	126720	1013760	0	0	28.083540136411816	28.083540136411816	80.92912287681513	80.92912287681513	23.94991632582223,23.94991632582223,25.491739474280692,27.284416084907015,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,13.91093896251596,21.12751463569923,21.12751463569923,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816,28.083540136411816	0.9952995299054691	28.083540136411816	22	false	113
33	19	18	100	68418	142560	1140480	0	0	1.232475494032709	21.60424947299275	76.66469924581301	75.37227756435605	-13.465319953041138,-13.465319953041138,18.699630598631266,21.60424947299275,16.597860003122115,16.597860003122115,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,14.695907907898793,6.650617020173122,6.650617020173122,9.307579272705453,9.307579272705453,9.307579272705453,9.307579272705453,9.307579272705453,10.810211301277782,10.810211301277782,10.810211301277782,10.810211301277782,10.810211301277782,10.810211301277782,10.810211301277782,10.810211301277782,10.707838831013989,10.707838831013989,10.707838831013989,10.707838831013989,10.707838831013989,9.558963999869638,9.558963999869638,8.87916031104903,8.87916031104903,8.87916031104903,8.87916031104903,8.87916031104903,8.87916031104903,8.87916031104903,8.87916031104903,8.87916031104903,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,7.35352808800393,4.847204121065648,4.847204121065648,4.847204121065648,4.847204121065648,4.847204121065648,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709,1.232475494032709	0.9942284747150555	21.60424947299275	26	false	125
34	22	19	100	68625	150480	1203840	0	0	-12.784649261649498	-5.975706396648928	70.14000294822385	70.1199541753832	-8.17362904967522,-8.17362904967522,-15.895140579873793,-15.895140579873793,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-17.704247196245348,-20.78971393057224,-20.78971393057224,-20.78971393057224,-20.78971393057224,-20.78971393057224,-20.78971393057224,-20.78971393057224,-20.78971393057224,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-24.70270737294228,-25.161204556784867,-25.161204556784867,-25.161204556784867,-25.161204556784867,-25.161204556784867,-25.161204556784867,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-21.83290488326007,-24.346546084051603,-5.975706396648928,-6.742487096489965,-6.742487096489965,-8.860766732764068,-8.860766732764068,-8.860766732764068,-8.860766732764068,-8.860766732764068,-8.860766732764068,-8.860766732764068,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498,-12.784649261649498	0.9932547649161799	-5.975706396648928	27	false	115
