# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 28
# run: 189c2ee4-0f84-4064-8941-f4e23a44ba18
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	7	518	1470	11760	0	0	36.769365595343224	36.769365595343224	36.769365595343224	36.769365595343224	27.512228611410478,27.512228611410478,31.53556418889426,31.53556418889426,34.79092859256616,36.769365595343224,36.769365595343224	0.9960817657423182	36.769365595343224	0	true	92
26	15	15	1	74	210	1680	0	0	41.42346440056457	41.42346440056457	41.42346440056457	41.42346440056457	41.42346440056457	0.9960817657423182	41.42346440056457	0	true	3
27	15	15	1	74	210	1680	0	0	42.81280328516495	42.81280328516495	42.81280328516495	42.81280328516495	42.81280328516495	0.9960817657423182	42.81280328516495	0	true	3
28	15	15	9	666	1890	15120	0	0	44.06314041778168	44.06314041778168	44.06314041778168	44.06314041778168	43.974664696621964,43.974664696621964,43.974664696621964,43.974664696621964,43.974664696621964,43.974664696621964,43.974664696621964,44.06314041778168,44.06314041778168	0.9960817657423182	44.06314041778168	0	true	5
29	15	15	15	1110	3150	25200	0	0	44.813882481325024	44.813882481325024	44.813882481325024	44.813882481325024	43.11177710535439,43.11177710535439,43.11177710535439,43.11177710535439,43.11177710535439,43.11177710535439,43.11177710535439,43.11177710535439,43.99276145239831,43.99276145239831,43.99276145239831,43.99276145239831,43.99276145239831,44.813882481325024,44.813882481325024	0.9957029850637148	44.813882481325024	0	true	30
30	16	16	8	624	1680	13440	0	0	44.29363268227707	44.29363268227707	44.29363268227707	44.29363268227707	41.17166608228854,43.171106422152945,43.171106422152945,43.171106422152945,43.171106422152945,43.97148372905904,44.29363268227707,44.29363268227707	0.9954479788859564	44.29363268227707	0	true	7
31	17	16	3	234	630	5040	0	0	43.100361222734165	43.100361222734165	43.100361222734165	43.100361222734165	39.69591357982107,43.100361222734165,43.100361222734165	0.9953070967458931	43.100361222734165	0	true	4
32	17	17	16	1312	3360	26880	0	0	44.9294557649339	44.9294557649339	44.9294557649339	44.9294557649339	41.84649309049189,41.84649309049189,42.381971371284024,42.381971371284024,42.381971371284024,42.381971371284024,43.21086685477239,44.06642640512341,44.06642640512341,44.06642640512341,44.06642640512341,44.06642640512341,44.06642640512341,44.06642640512341,44.9294557649339,44.9294557649339	0.9952533612124491	44.9294557649339	0	true	5
33	20	20	19	1786	3990	31920	0	0	46.7167787259432	46.7167787259432	46.7167787259432	46.7167787259432	46.52666951187427,46.52666951187427,46.52666951187427,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.5979914463283,46.7167787259432,46.7167787259432	0.9947698145210228	46.7167787259432	0	true	25
34	20	20	9	846	1890	15120	0	0	42.35286638352543	42.35286638352543	42.35286638352543	42.35286638352543	41.991934226098664,41.991934226098664,42.19361743893926,42.19361743893926,42.19361743893926,42.325303082582636,42.325303082582636,42.35286638352543,42.35286638352543	0.993736008656173	42.35286638352543	0	true	28
35	21	21	17	1666	3570	28560	0	0	44.40504872905677	44.40504872905677	44.40504872905677	44.40504872905677	42.018791056444684,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,42.805469974067144,43.605737385406705,43.605737385406705,43.605737385406705,44.40504872905677,44.40504872905677	0.9933785028622396	44.40504872905677	0	true	6
36	22	22	2	204	420	3360	0	0	45.51487098409169	45.51487098409169	45.51487098409169	45.51487098409169	45.51487098409169,45.51487098409169	0.9928775195385324	45.51487098409169	0	true	4
37	23	23	15	1590	3150	25200	0	0	46.69155226363782	46.69155226363782	46.69155226363782	46.69155226363782	46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.58508532669844,46.69155226363782,46.69155226363782	0.9928066763658695	46.69155226363782	0	true	3
38	24	23	27	2862	5670	45360	0	0	46.78863298462534	46.78863298462534	46.78863298462534	46.78863298462534	45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,45.7020329277253,46.41511357518621,46.41511357518621,46.41511357518621,46.41511357518621,46.41511357518621,46.441365681558054,46.441365681558054,46.441365681558054,46.441365681558054,46.441365681558054,46.441365681558054,46.441365681558054,46.441365681558054,46.78863298462534,46.78863298462534	0.9925013708044247	46.78863298462534	0	true	7
39	24	23	10	1060	2100	16800	0	0	47.30610276669506	47.30610276669506	47.30610276669506	47.30610276669506	44.310063370383176,44.310063370383176,44.310063370383176,46.00984500566634,46.00984500566634,46.00984500566634,46.00984500566634,46.00984500566634,47.30610276669506,47.30610276669506	0.9924701164635441	47.30610276669506	0	true	5
40	25	24	1	110	210	1680	0	0	48.159494227719186	48.159494227719186	48.159494227719186	48.159494227719186	48.159494227719186	0.9924564449740826	48.159494227719186	0	true	1
41	26	25	30	3420	6300	50400	0	0	48.86971881163204	48.86971881163204	48.86971881163204	48.86971881163204	48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.36927124080863,48.86971881163204,48.86971881163204	0.9922476805989137	48.86971881163204	0	true	14
42	26	25	1	114	210	1680	0	0	49.22083686650058	49.22083686650058	49.22083686650058	49.22083686650058	49.22083686650058	0.9918701062282044	49.22083686650058	0	true	5
43	27	26	1	118	210	1680	0	0	49.30686477500085	49.30686477500085	49.30686477500085	49.30686477500085	49.30686477500085	0.9914475329175836	49.30686477500085	0	true	2
44	27	27	1	122	210	1680	0	0	49.36864857131117	49.36864857131117	49.36864857131117	49.36864857131117	49.36864857131117	0.9914287803130551	49.36864857131117	0	true	2
45	27	26	22	2596	4620	36960	0	0	47.82784312121522	47.82784312121522	47.82784312121522	47.82784312121522	44.62135473228428,45.37818337365405,45.37818337365405,45.37818337365405,45.37818337365405,45.37818337365405,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.35140912902853,47.82784312121522,47.82784312121522	0.9912947704725072	47.82784312121522	0	true	5
46	29	28	1	126	210	1680	0	0	49.107333600695874	49.107333600695874	49.107333600695874	49.107333600695874	49.107333600695874	0.9907764967356579	49.107333600695874	0	true	2
47	29	27	15	1830	3150	25200	0	0	48.277413475605606	48.277413475605606	48.277413475605606	48.277413475605606	46.67282637878792,46.67282637878792,46.67282637878792,46.67282637878792,46.67282637878792,46.67282637878792,47.472916467900085,47.472916467900085,47.472916467900085,47.472916467900085,47.472916467900085,47.472916467900085,47.472916467900085,48.277413475605606,48.277413475605606	0.9904587991022146	48.277413475605606	0	true	4
48	29	25	2	228	420	3360	0	0	47.972981407607065	47.972981407607065	47.972981407607065	47.972981407607065	47.972981407607065,47.972981407607065	0.9904956463251474	47.972981407607065	0	true	10
49	29	26	1	118	210	1680	0	0	49.176383256267556	49.176383256267556	49.176383256267556	49.176383256267556	49.176383256267556	0.9904245838237768	49.176383256267556	0	true	4
50	29	23	9	954	1890	15120	0	0	45.73154574452285	45.73154574452285	45.73154574452285	45.73154574452285	39.78349799184102,43.06133247942204,43.06133247942204,45.03288374180592,45.03288374180592,45.03288374180592,45.03288374180592,45.73154574452285,45.73154574452285	0.9904300670414752	45.73154574452285	0	true	15
