# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 25
# run: 28731540-e985-4c0a-8b44-29ac2f9b5fae
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	8	592	1680	13440	0	0	36.781887336008616	36.781887336008616	36.781887336008616	36.781887336008616	27.509825950994696,31.53406985722275,31.53406985722275,31.53406985722275,34.7910275462531,34.7910275462531,36.781887336008616,36.781887336008616	0.9964291824156865	36.781887336008616	0	true	162
26	15	15	1	74	210	1680	0	0	41.49712341421478	41.49712341421478	41.49712341421478	41.49712341421478	41.49712341421478	0.9964291824156865	41.49712341421478	0	true	2
27	15	15	1	74	210	1680	0	0	42.9375432538728	42.9375432538728	42.9375432538728	42.9375432538728	42.9375432538728	0.9960817657423182	42.9375432538728	0	true	7
28	15	15	1	74	210	1680	0	0	44.15187224557508	44.15187224557508	44.15187224557508	44.15187224557508	44.15187224557508	0.9960817657423182	44.15187224557508	0	true	15
29	15	15	12	888	2520	20160	0	0	44.93445107216125	44.93445107216125	44.93445107216125	44.93445107216125	44.88638048610842,44.88638048610842,44.88638048610842,44.88638048610842,44.88638048610842,44.88638048610842,44.88638048610842,44.88638048610842,44.88638048610842,44.88638048610842,44.93445107216125,44.93445107216125	0.9960817657423182	44.93445107216125	0	true	10
30	15	15	13	962	2730	21840	0	0	45.38488662950575	45.38488662950575	45.38488662950575	45.38488662950575	44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,44.584281692163174,45.38488662950575,45.38488662950575	0.9957029850637148	45.38488662950575	0	true	24
31	17	17	13	1066	2730	21840	0	0	45.49636936383594	45.49636936383594	45.49636936383594	45.49636936383594	43.90408882977843,43.90408882977843,43.90408882977843,44.70449724203253,44.70449724203253,44.70449724203253,44.70449724203253,44.70449724203253,44.70449724203253,44.70449724203253,44.70449724203253,45.49636936383594,45.49636936383594	0.9953534847676211	45.49636936383594	0	true	3
32	17	17	20	1640	4200	33600	0	0	44.77627755794322	44.77627755794322	44.77627755794322	44.77627755794322	43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,43.749839824818814,44.59798591408714,44.59798591408714,44.59798591408714,44.77627755794322,44.77627755794322	0.9952533612124491	44.77627755794322	0	true	6
33	17	17	1	82	210	1680	0	0	46.487372321527644	46.487372321527644	46.487372321527644	46.487372321527644	46.487372321527644	0.9952533612124491	46.487372321527644	0	true	3
34	17	17	1	82	210	1680	0	0	47.06549477349996	47.06549477349996	47.06549477349996	47.06549477349996	47.06549477349996	0.9950205437889765	47.06549477349996	0	true	11
35	18	18	4	344	840	6720	0	0	40.086250530831094	40.086250530831094	40.086250530831094	40.086250530831094	39.985151929894016,39.985151929894016,40.086250530831094,40.086250530831094	0.9939510238995184	40.086250530831094	0	true	8
36	19	19	11	990	2310	18480	0	0	42.655684596040075	42.655684596040075	42.655684596040075	42.655684596040075	40.919936320509045,41.68020947347148,41.68020947347148,42.149112166417964,42.149112166417964,42.149112166417964,42.149112166417964,42.149112166417964,42.149112166417964,42.655684596040075,42.655684596040075	0.9937310372054597	42.655684596040075	0	true	19
37	20	20	4	376	840	6720	0	0	42.48049080721552	42.48049080721552	42.48049080721552	42.48049080721552	41.869580412987446,41.869580412987446,42.48049080721552,42.48049080721552	0.9933859600383095	42.48049080721552	0	true	6
38	20	20	1	94	210	1680	0	0	41.148544618086774	41.148544618086774	41.148544618086774	41.148544618086774	41.148544618086774	0.9932013949305826	41.148544618086774	0	true	2
39	22	22	13	1326	2730	21840	0	0	44.96322212413986	44.96322212413986	44.96322212413986	44.96322212413986	41.62147546773139,43.18996554004397,43.99071492819064,44.14899215856149,44.14899215856149,44.14899215856149,44.14899215856149,44.14899215856149,44.14899215856149,44.16319161942397,44.16319161942397,44.96322212413986,44.96322212413986	0.9925296642077482	44.96322212413986	0	true	8
40	22	20	9	846	1890	15120	0	0	41.03727141388985	41.03727141388985	41.03727141388985	41.03727141388985	39.23376077171927,40.2338422053872,40.2338422053872,40.2338422053872,40.2338422053872,40.2338422053872,40.2338422053872,41.03727141388985,41.03727141388985	0.9926454697655377	41.03727141388985	0	true	3
41	22	20	1	94	210	1680	0	0	42.42448130234012	42.42448130234012	42.42448130234012	42.42448130234012	42.42448130234012	0.9926454697655377	42.42448130234012	0	true	1
42	24	22	12	1224	2520	20160	0	0	47.04807051803257	47.04807051803257	47.04807051803257	47.04807051803257	45.06575110958294,45.06575110958294,45.06575110958294,45.06575110958294,45.06575110958294,45.448408035060275,46.24849883934673,46.24849883934673,46.24849883934673,46.24849883934673,47.04807051803257,47.04807051803257	0.9921230653380222	47.04807051803257	0	true	10
43	24	23	1	106	210	1680	0	0	49.00748735777026	49.00748735777026	49.00748735777026	49.00748735777026	49.00748735777026	0.9917367909285646	49.00748735777026	0	true	1
44	24	23	19	2014	3990	31920	0	0	48.53016839503088	48.53016839503088	48.53016839503088	48.53016839503088	46.97442276711184,46.97442276711184,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,47.74667753554105,48.53016839503088,48.53016839503088	0.9913182020894714	48.53016839503088	0	true	9
45	25	23	6	636	1260	10080	0	0	47.46297541556102	47.46297541556102	47.46297541556102	47.46297541556102	44.66208786080639,44.66208786080639,44.66208786080639,46.361825240827436,47.46297541556102,47.46297541556102	0.9910953275674254	47.46297541556102	0	true	2
46	25	24	1	110	210	1680	0	0	48.67425316690413	48.67425316690413	48.67425316690413	48.67425316690413	48.67425316690413	0.9910370957954687	48.67425316690413	0	true	1
47	25	23	5	530	1050	8400	0	0	47.00250265729506	47.00250265729506	47.00250265729506	47.00250265729506	44.14169480713393,45.60258650911485,44.22912440458271,47.00250265729506,47.00250265729506	0.9910946695813015	47.00250265729506	0	true	2
48	25	24	26	2860	5460	43680	0	0	47.27937602135861	47.27937602135861	47.27937602135861	47.27937602135861	41.82255331308177,41.82255331308177,41.82255331308177,41.82255331308177,41.82255331308177,41.82255331308177,45.09042975287289,46.11288526728129,46.11288526728129,46.303558407896084,46.303558407896084,46.303558407896084,47.03143767096719,47.03143767096719,47.03143767096719,47.03143767096719,47.03143767096719,47.03143767096719,47.03143767096719,47.03196393883486,47.03196393883486,47.03196393883486,47.03196393883486,47.03196393883486,47.27937602135861,47.27937602135861	0.9910387407607784	47.27937602135861	0	true	5
49	25	21	26	2548	5460	43680	0	0	40.85274577004699	40.85274577004699	40.85274577004699	40.85274577004699	30.500966532788375,30.500966532788375,30.500966532788375,30.500966532788375,34.1194867488482,34.1194867488482,34.1194867488482,34.1194867488482,34.1194867488482,34.1194867488482,34.819804062537564,37.87662695972624,37.87662695972624,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,39.85324090222272,40.85274577004699,40.85274577004699	0.9912009343402959	40.85274577004699	0	true	5
50	25	19	10	900	2100	16800	0	0	39.24615023944296	39.24615023944296	39.24615023944296	39.24615023944296	35.47569666386734,35.889051013338815,35.889051013338815,38.181365724893496,38.181365724893496,38.181365724893496,38.181365724893496,38.88168616343591,39.24615023944296,39.24615023944296	0.9912645762203816	39.24615023944296	0	true	4
51	25	21	21	2058	4410	35280	0	0	46.426903474660755	46.426903474660755	46.426903474660755	46.426903474660755	41.70760607343245,42.50854889227988,42.50854889227988,42.50854889227988,42.50854889227988,42.50854889227988,42.50854889227988,42.50854889227988,42.50854889227988,44.10885225731325,44.10885225731325,44.10885225731325,44.10885225731325,44.10885225731325,44.90860046514148,44.90860046514148,44.90860046514148,44.90860046514148,44.90860046514148,46.426903474660755,46.426903474660755	0.9911175163217114	46.426903474660755	0	true	18
52	25	19	18	1620	3780	30240	0	0	38.05097092197634	38.05097092197634	38.05097092197634	38.05097092197634	33.39417747956334,35.686007234849654,35.749706409087196,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.02745829529396,38.05097092197634,38.05097092197634	0.991063415240421	38.05097092197634	0	true	3
53	25	20	6	564	1260	10080	0	0	40.93671513395229	40.93671513395229	40.93671513395229	40.93671513395229	36.31571303317014,39.93667422749539,39.93667422749539,39.93667422749539,40.93671513395229,40.93671513395229	0.9910089486112837	40.93671513395229	0	true	2
