# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 12
# run: 2da6a87a-68a9-4ada-a3c1-79166f023520
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	7	518	1470	11760	0	0	36.74057274826394	36.74057274826394	36.74057274826394	36.74057274826394	31.522529667184035,34.77683179976058,34.77683179976058,34.77683179976058,34.77683179976058,36.74057274826394,36.74057274826394	0.9964291824156865	36.74057274826394	0	true	114
26	15	15	1	74	210	1680	0	0	41.39647655014654	41.39647655014654	41.39647655014654	41.39647655014654	41.39647655014654	0.9960817657423182	41.39647655014654	0	true	8
27	15	15	1	74	210	1680	0	0	42.800181656695216	42.800181656695216	42.800181656695216	42.800181656695216	42.800181656695216	0.9960817657423182	42.800181656695216	0	true	7
28	15	15	8	592	1680	13440	0	0	44.02645972982393	44.02645972982393	44.02645972982393	44.02645972982393	43.96211578113508,43.96211578113508,43.96211578113508,43.96211578113508,43.96211578113508,43.96211578113508,44.02645972982393,44.02645972982393	0.9960817657423182	44.02645972982393	0	true	5
29	15	15	1	74	210	1680	0	0	45.278686123801954	45.278686123801954	45.278686123801954	45.278686123801954	45.278686123801954	0.9959128826372083	45.278686123801954	0	true	3
30	16	16	12	936	2520	20160	0	0	43.34435780471496	43.34435780471496	43.34435780471496	43.34435780471496	39.37165564428531,40.96233390678492,41.762792562752196,43.336485174670855,43.336485174670855,43.336485174670855,43.336485174670855,43.336485174670855,43.336485174670855,43.336485174670855,43.34435780471496,43.34435780471496	0.9954479788859564	43.34435780471496	0	true	33
31	17	17	1	82	210	1680	0	0	45.4040287998793	45.4040287998793	45.4040287998793	45.4040287998793	45.4040287998793	0.9952702495229601	45.4040287998793	0	true	3
32	18	18	16	1376	3360	26880	0	0	45.74669341383902	45.74669341383902	45.74669341383902	45.74669341383902	44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,44.91375815628264,45.74669341383902,45.74669341383902	0.9950458031451738	45.74669341383902	0	true	5
33	19	19	27	2430	5670	45360	0	0	46.72903673594998	46.72903673594998	46.72903673594998	46.72903673594998	46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.679310526768994,46.72903673594998,46.72903673594998	0.9945758182788546	46.72903673594998	0	true	19
34	20	20	9	846	1890	15120	0	0	46.81461318394934	46.81461318394934	46.81461318394934	46.81461318394934	45.245085835646854,46.01394103146774,46.01394103146774,46.01394103146774,46.01394103146774,46.01394103146774,46.01394103146774,46.81461318394934,46.81461318394934	0.9941135830268825	46.81461318394934	0	true	16
