# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 24
# run: 3b812c4c-580d-4812-98e4-e35ae685feda
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	3	222	630	5040	0	0	36.76968722834875	36.76968722834875	36.76968722834875	36.76968722834875	31.520564120925126,36.76968722834875,36.76968722834875	0.9960817657423182	36.76968722834875	0	true	82
26	15	15	1	74	210	1680	0	0	41.47489990824019	41.47489990824019	41.47489990824019	41.47489990824019	41.47489990824019	0.9960817657423182	41.47489990824019	0	true	2
27	15	15	1	74	210	1680	0	0	42.851496169033766	42.851496169033766	42.851496169033766	42.851496169033766	42.851496169033766	0.9960817657423182	42.851496169033766	0	true	2
28	15	15	6	444	1260	10080	0	0	44.138114400955374	44.138114400955374	44.138114400955374	44.138114400955374	44.037689634032795,44.037689634032795,44.037689634032795,44.037689634032795,44.138114400955374,44.138114400955374	0.9960817657423182	44.138114400955374	0	true	9
29	15	15	31	2294	6510	52080	0	0	43.939380812010214	43.939380812010214	43.939380812010214	43.939380812010214	41.8289847163695,41.8289847163695,42.61955783857894,42.61955783857894,42.61955783857894,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.48850953257202,43.939380812010214,43.939380812010214	0.9956704147505866	43.939380812010214	0	true	57
30	17	17	8	656	1680	13440	0	0	44.787356126448536	44.787356126448536	44.787356126448536	44.787356126448536	43.18549494521873,43.98635157765337,43.98635157765337,43.98635157765337,43.98635157765337,43.98635157765337,44.787356126448536,44.787356126448536	0.9952702495229601	44.787356126448536	0	true	3
31	17	16	20	1560	4200	33600	0	0	42.75188279026387	42.75188279026387	42.75188279026387	42.75188279026387	37.52580559739391,37.52580559739391,39.76825412372511,39.76825412372511,41.16213389499272,41.16213389499272,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,41.91794052848244,42.75188279026387,42.75188279026387	0.9952902084353822	42.75188279026387	0	true	6
32	20	19	10	900	2100	16800	0	0	45.63429032222183	45.63429032222183	45.63429032222183	45.63429032222183	44.995694056942625,44.995694056942625,44.995694056942625,44.995694056942625,44.995694056942625,45.59144221194728,45.59144221194728,45.59144221194728,45.63429032222183,45.63429032222183	0.994886278064936	45.63429032222183	0	true	5
33	20	20	1	94	210	1680	0	0	47.36604261613705	47.36604261613705	47.36604261613705	47.36604261613705	47.36604261613705	0.9944151600002925	47.36604261613705	0	true	2
34	21	20	10	940	2100	16800	0	0	43.03655867641985	43.03655867641985	43.03655867641985	43.03655867641985	38.339438132308054,38.339438132308054,38.339438132308054,41.93114195205097,41.93114195205097,42.69202708169386,42.89327716714745,42.89327716714745,43.03655867641985,43.03655867641985	0.9935179959204861	43.03655867641985	0	true	27
