# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: 55b68f6e-68b9-47f7-a7f7-cb2cedf6aa47
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	5	370	1050	8400	0	0	36.776931660790794	36.776931660790794	36.776931660790794	36.776931660790794	31.530073909191348,31.530073909191348,34.785899357397085,36.776931660790794,36.776931660790794	0.9960817657423182	36.776931660790794	0	true	81
26	15	15	10	740	2100	16800	0	0	41.26944042519085	41.26944042519085	41.26944042519085	41.26944042519085	40.37430802822559,40.37430802822559,40.37430802822559,40.37430802822559,40.37430802822559,40.37430802822559,40.37430802822559,40.37430802822559,41.26944042519085,41.26944042519085	0.9958718681688247	41.26944042519085	0	true	20
27	17	17	12	984	2520	20160	0	0	42.209919855140555	42.209919855140555	42.209919855140555	42.209919855140555	41.417702651482145,41.417702651482145,41.417702651482145,41.417702651482145,41.417702651482145,41.417702651482145,41.417702651482145,41.417702651482145,41.417702651482145,41.417702651482145,42.209919855140555,42.209919855140555	0.9953534847676211	42.209919855140555	0	true	5
28	18	18	22	1892	4620	36960	0	0	43.08739034452027	43.08739034452027	43.08739034452027	43.08739034452027	39.574892254458625,39.76633406814203,40.514259743735735,40.514259743735735,40.514259743735735,40.514259743735735,40.514259743735735,40.514259743735735,41.46542043495273,41.46542043495273,41.46542043495273,41.46542043495273,41.46542043495273,41.46542043495273,42.277113215861576,42.277113215861576,42.277113215861576,42.277113215861576,42.277113215861576,42.277113215861576,43.08739034452027,43.08739034452027	0.9952459040363794	43.08739034452027	0	true	32
29	20	20	1	94	210	1680	0	0	45.371770024458414	45.371770024458414	45.371770024458414	45.371770024458414	45.371770024458414	0.9948494308420032	45.371770024458414	0	true	2
30	20	20	1	94	210	1680	0	0	46.13665147238389	46.13665147238389	46.13665147238389	46.13665147238389	46.13665147238389	0.9947698145210228	46.13665147238389	0	true	2
31	23	23	42	4452	8820	70560	0	0	42.411833426564115	42.411833426564115	42.411833426564115	42.411833426564115	38.64385503980658,39.443223199469074,40.35861941772292,40.35861941772292,40.35861941772292,40.35861941772292,40.35861941772292,41.11873357555808,41.11873357555808,41.919654117543686,41.919654117543686,41.919654117543686,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.079613452415195,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.24858821903624,42.411833426564115,42.411833426564115	0.9930901587208749	42.411833426564115	0	true	48
32	23	23	16	1696	3360	26880	0	0	45.069018997082985	45.069018997082985	45.069018997082985	45.069018997082985	43.42811706156674,43.42811706156674,43.42811706156674,43.42811706156674,43.42811706156674,43.42811706156674,44.227776145952724,44.227776145952724,44.227776145952724,44.227776145952724,44.227776145952724,44.227776145952724,44.227776145952724,44.227776145952724,45.069018997082985,45.069018997082985	0.992905593613148	45.069018997082985	0	true	6
33	25	25	11	1254	2310	18480	0	0	46.825763751297764	46.825763751297764	46.825763751297764	46.825763751297764	46.476927247451215,46.476927247451215,46.476927247451215,46.67378805320242,46.67378805320242,46.67378805320242,46.67378805320242,46.67378805320242,46.67378805320242,46.825763751297764,46.825763751297764	0.9926475899430476	46.825763751297764	0	true	10
34	26	26	3	354	630	5040	0	0	48.0108487005299	48.0108487005299	48.0108487005299	48.0108487005299	47.974813151245925,48.0108487005299,48.0108487005299	0.9923121632390465	48.0108487005299	0	true	3
35	27	27	1	122	210	1680	0	0	48.66043581452341	48.66043581452341	48.66043581452341	48.66043581452341	48.66043581452341	0.9922786059467325	48.66043581452341	0	true	4
36	28	28	1	126	210	1680	0	0	48.83588673002405	48.83588673002405	48.83588673002405	48.83588673002405	48.83588673002405	0.9921021194464146	48.83588673002405	0	true	1
37	30	28	5	630	1050	8400	0	0	47.138019907396945	47.138019907396945	47.138019907396945	47.138019907396945	45.15290129871696,45.15290129871696,45.15290129871696,47.138019907396945,47.138019907396945	0.9912865456459599	47.138019907396945	0	true	3
38	30	28	8	1008	1680	13440	0	0	48.357344914628655	48.357344914628655	48.357344914628655	48.357344914628655	43.1135515432902,46.0784132224381,46.0784132224381,46.0784132224381,46.0784132224381,46.044174950684976,48.357344914628655,48.357344914628655	0.9910055855710955	48.357344914628655	0	true	4
39	34	32	8	1136	1680	13440	0	0	48.5194609364341	48.5194609364341	48.5194609364341	48.5194609364341	47.71970715144792,47.71970715144792,47.71970715144792,47.71970715144792,47.71970715144792,47.71970715144792,48.5194609364341,48.5194609364341	0.9901072517381804	48.5194609364341	0	true	13
40	36	33	1	146	210	1680	0	0	48.67982589316149	48.67982589316149	48.67982589316149	48.67982589316149	48.67982589316149	0.9895239104846434	48.67982589316149	0	true	10
41	36	32	13	1846	2730	21840	0	0	48.19318667033581	48.19318667033581	48.19318667033581	48.19318667033581	44.593056727411984,44.593056727411984,45.39335062839263,45.39335062839263,45.39335062839263,47.39321740852687,47.39321740852687,47.39321740852687,47.39321740852687,47.39321740852687,47.39321740852687,48.19318667033581,48.19318667033581	0.9894111755287651	48.19318667033581	0	true	7
42	36	33	12	1752	2520	20160	0	0	48.8435767265685	48.8435767265685	48.8435767265685	48.8435767265685	47.22701913882473,47.22701913882473,47.22701913882473,47.22701913882473,47.22701913882473,48.02767498654869,48.02767498654869,48.02767498654869,48.02767498654869,48.02767498654869,48.8435767265685,48.8435767265685	0.9890087073497048	48.8435767265685	0	true	5
43	36	31	1	138	210	1680	0	0	48.56564030497231	48.56564030497231	48.56564030497231	48.56564030497231	48.56564030497231	0.989049173496319	48.56564030497231	0	true	2
44	39	34	1	150	210	1680	0	0	48.89329108840485	48.89329108840485	48.89329108840485	48.89329108840485	48.89329108840485	0.9885948340778323	48.89329108840485	0	true	6
45	40	35	18	2772	3780	30240	0	0	47.97521025666953	47.97521025666953	47.97521025666953	47.97521025666953	45.59181866607779,45.59181866607779,45.59181866607779,45.59181866607779,45.59181866607779,45.59181866607779,46.374277249019116,46.374277249019116,46.374277249019116,46.374277249019116,46.374277249019116,46.374277249019116,46.374277249019116,47.17502574324057,47.17502574324057,47.17502574324057,47.97521025666953,47.97521025666953	0.9883358068737617	47.97521025666953	0	true	5
46	44	39	18	3060	3780	30240	0	0	47.69259575528669	47.69259575528669	47.69259575528669	47.69259575528669	44.491798136422545,44.491798136422545,45.291690778236045,45.291690778236045,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,46.891969794471485,47.69259575528669,47.69259575528669	0.9876657576710216	47.69259575528669	0	true	5
47	45	39	1	170	210	1680	0	0	49.19279768631715	49.19279768631715	49.19279768631715	49.19279768631715	49.19279768631715	0.9876780035238814	49.19279768631715	0	true	3
48	46	41	1	178	210	1680	0	0	49.49333433775716	49.49333433775716	49.49333433775716	49.49333433775716	49.49333433775716	0.9870603373275528	49.49333433775716	0	true	2
49	47	42	28	5096	5880	47040	0	0	47.694666391127456	47.694666391127456	47.694666391127456	47.694666391127456	45.293505235502025,45.293505235502025,46.093661724662375,46.093661724662375,46.093661724662375,46.093661724662375,46.093661724662375,46.093661724662375,46.093661724662375,46.093661724662375,46.093661724662375,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,46.89374992241792,47.694666391127456,47.694666391127456	0.9865155613718282	47.694666391127456	0	true	37
50	51	43	6	1116	1260	10080	0	0	46.778046447534614	46.778046447534614	46.778046447534614	46.778046447534614	44.818033313836274,45.6185339917388,46.41855076984176,46.41855076984176,46.778046447534614,46.778046447534614	0.9862023965316821	46.778046447534614	0	true	5
51	54	45	3	582	630	5040	0	0	47.39451714257099	47.39451714257099	47.39451714257099	47.39451714257099	43.69447770406658,47.39451714257099,47.39451714257099	0.9854423494491195	47.39451714257099	0	true	3
52	55	46	6	1188	1260	10080	0	0	47.66468763292432	47.66468763292432	47.66468763292432	47.66468763292432	42.4150444965684,42.4150444965684,45.67850745173096,45.67850745173096,47.66468763292432,47.66468763292432	0.985220242577551	47.66468763292432	0	true	10
53	56	50	24	5136	5040	40320	0	0	48.89186229104365	48.89186229104365	48.89186229104365	48.89186229104365	47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,47.29089985746116,48.091061485231144,48.091061485231144,48.091061485231144,48.091061485231144,48.091061485231144,48.091061485231144,48.091061485231144,48.89186229104365,48.89186229104365	0.9847917473918163	48.89186229104365	0	true	15
