# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 7
# run: 0cff81e3-0f40-47d2-aa0e-b728cfe480c2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	8	640	3360	26880	0	0	48.29703632273598	48.29703632273598	48.29703632273598	48.29703632273598	36.86592457769762,37.852525535997124,41.865809132547824,41.865809132547824,43.11246368192343,43.11246368192343,48.29703632273598,48.29703632273598	0.9960817657423182	48.29703632273598	0	true	141
26	15	15	1	80	420	3360	0	0	54.65548599512811	54.65548599512811	54.65548599512811	54.65548599512811	54.65548599512811	0.9960817657423182	54.65548599512811	0	true	4
27	15	15	9	720	3780	30240	0	0	56.16280302630432	56.16280302630432	56.16280302630432	56.16280302630432	54.50815142378559,54.50815142378559,54.50815142378559,54.50815142378559,54.50815142378559,54.50815142378559,55.319357568956505,56.16280302630432,56.16280302630432	0.9958718681688247	56.16280302630432	0	true	36
28	17	17	24	2112	10080	80640	0	0	55.909775920917156	55.909775920917156	55.909775920917156	55.909775920917156	54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,54.489166792078244,55.58352514703118,55.58352514703118,55.909775920917156,55.909775920917156	0.9952702495229601	55.909775920917156	0	true	19
29	17	17	1	88	420	3360	0	0	58.24398536611099	58.24398536611099	58.24398536611099	58.24398536611099	58.24398536611099	0.9952702495229601	58.24398536611099	0	true	5
30	20	20	15	1500	6300	50400	0	0	61.09649322099667	61.09649322099667	61.09649322099667	61.09649322099667	56.99568278986463,57.39043123073188,58.63441990601585,59.41569132897155,59.44020061000066,60.17591428921386,60.9732501501234,60.9732501501234,60.9732501501234,60.9732501501234,60.9732501501234,60.9732501501234,60.9732501501234,61.09649322099667,61.09649322099667	0.9948494308420032	61.09649322099667	0	true	48
31	20	20	3	300	1260	10080	0	0	60.58374812841638	60.58374812841638	60.58374812841638	60.58374812841638	59.450658371320515,60.58374812841638,60.58374812841638	0.9943922401503132	60.58374812841638	0	true	8
32	21	21	28	2912	11760	94080	0	0	58.62934490836854	58.62934490836854	58.62934490836854	58.62934490836854	55.09946309204241,57.22104146503645,57.22104146503645,57.22104146503645,57.22104146503645,57.22104146503645,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.46054153786119,58.62934490836854,58.62934490836854	0.993571512125222	58.62934490836854	0	true	32
33	23	23	8	896	3360	26880	0	0	57.38940556419619	57.38940556419619	57.38940556419619	57.38940556419619	55.74908699986523,56.54939707743805,56.54939707743805,56.54939707743805,56.54939707743805,56.54939707743805,57.38940556419619,57.38940556419619	0.992905593613148	57.38940556419619	0	true	5
34	23	23	1	112	420	3360	0	0	59.25789153418644	59.25789153418644	59.25789153418644	59.25789153418644	59.25789153418644	0.992905593613148	59.25789153418644	0	true	3
35	24	23	7	784	2940	23520	0	0	57.67242234731079	57.67242234731079	57.67242234731079	57.67242234731079	56.61301988123646,56.61301988123646,56.61301988123646,56.61301988123646,56.61301988123646,57.67242234731079,57.67242234731079	0.992711268377918	57.67242234731079	0	true	4
36	25	24	7	812	2940	23520	0	0	60.60823820529082	60.60823820529082	60.60823820529082	60.60823820529082	58.95811201092258,58.95811201092258,58.95811201092258,58.95811201092258,59.84142078696233,60.60823820529082,60.60823820529082	0.9924876993149635	60.60823820529082	0	true	7
37	27	27	30	3840	12600	100800	0	0	65.2584725207669	65.2584725207669	65.2584725207669	65.2584725207669	61.80283501407973,61.80283501407973,61.80283501407973,62.32209481931815,62.32209481931815,62.32209481931815,62.32209481931815,62.32209481931815,62.32209481931815,63.114452494996016,63.114452494996016,63.114452494996016,63.114452494996016,63.114452494996016,63.114452494996016,64.71523871689269,64.71523871689269,65.2205159422776,65.2205159422776,65.2205159422776,65.25838974369957,65.25838974369957,65.25838974369957,65.25838974369957,65.25838974369957,65.25838974369957,65.25838974369957,65.25838974369957,65.2584725207669,65.2584725207669	0.9922786059467325	65.2584725207669	0	true	27
38	28	26	8	992	3360	26880	0	0	64.20558359340507	64.20558359340507	64.20558359340507	64.20558359340507	61.921984915160024,61.921984915160024,62.24318087971106,62.24318087971106,62.24318087971106,62.24318087971106,64.20558359340507,64.20558359340507	0.9921129762174572	64.20558359340507	0	true	5
39	29	27	16	2048	6720	53760	0	0	67.16917561355399	67.16917561355399	67.16917561355399	67.16917561355399	66.28153187223062,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,66.85676134094228,67.16917561355399,67.16917561355399	0.9913414509325127	67.16917561355399	0	true	16
40	30	29	1	136	420	3360	0	0	68.24292353908916	68.24292353908916	68.24292353908916	68.24292353908916	68.24292353908916	0.9910019666474145	68.24292353908916	0	true	3
41	32	29	32	4352	13440	107520	0	0	66.1962916499617	66.1962916499617	66.1962916499617	66.1962916499617	61.17299839342138,64.52830392024656,64.52830392024656,64.52830392024656,64.52830392024656,64.52830392024656,64.52830392024656,64.52830392024656,64.52830392024656,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,65.39703977595534,66.1962916499617,66.1962916499617	0.9905447028461556	66.1962916499617	0	true	14
42	32	28	11	1452	4620	36960	0	0	67.01752948013747	67.01752948013747	67.01752948013747	67.01752948013747	61.641088815801766,61.641088815801766,63.64102397396073,63.34020262889727,65.33067146714247,65.33067146714247,65.33067146714247,65.33067146714247,65.33067146714247,67.01752948013747,67.01752948013747	0.9905203573595749	67.01752948013747	0	true	15
