# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 25
# run: 21b23d53-59cb-4554-8196-994915664b8c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	9	720	3780	30240	0	0	48.26277752281079	48.26277752281079	48.26277752281079	48.26277752281079	36.862798332599425,37.849146646497914,37.849146646497914,41.87525648008558,46.3244882541586,48.13657793236651,48.13657793236651,48.26277752281079,48.26277752281079	0.9964291824156865	48.26277752281079	0	true	126
26	15	15	1	80	420	3360	0	0	54.619600070038466	54.619600070038466	54.619600070038466	54.619600070038466	54.619600070038466	0.9964291824156865	54.619600070038466	0	true	16
27	15	15	1	80	420	3360	0	0	56.68352609022768	56.68352609022768	56.68352609022768	56.68352609022768	56.68352609022768	0.9960817657423182	56.68352609022768	0	true	18
28	15	15	1	80	420	3360	0	0	58.533809183491066	58.533809183491066	58.533809183491066	58.533809183491066	58.533809183491066	0.9960817657423182	58.533809183491066	0	true	4
29	15	15	1	80	420	3360	0	0	59.972965894445494	59.972965894445494	59.972965894445494	59.972965894445494	59.972965894445494	0.9960817657423182	59.972965894445494	0	true	24
30	15	15	12	960	5040	40320	0	0	59.809412328185	59.809412328185	59.809412328185	59.809412328185	57.632612185697525,57.632612185697525,57.632612185697525,57.632612185697525,57.632612185697525,57.632612185697525,57.632612185697525,58.65842009515976,59.445656487167,59.445656487167,59.809412328185,59.809412328185	0.9957029850637148	59.809412328185	0	true	17
31	17	16	24	2016	10080	80640	0	0	60.24497695457167	60.24497695457167	60.24497695457167	60.24497695457167	55.052434029244495,55.052434029244495,58.03041296323708,58.03041296323708,58.03041296323708,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,59.682157168413006,60.24497695457167,60.24497695457167	0.9953702634137782	60.24497695457167	0	true	45
32	17	17	8	704	3360	26880	0	0	57.87286308673143	57.87286308673143	57.87286308673143	57.87286308673143	57.705581679733314,57.705581679733314,57.705581679733314,57.705581679733314,57.705581679733314,57.705581679733314,57.87286308673143,57.87286308673143	0.9952533612124491	57.87286308673143	0	true	19
33	17	17	1	88	420	3360	0	0	58.86574491772504	58.86574491772504	58.86574491772504	58.86574491772504	58.86574491772504	0.9952533612124491	58.86574491772504	0	true	3
34	17	17	1	88	420	3360	0	0	59.646002133211525	59.646002133211525	59.646002133211525	59.646002133211525	59.646002133211525	0.9950205437889765	59.646002133211525	0	true	2
