# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 5
# run: 222fe1d6-25a1-447b-93ec-8bdbc6a8cf22
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	7	560	2940	23520	0	0	48.103546235292505	48.103546235292505	48.103546235292505	48.103546235292505	37.85800627075756,37.85800627075756,37.85800627075756,41.868367834642655,46.11330671954298,48.103546235292505,48.103546235292505	0.9964291824156865	48.103546235292505	0	true	156
26	15	15	1	80	420	3360	0	0	54.412876677285006	54.412876677285006	54.412876677285006	54.412876677285006	54.412876677285006	0.9964291824156865	54.412876677285006	0	true	4
27	15	15	1	80	420	3360	0	0	56.508304230275705	56.508304230275705	56.508304230275705	56.508304230275705	56.508304230275705	0.9960817657423182	56.508304230275705	0	true	20
28	15	15	1	80	420	3360	0	0	58.27103578425108	58.27103578425108	58.27103578425108	58.27103578425108	58.27103578425108	0.9960817657423182	58.27103578425108	0	true	3
29	15	15	1	80	420	3360	0	0	59.731228627897	59.731228627897	59.731228627897	59.731228627897	59.731228627897	0.9960817657423182	59.731228627897	0	true	4
30	15	15	12	960	5040	40320	0	0	58.90178643393119	58.90178643393119	58.90178643393119	58.90178643393119	54.12417636536992,54.12417636536992,54.12417636536992,54.12417636536992,57.1278866710025,57.1278866710025,57.1278866710025,57.1278866710025,57.91016989863843,57.91016989863843,58.90178643393119,58.90178643393119	0.9957029850637148	58.90178643393119	0	true	53
31	17	17	4	352	1680	13440	0	0	57.592137499763595	57.592137499763595	57.592137499763595	57.592137499763595	56.583400312090944,55.73573983756546,57.592137499763595,57.592137499763595	0.9952702495229601	57.592137499763595	0	true	4
32	17	17	1	88	420	3360	0	0	56.884520906358986	56.884520906358986	56.884520906358986	56.884520906358986	56.884520906358986	0.9952533612124491	56.884520906358986	0	true	7
33	17	16	26	2184	10920	87360	0	0	56.62972326124382	56.62972326124382	56.62972326124382	56.62972326124382	56.144512689996375,55.206074809921006,55.206074809921006,54.962721872263586,54.962721872263586,56.49220307764105,56.49220307764105,56.49220307764105,56.53875622668037,56.53875622668037,56.53875622668037,56.53875622668037,56.53875622668037,56.53875622668037,56.62555450594278,56.62555450594278,56.62555450594278,56.62555450594278,56.62555450594278,56.62555450594278,56.62555450594278,56.62555450594278,56.62555450594278,56.62555450594278,56.62972326124382,56.62972326124382	0.9952701398586062	56.62972326124382	0	true	35
34	18	18	8	736	3360	26880	0	0	59.643777253606814	59.643777253606814	59.643777253606814	59.643777253606814	58.3848959925557,58.3848959925557,58.3848959925557,58.3848959925557,58.51720606386913,58.74379394140801,59.643777253606814,59.643777253606814	0.9948116331946688	59.643777253606814	0	true	14
35	19	19	4	384	1680	13440	0	0	54.73543774897419	54.73543774897419	54.73543774897419	54.73543774897419	52.73708113136532,52.73708113136532,54.73543774897419,54.73543774897419	0.9939249237832741	54.73543774897419	0	true	3
36	22	22	7	756	2940	23520	0	0	56.05198044955976	56.05198044955976	56.05198044955976	56.05198044955976	52.70905335017398,52.70905335017398,54.34085124169365,55.97162472012834,55.97162472012834,56.05198044955976,56.05198044955976	0.9929764367858108	56.05198044955976	0	true	5
37	22	22	1	108	420	3360	0	0	58.84846786644643	58.84846786644643	58.84846786644643	58.84846786644643	58.84846786644643	0.9928775195385324	58.84846786644643	0	true	6
38	23	22	8	864	3360	26880	0	0	57.75619140141203	57.75619140141203	57.75619140141203	57.75619140141203	55.701781010617616,55.726206222030946,55.726206222030946,55.31065680135654,56.62243427330059,56.041613752745214,57.75619140141203,57.75619140141203	0.9925590542546117	57.75619140141203	0	true	5
39	24	21	7	728	2940	23520	0	0	57.09918777404835	57.09918777404835	57.09918777404835	57.09918777404835	53.11480536197705,53.17684156016374,53.17684156016374,55.761054278569105,55.761054278569105,57.09918777404835,57.09918777404835	0.9925286772285624	57.09918777404835	0	true	5
40	24	20	9	900	3780	30240	0	0	56.02629151156567	56.02629151156567	56.02629151156567	56.02629151156567	50.73313838334708,52.31447918205279,54.578358508529924,55.2783706859391,55.2783706859391,55.2783706859391,55.2783706859391,56.02629151156567,56.02629151156567	0.9925488920244772	56.02629151156567	0	true	9
41	24	19	13	1248	5460	43680	0	0	52.30552023055871	52.30552023055871	52.30552023055871	52.30552023055871	43.17324610135359,43.17324610135359,46.79077745289941,46.79077745289941,49.52416698820598,51.80181176971048,51.80181176971048,51.80181176971048,51.80181176971048,51.80181176971048,51.80181176971048,52.30552023055871,52.30552023055871	0.9926138864315951	52.30552023055871	0	true	8
42	25	20	7	700	2940	23520	0	0	54.72339870172429	54.72339870172429	54.72339870172429	54.72339870172429	51.35736360715022,51.35736360715022,51.541308140439355,52.037038415824256,53.82260312597397,54.72339870172429,54.72339870172429	0.9921107829303779	54.72339870172429	0	true	8
43	25	17	14	1232	5880	47040	0	0	46.68540465230887	46.68540465230887	46.68540465230887	46.68540465230887	41.633220723392505,41.633220723392505,41.633220723392505,43.67001789456732,43.67001789456732,43.67001789456732,43.67001789456732,43.67001789456732,43.67001789456732,44.94823490291614,44.94823490291614,44.94823490291614,46.68540465230887,46.68540465230887	0.9919330535673817	46.68540465230887	2	true	11
44	25	16	7	588	2940	23520	0	0	44.843708697268006	44.843708697268006	44.843708697268006	44.843708697268006	42.65173514684947,42.65173514684947,42.65173514684947,42.65173514684947,44.1392513592036,44.843708697268006,44.843708697268006	0.9920038967400445	44.843708697268006	3	true	10
45	25	18	13	1196	5460	43680	0	0	43.58819087408993	43.58819087408993	43.58819087408993	43.58819087408993	33.99154000685905,37.93774596833684,40.265235880743276,42.2145072868477,42.914765685445566,43.09724519213398,43.09724519213398,43.13537229485787,43.13537229485787,43.575017622589804,43.575017622589804,43.58819087408993,43.58819087408993	0.9918212690359041	43.58819087408993	1	true	16
46	25	15	27	2160	11340	90720	0	0	37.08985616020349	37.08985616020349	37.08985616020349	37.08985616020349	33.413807102160035,33.413807102160035,34.92340583361771,35.174414613250555,35.174414613250555,35.174414613250555,37.05610747717687,37.05610747717687,37.05610747717687,37.05610747717687,37.05610747717687,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08969746683319,37.08985616020349,37.08985616020349	0.9918896264832106	37.08985616020349	2	true	6
47	25	15	1	80	420	3360	0	0	38.58547927624516	38.58547927624516	38.58547927624516	38.58547927624516	38.58547927624516	0.9918896264832106	38.58547927624516	2	true	2
48	25	15	1	80	420	3360	0	0	38.976262752486655	38.976262752486655	38.976262752486655	38.976262752486655	38.976262752486655	0.9918896264832106	38.976262752486655	2	true	2
49	25	14	51	3876	21420	171360	0	0	31.677425579993283	31.677425579993283	31.677425579993283	31.677425579993283	20.857105271882787,20.857105271882787,24.157150958466772,24.157150958466772,28.220262509094113,28.220262509094113,28.220262509094113,28.220262509094113,28.220262509094113,28.220262509094113,28.220262509094113,28.220262509094113,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.21969882267102,30.74335215796661,30.74335215796661,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.00988294983857,31.57755583684937,31.57755583684937,31.57755583684937,31.57755583684937,31.57755583684937,31.57755583684937,31.677035714922347,31.677035714922347,31.677035714922347,31.677425579993283,31.677425579993283	0.9919526469319568	31.677425579993283	1	true	35
50	25	13	8	576	3360	26880	0	0	31.924569715235442	31.924569715235442	31.924569715235442	31.924569715235442	31.706294697771927,31.706294697771927,31.706294697771927,31.706294697771927,31.706294697771927,31.706294697771927,31.924569715235442,31.924569715235442	0.9920129623266389	31.924569715235442	1	false	3
51	25	12	2	136	840	6720	0	0	22.049715180319616	22.049715180319616	22.049715180319616	22.049715180319616	22.049715180319616,22.049715180319616	0.9918370972576601	22.049715180319616	4	false	2
52	25	12	1	68	420	3360	0	0	23.0920556919156	23.0920556919156	23.0920556919156	23.0920556919156	23.0920556919156	0.9918370972576601	23.0920556919156	4	false	2
53	25	11	55	3520	23100	184800	0	0	21.463831251770134	21.463831251770134	21.463831251770134	21.463831251770134	19.719298383927807,19.719298383927807,19.719298383927807,19.719298383927807,19.719298383927807,20.844194118616635,20.844194118616635,20.844194118616635,20.844194118616635,20.844194118616635,20.844194118616635,20.844194118616635,20.844194118616635,20.844194118616635,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.043865941034337,21.310695343367385,21.463831251770134,21.463831251770134	0.9919769193089684	21.463831251770134	5	false	34
54	25	10	12	720	5040	40320	0	0	19.714425372009572	19.714425372009572	19.714425372009572	19.714425372009572	19.431101387631905,19.431101387631905,19.431101387631905,19.431101387631905,19.431101387631905,19.431101387631905,19.431101387631905,19.137954925587106,19.137954925587106,19.137954925587106,19.714425372009572,19.714425372009572	0.9921048610552635	19.714425372009572	6	false	4
55	25	8	13	676	5460	43680	0	0	-5.4786917408897615	-5.4786917408897615	-5.4786917408897615	-5.4786917408897615	-13.482726584608292,-13.482726584608292,-11.549295222752036,-8.962682289397561,-8.94849374561979,-8.94849374561979,-6.673108947081998,-6.673108947081998,-6.673108947081998,-5.822518969810487,-5.822518969810487,-5.4786917408897615,-5.4786917408897615	0.9922512995225945	-5.4786917408897615	10	false	4
56	25	8	1	52	420	3360	0	0	-4.383229103715799	-4.383229103715799	-4.383229103715799	-4.383229103715799	-4.383229103715799	0.9922512995225945	-4.383229103715799	10	false	1
57	25	8	1	52	420	3360	0	0	-3.8942558629233517	-3.8942558629233517	-3.8942558629233517	-3.8942558629233517	-3.8942558629233517	0.9922512995225945	-3.8942558629233517	10	false	1
58	25	8	1	52	420	3360	0	0	-3.1836856741528763	-3.1836856741528763	-3.1836856741528763	-3.1836856741528763	-3.1836856741528763	0.9922512995225945	-3.1836856741528763	10	false	1
59	25	6	6	264	2520	20160	0	0	-15.924542949853102	-15.924542949853102	-15.924542949853102	-15.924542949853102	-19.51301798180948,-17.779309579989295,-16.559768708164995,-16.559768708164995,-15.924542949853102,-15.924542949853102	0.992368274833493	-15.924542949853102	12	false	4
60	25	6	1	44	420	3360	0	0	-14.795263068076913	-14.795263068076913	-14.795263068076913	-14.795263068076913	-14.795263068076913	0.992368274833493	-14.795263068076913	12	false	1
61	25	4	7	252	2940	23520	0	0	-38.781714933142645	-38.781714933142645	-38.781714933142645	-38.781714933142645	-39.24382020798097,-39.24382020798097,-39.24382020798097,-39.24382020798097,-39.24382020798097,-38.781714933142645,-38.781714933142645	0.9928178986847589	-38.781714933142645	16	false	1
62	25	5	13	520	5460	43680	0	0	-28.721100139546458	-28.721100139546458	-28.721100139546458	-28.721100139546458	-37.12475020556166,-29.43420041388427,-29.43420041388427,-29.012609464316412,-30.261093084984726,-29.286572246471692,-29.286572246471692,-29.286572246471692,-29.286572246471692,-29.286572246471692,-29.286572246471692,-28.721100139546458,-28.721100139546458	0.9927758606824048	-28.721100139546458	15	false	2
63	25	4	1	36	420	3360	0	0	-37.01884687409297	-37.01884687409297	-37.01884687409297	-37.01884687409297	-37.01884687409297	0.9928178986847589	-37.01884687409297	16	false	2
64	25	3	2	64	840	6720	0	0	-49.080235359591235	-49.080235359591235	-49.080235359591235	-49.080235359591235	-49.080235359591235,-49.080235359591235	0.9929339601260408	-49.080235359591235	17	false	1
65	25	2	4	112	1680	13440	0	0	-67.64622119383851	-67.64622119383851	-67.64622119383851	-67.64622119383851	-68.74327855610261,-68.74327855610261,-67.64622119383851,-67.64622119383851	0.9930865763519787	-67.64622119383851	18	false	1
66	25	1	1	24	420	3360	0	0	-104.0943403743954	-104.0943403743954	-104.0943403743954	-104.0943403743954	-104.0943403743954	0.9932455896652312	-104.0943403743954	19	false	1
