# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 8
# run: 25fa3c1c-3190-418d-9e45-3725c4fba576
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	12	960	5040	40320	0	0	48.07638941152662	48.07638941152662	48.07638941152662	48.07638941152662	39.59837520828084,39.59837520828084,39.59837520828084,39.59837520828084,39.59837520828084,39.59837520828084,39.59837520828084,42.83461053228005,42.83461053228005,42.83461053228005,48.07638941152662,48.07638941152662	0.9960817657423182	48.07638941152662	0	true	135
26	15	15	1	80	420	3360	0	0	54.53283098857518	54.53283098857518	54.53283098857518	54.53283098857518	54.53283098857518	0.9960817657423182	54.53283098857518	0	true	24
27	15	15	12	960	5040	40320	0	0	56.10670778075682	56.10670778075682	56.10670778075682	56.10670778075682	54.44103633960779,54.44103633960779,54.44103633960779,54.44103633960779,54.44103633960779,54.44103633960779,54.44103633960779,54.44103633960779,54.44103633960779,54.44103633960779,56.10670778075682,56.10670778075682	0.9958718681688247	56.10670778075682	0	true	18
28	17	17	24	2112	10080	80640	0	0	55.15686566271367	55.15686566271367	55.15686566271367	55.15686566271367	49.729468925589586,49.729468925589586,49.729468925589586,49.729468925589586,50.5064226202861,50.59986603664602,53.6679513626773,54.03790261582303,54.03790261582303,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,54.25006795130105,55.15686566271367,55.15686566271367	0.9952702495229601	55.15686566271367	0	true	31
29	17	17	1	88	420	3360	0	0	57.986122877776765	57.986122877776765	57.986122877776765	57.986122877776765	57.986122877776765	0.9952702495229601	57.986122877776765	0	true	2
30	20	20	36	3600	15120	120960	0	0	60.931799883500226	60.931799883500226	60.931799883500226	60.931799883500226	58.65729686684699,58.65729686684699,59.447250470005486,59.447250470005486,59.447250470005486,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,59.69638082625888,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.48542766929655,60.931799883500226,60.931799883500226	0.9948494308420032	60.931799883500226	0	true	180
31	20	19	19	1824	7980	63840	0	0	61.196294544439944	61.196294544439944	61.196294544439944	61.196294544439944	60.88945586482316,60.88945586482316,60.88945586482316,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.12927700355359,61.16325841000387,61.16325841000387,61.16325841000387,61.196294544439944,61.196294544439944	0.9947717884793941	61.196294544439944	0	true	13
32	21	19	13	1248	5460	43680	0	0	51.50541798184804	51.50541798184804	51.50541798184804	51.50541798184804	48.60263052423076,48.731209262054136,48.731209262054136,48.731209262054136,48.731209262054136,48.731209262054136,48.731209262054136,48.731209262054136,50.51583568708673,50.51583568708673,50.51583568708673,51.50541798184804,51.50541798184804	0.9934859739291276	51.50541798184804	0	true	4
33	23	22	10	1080	4200	33600	0	0	55.07408312144675	55.07408312144675	55.07408312144675	55.07408312144675	52.846268178621486,52.846268178621486,52.846268178621486,52.846268178621486,52.846268178621486,54.10732398896123,54.10732398896123,54.934036473459955,55.07408312144675,55.07408312144675	0.9929075675715195	55.07408312144675	0	true	20
34	23	22	1	108	420	3360	0	0	57.54068625473227	57.54068625473227	57.54068625473227	57.54068625473227	57.54068625473227	0.9929075675715195	57.54068625473227	0	true	3
