# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: 62dcb0d5-3efe-4b73-8855-967efa3e9a65
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	8	640	3360	26880	0	0	48.27147187170938	48.27147187170938	48.27147187170938	48.27147187170938	42.119458645480876,42.119458645480876,45.36779360332115,47.28452914038,47.28452914038,47.28452914038,48.27147187170938,48.27147187170938	0.9960817657423182	48.27147187170938	0	true	165
26	15	15	1	80	420	3360	0	0	54.66565535024994	54.66565535024994	54.66565535024994	54.66565535024994	54.66565535024994	0.9960817657423182	54.66565535024994	0	true	16
27	15	15	29	2320	12180	97440	0	0	56.56970891823497	56.56970891823497	56.56970891823497	56.56970891823497	55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,55.67017498048455,56.56970891823497,56.56970891823497	0.9959128826372083	56.56970891823497	0	true	63
28	18	18	18	1656	7560	60480	0	0	58.56920526025629	58.56920526025629	58.56920526025629	58.56920526025629	56.05454960351087,56.05454960351087,56.05454960351087,56.05454960351087,56.05454960351087,56.84091019894575,56.84091019894575,56.84091019894575,57.62652532770313,57.62652532770313,57.62652532770313,57.62652532770313,57.62652532770313,57.62652532770313,57.62652532770313,57.62652532770313,58.56920526025629,58.56920526025629	0.9953460275915513	58.56920526025629	0	true	36
29	19	19	26	2496	10920	87360	0	0	60.15258252379818	60.15258252379818	60.15258252379818	60.15258252379818	59.020356656591446,59.020356656591446,59.020356656591446,59.020356656591446,59.124520128035925,59.92467997334322,59.92467997334322,59.92467997334322,59.92467997334322,59.92467997334322,59.92467997334322,59.92467997334322,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,59.97354905011867,60.15258252379818,60.15258252379818	0.9950738772197893	60.15258252379818	0	true	20
30	20	20	22	2200	9240	73920	0	0	62.33059655824703	62.33059655824703	62.33059655824703	62.33059655824703	59.8822234300859,59.8822234300859,59.8822234300859,59.8822234300859,60.180380223557435,60.180380223557435,60.180380223557435,60.180380223557435,60.180380223557435,60.180380223557435,60.959447432195894,60.959447432195894,60.959447432195894,60.959447432195894,60.959447432195894,60.959447432195894,60.959447432195894,61.73965752237324,61.73965752237324,61.73965752237324,62.33059655824703,62.33059655824703	0.9947698145210228	62.33059655824703	0	true	34
31	20	20	1	100	420	3360	0	0	64.11916986636147	64.11916986636147	64.11916986636147	64.11916986636147	64.11916986636147	0.9944151600002925	64.11916986636147	0	true	3
32	23	23	20	2240	8400	67200	0	0	62.93372663338342	62.93372663338342	62.93372663338342	62.93372663338342	57.75264374963939,57.75264374963939,57.75264374963939,57.75264374963939,57.811363326266886,60.61190014717791,60.61190014717791,60.61190014717791,61.41185280921673,61.41185280921673,61.41185280921673,61.41185280921673,62.17320568692452,62.17320568692452,62.17320568692452,62.17320568692452,62.17320568692452,62.17320568692452,62.93372663338342,62.93372663338342	0.9933362455311775	62.93372663338342	0	true	21
33	23	23	3	336	1260	10080	0	0	59.53143672598957	59.53143672598957	59.53143672598957	59.53143672598957	57.64682402862039,59.53143672598957,59.53143672598957	0.9928066763658695	59.53143672598957	0	true	4
34	24	24	19	2204	7980	63840	0	0	61.530236520481964	61.530236520481964	61.530236520481964	61.530236520481964	60.644372953744835,60.644372953744835,60.644372953744835,60.644372953744835,60.644372953744835,60.644372953744835,60.644372953744835,60.737083974147964,60.737083974147964,60.737083974147964,60.737083974147964,60.737083974147964,60.737083974147964,60.737083974147964,60.737083974147964,59.62294754088509,59.62294754088509,61.530236520481964,61.530236520481964	0.9927930048764083	61.530236520481964	0	true	13
