# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 23
# run: 70b837e1-5fec-41f0-9b46-0a8c6a63ffe8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	14	1120	5880	47040	0	0	48.36580117333259	48.36580117333259	48.36580117333259	48.36580117333259	42.1309056886805,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,47.37918096933108,48.36580117333259,48.36580117333259	0.9964291824156865	48.36580117333259	0	true	219
26	15	15	1	80	420	3360	0	0	54.647570112383306	54.647570112383306	54.647570112383306	54.647570112383306	54.647570112383306	0.9960817657423182	54.647570112383306	0	true	39
27	15	15	1	80	420	3360	0	0	56.646166856995215	56.646166856995215	56.646166856995215	56.646166856995215	56.646166856995215	0.9960817657423182	56.646166856995215	0	true	5
28	15	15	1	80	420	3360	0	0	58.51775506506653	58.51775506506653	58.51775506506653	58.51775506506653	58.51775506506653	0.9960817657423182	58.51775506506653	0	true	3
29	15	15	16	1280	6720	53760	0	0	55.82479748745113	55.82479748745113	55.82479748745113	55.82479748745113	54.51230632545785,54.51230632545785,54.51230632545785,54.51230632545785,54.51230632545785,55.49284689012148,55.49284689012148,55.49284689012148,55.49284689012148,55.49284689012148,55.49284689012148,55.49284689012148,55.107771815531386,55.107771815531386,55.82479748745113,55.82479748745113	0.9956704147505866	55.82479748745113	0	true	19
30	17	17	16	1408	6720	53760	0	0	57.97224284303775	57.97224284303775	57.97224284303775	57.97224284303775	55.38472934898087,56.16069074499882,55.21308093056844,55.21308093056844,55.21308093056844,55.21308093056844,56.012958719302944,57.73701027549758,57.73701027549758,57.73701027549758,57.73701027549758,57.73701027549758,57.73701027549758,57.73701027549758,57.97224284303775,57.97224284303775	0.9952702495229601	57.97224284303775	0	true	30
31	17	17	1	88	420	3360	0	0	57.46166790942993	57.46166790942993	57.46166790942993	57.46166790942993	57.46166790942993	0.9952533612124491	57.46166790942993	0	true	4
32	19	19	24	2304	10080	80640	0	0	60.48981022478611	60.48981022478611	60.48981022478611	60.48981022478611	58.02794926721851,58.02794926721851,58.23003850343604,58.23003850343604,58.23003850343604,58.59627241170594,57.40920391207157,57.40920391207157,57.40920391207157,57.40920391207157,57.40920391207157,57.40920391207157,57.40920391207157,59.686096421165175,59.686096421165175,59.686096421165175,59.686096421165175,59.686096421165175,59.686096421165175,59.686096421165175,59.686096421165175,59.686096421165175,60.48981022478611,60.48981022478611	0.9950569889092784	60.48981022478611	0	true	17
33	20	20	3	300	1260	10080	0	0	60.127188088305516	60.127188088305516	60.127188088305516	60.127188088305516	59.923189630092,60.127188088305516,60.127188088305516	0.9941907867320754	60.127188088305516	0	true	4
34	21	20	11	1100	4620	36960	0	0	53.94503474698339	53.94503474698339	53.94503474698339	53.94503474698339	50.738781538702106,51.497363691078924,52.38965889247215,52.38965889247215,49.830973878661624,52.78347585248064,52.78347585248064,52.78347585248064,52.78347585248064,53.94503474698339,53.94503474698339	0.9934153500851727	53.94503474698339	0	true	6
