# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 16
# run: a2bb7cb9-6f65-4d29-ac14-6eb65fc7d453
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	6	480	2520	20160	0	0	48.351927537163206	48.351927537163206	48.351927537163206	48.351927537163206	36.86509560121833,38.113387356251586,38.113387356251586,46.36203355959857,48.351927537163206,48.351927537163206	0.9960817657423182	48.351927537163206	0	true	111
26	15	15	1	80	420	3360	0	0	54.8445670686464	54.8445670686464	54.8445670686464	54.8445670686464	54.8445670686464	0.9960817657423182	54.8445670686464	0	true	4
27	15	15	1	80	420	3360	0	0	57.01381577796618	57.01381577796618	57.01381577796618	57.01381577796618	57.01381577796618	0.9960817657423182	57.01381577796618	0	true	5
28	15	15	59	4720	24780	198240	0	0	58.16287291986225	58.16287291986225	58.16287291986225	58.16287291986225	56.46364110733111,56.46364110733111,56.46364110733111,56.46364110733111,56.46364110733111,56.46364110733111,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,57.361538226527884,58.16287291986225,58.16287291986225	0.9957029850637148	58.16287291986225	0	true	175
29	17	17	9	792	3780	30240	0	0	57.209998457199944	57.209998457199944	57.209998457199944	57.209998457199944	55.70886646824528,56.508324193104734,55.699438241687695,55.699438241687695,56.95150127035979,57.033580354572464,57.033580354572464,57.209998457199944,57.209998457199944	0.9952702495229601	57.209998457199944	0	true	5
30	18	18	2	184	840	6720	0	0	57.860193990557775	57.860193990557775	57.860193990557775	57.860193990557775	57.860193990557775,57.860193990557775	0.9950458031451738	57.860193990557775	0	true	3
31	20	20	27	2700	11340	90720	0	0	62.34958038028629	62.34958038028629	62.34958038028629	62.34958038028629	59.78586632538819,59.78586632538819,60.819080297775336,61.25429448134359,61.25429448134359,61.25429448134359,61.25429448134359,61.25429448134359,61.25429448134359,61.25429448134359,61.409578644614264,61.409578644614264,61.409578644614264,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.47360436820808,61.565966312956924,62.34958038028629,62.34958038028629	0.9948494308420032	62.34958038028629	0	true	33
32	20	20	1	100	420	3360	0	0	64.99485720447443	64.99485720447443	64.99485720447443	64.99485720447443	64.99485720447443	0.9947698145210228	64.99485720447443	0	true	9
33	20	20	4	400	1680	13440	0	0	55.48077524643521	55.48077524643521	55.48077524643521	55.48077524643521	52.34268919896694,54.28040815185432,55.48077524643521,55.48077524643521	0.9935984895562979	55.48077524643521	0	true	3
34	23	22	6	648	2520	20160	0	0	56.76511381706144	56.76511381706144	56.76511381706144	56.76511381706144	54.42679884746869,56.00436580133659,56.00436580133659,55.11697319430538,56.76511381706144,56.76511381706144	0.9929075675715195	56.76511381706144	0	true	5
