# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: b65045cc-a7c8-4f50-a478-fdd3364e0897
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	13	13	14	1008	5880	47040	0	0	48.0369364864156	48.0369364864156	48.0369364864156	48.0369364864156	41.731288257659244,41.731288257659244,44.19247135879921,46.13309492783807,46.00398880276386,46.02724644634843,46.02724644634843,46.02724644634843,46.02724644634843,46.02724644634843,46.02724644634843,46.02724644634843,48.0369364864156,48.0369364864156	0.9974818871042032	48.0369364864156	0	true	206
26	15	15	52	4160	21840	174720	0	0	53.40526541860944	53.40526541860944	53.40526541860944	53.40526541860944	49.88155055109394,49.88155055109394,49.88155055109394,49.88155055109394,50.88685845437972,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,51.74374736668182,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,52.57316891367166,53.40526541860944,53.40526541860944	0.9966306358339244	53.40526541860944	0	true	91
27	15	15	38	3040	15960	127680	0	0	55.93808528046432	55.93808528046432	55.93808528046432	55.93808528046432	54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,54.08483286468358,55.01105616500726,55.01105616500726,55.01105616500726,55.01105616500726,55.01105616500726,55.01105616500726,55.01105616500726,55.01105616500726,55.93808528046432,55.93808528046432	0.9964291824156865	55.93808528046432	0	true	24
28	15	15	1	80	420	3360	0	0	58.07031042181125	58.07031042181125	58.07031042181125	58.07031042181125	58.07031042181125	0.9960817657423182	58.07031042181125	0	true	28
29	15	15	1	80	420	3360	0	0	59.48656733386814	59.48656733386814	59.48656733386814	59.48656733386814	59.48656733386814	0.9960817657423182	59.48656733386814	0	true	2
30	15	15	1	80	420	3360	0	0	60.413949289602165	60.413949289602165	60.413949289602165	60.413949289602165	60.413949289602165	0.9960817657423182	60.413949289602165	0	true	4
31	15	14	11	836	4620	36960	0	0	58.06425504968992	58.06425504968992	58.06425504968992	58.06425504968992	56.30733983991355,56.30733983991355,56.30733983991355,56.30733983991355,56.30733983991355,56.30733983991355,56.99635832672233,56.99635832672233,56.99635832672233,58.06425504968992,58.06425504968992	0.9960906485549893	58.06425504968992	0	true	7
32	15	14	11	836	4620	36960	0	0	59.13322589450611	59.13322589450611	59.13322589450611	59.13322589450611	55.160100273245604,55.160100273245604,58.06684630162357,58.06684630162357,58.06684630162357,58.06684630162357,58.06684630162357,58.06684630162357,58.06684630162357,59.13322589450611,59.13322589450611	0.9959217654498799	59.13322589450611	0	true	17
33	15	14	1	76	420	3360	0	0	58.13581236899339	58.13581236899339	58.13581236899339	58.13581236899339	58.13581236899339	0.9957118678763863	58.13581236899339	0	true	3
34	16	16	8	672	3360	26880	0	0	61.36156005897269	61.36156005897269	61.36156005897269	61.36156005897269	59.58255411990489,59.58255411990489,60.39776313107759,59.54547684011865,61.19804815485019,61.19804815485019,61.36156005897269,61.36156005897269	0.9955252557007185	61.36156005897269	0	true	5
35	16	16	1	84	420	3360	0	0	61.07836655608828	61.07836655608828	61.07836655608828	61.07836655608828	61.07836655608828	0.9954420204560575	61.07836655608828	0	true	2
36	17	17	15	1320	6300	50400	0	0	61.56507704529108	61.56507704529108	61.56507704529108	61.56507704529108	60.524937994245924,60.524937994245924,60.524937994245924,60.524937994245924,60.524937994245924,59.4923845352075,59.4923845352075,59.4923845352075,60.36561965504582,60.36561965504582,60.36561965504582,60.36561965504582,60.36561965504582,61.56507704529108,61.56507704529108	0.9952859315255773	61.56507704529108	0	true	3
37	17	16	4	336	1680	13440	0	0	60.29487745220541	60.29487745220541	60.29487745220541	60.29487745220541	59.58344125619051,59.58344125619051,60.29487745220541,60.29487745220541	0.9948885079068	60.29487745220541	0	true	6
38	17	15	9	720	3780	30240	0	0	47.04963080219063	47.04963080219063	47.04963080219063	47.04963080219063	44.329942131875725,44.329942131875725,44.329942131875725,45.38570501800869,45.38570501800869,47.04924960955451,47.04924960955451,47.04963080219063,47.04963080219063	0.9942182393753519	47.04963080219063	0	true	3
39	17	15	1	80	420	3360	0	0	50.12901554550728	50.12901554550728	50.12901554550728	50.12901554550728	50.12901554550728	0.9942522353250817	50.12901554550728	0	true	2
40	17	14	8	608	3360	26880	0	0	46.72792467567976	46.72792467567976	46.72792467567976	46.72792467567976	45.449202700723134,45.449202700723134,45.449202700723134,45.449202700723134,45.449202700723134,45.449202700723134,46.72792467567976,46.72792467567976	0.9942611181377531	46.72792467567976	1	true	3
41	17	15	9	720	3780	30240	0	0	47.80878612495779	47.80878612495779	47.80878612495779	47.80878612495779	45.0735659546321,45.0735659546321,45.0735659546321,45.0735659546321,45.0735659546321,45.0735659546321,45.0735659546321,47.80878612495779,47.80878612495779	0.9941193221280732	47.80878612495779	1	true	3
42	18	15	11	880	4620	36960	0	0	46.66773066263051	46.66773066263051	46.66773066263051	46.66773066263051	43.08584259853724,43.08584259853724,43.48879057215096,45.389451536283815,46.667470763921756,46.667470763921756,46.667470763921756,46.667470763921756,46.66771824717687,46.66773066263051,46.66773066263051	0.9937323166229228	46.66773066263051	1	true	12
43	18	14	11	836	4620	36960	0	0	41.92696467515666	42.04644878255941	41.92696467515666	42.92814908404589	42.04644878255941,42.04644878255941,40.55830470784679,40.55830470784679,40.55830470784679,40.55830470784679,40.55830470784679,40.55830470784679,40.55830470784679,41.92696467515666,41.92696467515666	0.9937698218319797	42.04644878255941	2	true	3
44	19	15	11	880	4620	36960	0	0	45.43571535812823	45.43571535812823	45.43571535812823	45.43571535812823	43.88884449996391,40.35146761877275,40.35146761877275,41.61837906112122,41.61837906112122,41.61837906112122,44.63563752962066,44.63563752962066,44.63563752962066,45.43571535812823,45.43571535812823	0.993624406898619	45.43571535812823	1	true	14
45	19	13	53	3816	22260	178080	0	0	37.86328811267709	37.86328811267709	37.86328811267709	37.86328811267709	34.45000094433968,34.78836365089472,35.08458447631532,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.77438892452125,36.83206482515086,36.83206482515086,36.83206482515086,36.926049871126104,36.926049871126104,36.926049871126104,37.42920677847521,37.42920677847521,37.42920677847521,37.42920677847521,37.42920677847521,37.42920677847521,37.437879409531696,37.437879409531696,37.437879409531696,37.43804965828664,37.43804965828664,37.43804965828664,37.7401252872994,37.7401252872994,37.7401252872994,37.7401252872994,37.86328811267709,37.86328811267709	0.9934870340178827	37.86328811267709	2	true	18
46	19	13	1	72	420	3360	0	0	39.11292269860814	39.11292269860814	39.11292269860814	39.11292269860814	39.11292269860814	0.9934870340178827	39.11292269860814	2	true	1
47	19	16	11	924	4620	36960	0	0	48.04093695940042	48.04093695940042	48.04093695940042	48.04093695940042	41.16520345810011,44.16784996709033,44.96760807897155,44.96760807897155,45.867872952625646,45.867872952625646,45.867872952625646,45.867872952625646,46.768373594484125,48.04093695940042,48.04093695940042	0.9934309589782208	48.04093695940042	0	true	15
48	20	14	7	532	2940	23520	0	0	42.01831660560445	42.01831660560445	42.01831660560445	42.01831660560445	35.53371347410159,35.53371347410159,39.5233982651627,39.51135244428154,41.81647692468823,42.01831660560445,42.01831660560445	0.9925814257828209	42.01831660560445	2	true	3
49	20	13	21	1512	8820	70560	0	0	33.33295157098677	33.33295157098677	33.33295157098677	33.33295157098677	29.529136701381663,29.82346127123836,29.82346127123836,31.12127928266954,31.12127928266954,31.12127928266954,31.12127928266954,31.12127928266954,33.11125587676767,33.11125587676767,33.15078460697865,33.15078460697865,33.15078460697865,33.15078460697865,33.15078460697865,33.15078460697865,33.15078460697865,33.15078460697865,33.15078460697865,33.33295157098677,33.33295157098677	0.9925010418113627	33.33295157098677	2	false	8
50	20	13	1	72	420	3360	0	0	34.83174217023755	34.83174217023755	34.83174217023755	34.83174217023755	34.83174217023755	0.9925010418113627	34.83174217023755	2	false	1
51	20	14	13	988	5460	43680	0	0	35.30730905782564	35.30730905782564	35.30730905782564	35.30730905782564	28.482406021465117,30.38245096774395,30.38245096774395,30.38245096774395,30.38245096774395,33.984197609033885,32.61597999378854,32.61597999378854,35.20735400410447,35.20735400410447,35.20735400410447,35.30730905782564,35.30730905782564	0.9924091065279536	35.30730905782564	1	true	4
52	20	13	16	1152	6720	53760	0	0	35.46985308717146	35.46985308717146	35.46985308717146	35.46985308717146	35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.397836136636855,35.39857556859927,35.39857556859927,35.39857556859927,35.46985308717146,35.46985308717146	0.9924178065667016	35.46985308717146	2	true	3
53	20	12	3	204	1260	10080	0	0	35.78133084994237	35.78133084994237	35.78133084994237	35.78133084994237	34.90199950248456,35.78133084994237,35.78133084994237	0.9924781219613837	35.78133084994237	2	true	2
54	20	12	1	68	420	3360	0	0	36.6548479377241	36.6548479377241	36.6548479377241	36.6548479377241	36.6548479377241	0.9924781219613837	36.6548479377241	2	true	1
55	20	12	1	68	420	3360	0	0	37.307888379235386	37.307888379235386	37.307888379235386	37.307888379235386	37.307888379235386	0.9924781219613837	37.307888379235386	2	true	2
