# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 12
# run: ec84e7c3-e8fb-41a7-ac48-369c9275776b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	19	1520	7980	63840	0	0	48.090440759012736	48.090440759012736	48.090440759012736	48.090440759012736	36.85841757415479,44.13835249488571,46.107976797427895,46.117171319051224,46.117171319051224,46.117171319051224,46.117171319051224,46.117171319051224,46.117171319051224,46.117171319051224,46.117171319051224,47.10465335616223,47.10465335616223,47.10465335616223,47.10465335616223,47.10465335616223,47.10465335616223,48.090440759012736,48.090440759012736	0.9964291824156865	48.090440759012736	0	true	171
26	15	15	1	80	420	3360	0	0	54.35002782758544	54.35002782758544	54.35002782758544	54.35002782758544	54.35002782758544	0.9960817657423182	54.35002782758544	0	true	36
27	15	15	1	80	420	3360	0	0	56.38587262424024	56.38587262424024	56.38587262424024	56.38587262424024	56.38587262424024	0.9960817657423182	56.38587262424024	0	true	4
28	15	15	1	80	420	3360	0	0	58.11288188603023	58.11288188603023	58.11288188603023	58.11288188603023	58.11288188603023	0.9960817657423182	58.11288188603023	0	true	3
29	15	15	16	1280	6720	53760	0	0	59.195884742446424	59.195884742446424	59.195884742446424	59.195884742446424	55.242569014940415,55.242569014940415,55.242569014940415,55.242569014940415,55.242569014940415,55.242569014940415,58.17046399375541,58.17046399375541,58.17046399375541,58.17046399375541,58.17046399375541,58.17046399375541,58.17046399375541,58.17046399375541,59.195884742446424,59.195884742446424	0.9959128826372083	59.195884742446424	0	true	8
30	16	16	7	588	2940	23520	0	0	56.253165949395154	56.253165949395154	56.253165949395154	56.253165949395154	53.748825245215656,53.748825245215656,54.64813955846243,55.439188531044735,55.439188531044735,56.253165949395154,56.253165949395154	0.9954479788859564	56.253165949395154	0	true	6
31	17	16	8	672	3360	26880	0	0	58.14979699129756	58.14979699129756	58.14979699129756	58.14979699129756	54.2019946201131,56.89168660690983,56.89168660690983,56.89168660690983,56.89168660690983,56.89168660690983,58.14979699129756,58.14979699129756	0.9952870281691172	58.14979699129756	0	true	5
32	17	16	1	84	420	3360	0	0	57.30036095820522	57.30036095820522	57.30036095820522	57.30036095820522	57.30036095820522	0.9952701398586062	57.30036095820522	0	true	3
33	18	18	10	920	4200	33600	0	0	58.724529044583385	58.724529044583385	58.724529044583385	58.724529044583385	58.571477387571974,58.571477387571974,57.38316157829849,57.38316157829849,57.38316157829849,57.38316157829849,57.38316157829849,57.38316157829849,58.724529044583385,58.724529044583385	0.9949648342971612	58.724529044583385	0	true	19
34	19	19	28	2688	11760	94080	0	0	56.98016249380124	56.98016249380124	56.98016249380124	56.98016249380124	53.80644032778145,53.80644032778145,54.43103964311867,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.43601720385041,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.884696926150056,56.98016249380124,56.98016249380124	0.9943211410941579	56.98016249380124	0	true	21
35	21	20	7	700	2940	23520	0	0	50.17399809709156	50.17399809709156	50.17399809709156	50.17399809709156	46.50960045180773,46.456737494185745,46.389392388438395,47.74538389587942,48.97450974858594,50.17399809709156,50.17399809709156	0.9931859688114577	50.17399809709156	0	true	4
36	22	21	5	520	2100	16800	0	0	54.1001185302552	54.1001185302552	54.1001185302552	54.1001185302552	53.11226044837517,53.11226044837517,53.30011835460858,54.1001185302552,54.1001185302552	0.9929784107441825	54.1001185302552	0	true	3
37	22	21	12	1248	5040	40320	0	0	55.09506745530267	55.09506745530267	55.09506745530267	55.09506745530267	54.22972033434342,54.22972033434342,54.22972033434342,54.22972033434342,54.22972033434342,54.22972033434342,54.22972033434342,54.22972033434342,54.22972033434342,54.22972033434342,55.09506745530267,55.09506745530267	0.992879493496904	55.09506745530267	0	true	10
38	24	23	7	784	2940	23520	0	0	59.212543312884534	59.212543312884534	59.212543312884534	59.212543312884534	55.86419183027384,55.86419183027384,56.83357480133303,57.620321867351294,57.620321867351294,59.212543312884534,59.212543312884534	0.992453337817387	59.212543312884534	0	true	14
39	24	22	9	972	3780	30240	0	0	58.8944502227103	58.8944502227103	58.8944502227103	58.8944502227103	57.89446370614004,57.89446370614004,57.89446370614004,57.89446370614004,57.89446370614004,57.89446370614004,57.89446370614004,58.8944502227103,58.8944502227103	0.9925082796587247	58.8944502227103	0	true	25
40	24	21	8	832	3360	26880	0	0	57.1888404067443	57.1888404067443	57.1888404067443	57.1888404067443	55.48884444200121,55.48884444200121,56.488647132312664,56.488647132312664,56.488647132312664,56.488647132312664,57.1888404067443,57.1888404067443	0.9925270322632531	57.1888404067443	0	true	5
41	25	21	2	208	840	6720	0	0	59.45253330729313	59.45253330729313	59.45253330729313	59.45253330729313	59.45253330729313,59.45253330729313	0.9923592458016831	59.45253330729313	0	true	2
42	26	22	11	1188	4620	36960	0	0	60.2284429885556	60.2284429885556	60.2284429885556	60.2284429885556	59.435103732261084,59.676641255249976,59.74973466552632,59.74973466552632,59.74973466552632,59.74973466552632,59.74973466552632,59.939294018466825,59.939294018466825,60.2284429885556,60.2284429885556	0.9913875830707485	60.2284429885556	0	true	5
43	27	24	41	4756	17220	137760	0	0	60.911198439737525	60.911198439737525	60.911198439737525	60.911198439737525	59.47229494106876,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,59.63903257173621,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.43939547940248,60.911198439737525,60.911198439737525	0.9911827666123221	60.911198439737525	0	true	15
44	28	24	6	696	2520	20160	0	0	60.682096902042765	60.682096902042765	60.682096902042765	60.682096902042765	58.07078746101282,58.07078746101282,59.01087919845808,59.01087919845808,60.682096902042765,60.682096902042765	0.9910634883499904	60.682096902042765	0	true	5
45	28	24	1	116	420	3360	0	0	61.95711260132998	61.95711260132998	61.95711260132998	61.95711260132998	61.95711260132998	0.9910634883499904	61.95711260132998	0	true	15
46	28	25	21	2520	8820	70560	0	0	61.743196065879964	61.743196065879964	61.743196065879964	61.743196065879964	60.102530223974014,60.15251286670948,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,60.94242149829588,61.743196065879964,61.743196065879964	0.9909221309977263	61.743196065879964	0	true	22
47	28	24	4	464	1680	13440	0	0	59.46232451036713	59.46232451036713	59.46232451036713	59.46232451036713	58.428755525198106,59.33392846476299,59.46232451036713,59.46232451036713	0.990960623185969	59.46232451036713	0	true	3
