# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 22
# run: f0512755-cb0b-49f9-9847-18fd5012611a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	3	240	1260	10080	0	0	48.12453524128389	48.12453524128389	48.12453524128389	48.12453524128389	37.865791788169595,48.12453524128389,48.12453524128389	0.9960817657423182	48.12453524128389	0	true	97
26	15	15	1	80	420	3360	0	0	54.52517873353276	54.52517873353276	54.52517873353276	54.52517873353276	54.52517873353276	0.9960817657423182	54.52517873353276	0	true	165
27	15	15	7	560	2940	23520	0	0	56.184535160941074	56.184535160941074	56.184535160941074	56.184535160941074	55.2855570562969,55.2855570562969,55.2855570562969,55.2855570562969,55.2855570562969,56.184535160941074,56.184535160941074	0.9959128826372083	56.184535160941074	0	true	12
28	16	16	37	3108	15540	124320	0	0	57.11970308338079	57.11970308338079	57.11970308338079	57.11970308338079	53.77072360240985,54.56902520091991,54.56902520091991,55.348783204540226,55.348783204540226,55.348783204540226,55.348783204540226,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,56.32254163533815,57.11970308338079,57.11970308338079	0.9955312141306174	57.11970308338079	0	true	106
29	17	17	10	880	4200	33600	0	0	57.73956164055442	57.73956164055442	57.73956164055442	57.73956164055442	57.53275618338284,57.53275618338284,57.53275618338284,57.53275618338284,57.53275618338284,57.53275618338284,57.53275618338284,55.877503020918134,57.73956164055442,57.73956164055442	0.9952702495229601	57.73956164055442	0	true	16
30	20	20	39	3900	16380	131040	0	0	61.471268232745125	61.471268232745125	61.471268232745125	61.471268232745125	57.86864540740556,57.86864540740556,58.610833386148926,58.610833386148926,58.610833386148926,58.610833386148926,58.610833386148926,58.610833386148926,58.610833386148926,58.77865327978594,59.162987063895315,59.162987063895315,59.162987063895315,59.971905720764646,60.35246620654032,60.35246620654032,60.35246620654032,60.35246620654032,60.35246620654032,60.35246620654032,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.13426508327722,61.471268232745125,61.471268232745125	0.9948494308420032	61.471268232745125	0	true	33
31	20	20	1	100	420	3360	0	0	64.40397213164064	64.40397213164064	64.40397213164064	64.40397213164064	64.40397213164064	0.9947698145210228	64.40397213164064	0	true	9
32	20	19	24	2304	10080	80640	0	0	58.46844521829753	58.46844521829753	58.46844521829753	58.46844521829753	52.59364427267914,55.39358142664584,55.39358142664584,55.39358142664584,55.39358142664584,57.37091707108636,57.37091707108636,57.421852493898434,57.421852493898434,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.40769202493109,58.46844521829753,58.46844521829753	0.9940395595879545	58.46844521829753	0	true	7
33	23	22	11	1188	4620	36960	0	0	57.68410574116158	57.68410574116158	57.68410574116158	57.68410574116158	52.38814213440063,55.14731625290804,55.14731625290804,55.14731625290804,55.91989162512089,56.73608805035711,56.73608805035711,56.73608805035711,57.49652441098319,57.68410574116158,57.68410574116158	0.9930921326792465	57.68410574116158	0	true	20
34	23	22	1	108	420	3360	0	0	58.04246991177908	58.04246991177908	58.04246991177908	58.04246991177908	58.04246991177908	0.992808650324241	58.04246991177908	0	true	6
35	23	22	1	108	420	3360	0	0	58.73818432590771	58.73818432590771	58.73818432590771	58.73818432590771	58.73818432590771	0.992808650324241	58.73818432590771	0	true	3
36	24	23	2	224	840	6720	0	0	59.33546977661813	59.33546977661813	59.33546977661813	59.33546977661813	59.33546977661813,59.33546977661813	0.992453337817387	59.33546977661813	0	true	4
37	25	25	14	1680	5880	47040	0	0	63.9091111510225	63.9091111510225	63.9091111510225	63.9091111510225	60.25659616500197,61.057368746490695,61.057368746490695,61.90750183244961,61.90750183244961,61.90750183244961,61.90750183244961,62.3118976292628,62.3118976292628,62.3118976292628,62.337233097521036,63.12844221096036,63.9091111510225,63.9091111510225	0.9923258347285077	63.9091111510225	0	true	12
38	26	24	6	696	2520	20160	0	0	62.03963750545406	62.03963750545406	62.03963750545406	62.03963750545406	57.671627814393815,60.03870369976612,60.03870369976612,61.03931265637752,62.03963750545406,62.03963750545406	0.9921542831241182	62.03963750545406	0	true	4
39	28	25	38	4560	15960	127680	0	0	65.61546476261624	65.61546476261624	65.61546476261624	65.61546476261624	60.61268587164052,60.61268587164052,62.597751750157,62.597751750157,64.2493589296654,64.2493589296654,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.01052474410892,65.18407903584293,65.18407903584293,65.18407903584293,65.18407903584293,65.18407903584293,65.61546476261624,65.61546476261624	0.991428195436501	65.61546476261624	0	true	23
40	28	25	5	600	2100	16800	0	0	67.224993017614	67.224993017614	67.224993017614	67.224993017614	65.47400102115478,65.47400102115478,65.54154070243882,67.224993017614,67.224993017614	0.9913834523800823	67.224993017614	0	true	7
41	29	27	1	128	420	3360	0	0	68.76382107887315	68.76382107887315	68.76382107887315	68.76382107887315	68.76382107887315	0.9909531660098992	68.76382107887315	0	true	3
42	31	27	8	1024	3360	26880	0	0	64.5140596149754	64.5140596149754	64.5140596149754	64.5140596149754	57.652889612370075,60.331800192692526,60.331800192692526,61.16006522050242,62.631976256252486,62.631976256252486,64.5140596149754,64.5140596149754	0.9904537910967167	64.5140596149754	0	true	5
43	32	26	4	496	1680	13440	0	0	65.30324292874216	65.30324292874216	65.30324292874216	65.30324292874216	64.00749474606404,64.00749474606404,65.30324292874216,65.30324292874216	0.9901297329307432	65.30324292874216	0	true	16
44	34	28	7	924	2940	23520	0	0	62.13887570728553	62.13887570728553	62.13887570728553	62.13887570728553	60.46620873253056,60.46620873253056,60.46620873253056,58.89411224738195,60.59403943389921,62.13887570728553,62.13887570728553	0.9897304084631637	62.13887570728553	0	true	5
45	35	26	7	868	2940	23520	0	0	57.97878761764956	57.97878761764956	57.97878761764956	57.97878761764956	47.27747490945751,50.51961508426636,54.489233867819536,55.172923492547284,56.07632010332537,57.97878761764956,57.97878761764956	0.989824573588437	57.97878761764956	0	true	8
46	35	27	7	896	2940	23520	0	0	57.91523186622459	57.91523186622459	57.91523186622459	57.91523186622459	57.82835296818442,57.82835296818442,57.82835296818442,57.82835296818442,57.82835296818442,57.91523186622459,57.91523186622459	0.9894400903634277	57.91523186622459	0	true	3
47	35	26	4	496	1680	13440	0	0	56.57442468573999	56.57442468573999	56.57442468573999	56.57442468573999	54.90870516839054,54.90870516839054,56.57442468573999,56.57442468573999	0.9894463412316039	56.57442468573999	0	true	4
48	35	29	29	3944	12180	97440	0	0	60.178744671858496	60.178744671858496	60.178744671858496	60.178744671858496	55.935580384434175,55.935580384434175,56.68169864410574,57.43033069020221,57.43033069020221,58.22986540334591,58.33431426003029,58.33431426003029,58.33431426003029,57.366007589913046,57.366007589913046,57.366007589913046,57.366007589913046,59.2528558878938,59.2528558878938,59.2528558878938,60.06841534477083,60.06841534477083,60.06841534477083,60.06841534477083,60.06841534477083,60.06841534477083,60.06841534477083,60.16652689608455,60.16652689608455,60.16652689608455,60.16652689608455,60.178744671858496,60.178744671858496	0.9891555113648827	60.178744671858496	0	true	11
49	37	30	6	840	2520	20160	0	0	60.763446503173725	60.763446503173725	60.763446503173725	60.763446503173725	57.18779007941774,59.98319182343667,59.98319182343667,59.98319182343667,60.763446503173725,60.763446503173725	0.9884799423896595	60.763446503173725	0	true	6
50	37	31	7	1008	2940	23520	0	0	62.3730687138203	62.3730687138203	62.3730687138203	62.3730687138203	60.695171432444965,60.695171432444965,60.695171432444965,60.695171432444965,62.36485218136741,62.3730687138203,62.3730687138203	0.9884430951667267	62.3730687138203	0	true	4
51	37	29	28	3808	11760	94080	0	0	58.55984701096343	58.55984701096343	58.55984701096343	58.55984701096343	57.39155646634678,57.39155646634678,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.43385772827544,58.55984701096343,58.55984701096343	0.9881339513528926	58.55984701096343	0	true	6
52	38	31	9	1296	3780	30240	0	0	62.46454850287652	62.46454850287652	62.46454850287652	62.46454850287652	61.38908420717951,61.961516137285265,61.961516137285265,62.339327889544485,62.339327889544485,62.339327889544485,62.339327889544485,62.46454850287652,62.46454850287652	0.9880784611897855	62.46454850287652	0	true	5
53	39	31	7	1008	2940	23520	0	0	60.65136231264097	60.65136231264097	60.65136231264097	60.65136231264097	55.49682166825565,55.49682166825565,57.496745027591956,57.496745027591956,59.94481126063868,60.65136231264097,60.65136231264097	0.9879806040312619	60.65136231264097	0	true	4
54	39	31	1	144	420	3360	0	0	62.44128892939625	62.44128892939625	62.44128892939625	62.44128892939625	62.44128892939625	0.9879806040312619	62.44128892939625	0	true	3
