# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 23
# run: 0fa15645-d550-47e1-8325-b115bf1266d5
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	12	1032	8424	67392	0	0	56.93830655035367	56.93830655035367	56.93830655035367	56.93830655035367	34.977914240287554,36.504459532849424,41.95315820426777,49.246758600998575,51.17669837043778,53.39219391061218,53.39219391061218,55.63284788561974,55.63284788561974,55.63284788561974,56.93830655035367,56.93830655035367	0.9964291824156865	56.93830655035367	0	true	241
26	15	15	1	86	702	5616	0	0	64.7190883429332	64.7190883429332	64.7190883429332	64.7190883429332	64.7190883429332	0.9960817657423182	64.7190883429332	0	true	35
27	15	15	1	86	702	5616	0	0	67.45267230135309	67.45267230135309	67.45267230135309	67.45267230135309	67.45267230135309	0.9960817657423182	67.45267230135309	0	true	18
28	15	15	1	86	702	5616	0	0	70.07300048452947	70.07300048452947	70.07300048452947	70.07300048452947	70.07300048452947	0.9960817657423182	70.07300048452947	0	true	5
29	15	15	18	1548	12636	101088	0	0	65.94858976143296	65.94858976143296	65.94858976143296	65.94858976143296	63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,63.68873724973636,65.72473091350207,65.72473091350207,65.94858976143296,65.94858976143296	0.9956704147505866	65.94858976143296	0	true	39
30	17	17	13	1222	9126	73008	0	0	69.66660492442216	69.66660492442216	69.66660492442216	69.66660492442216	66.48937680193589,63.86053996845406,64.6657195911698,65.58813928073917,65.58813928073917,65.58813928073917,65.58813928073917,66.13038232575035,66.87800657347438,67.67809775394123,67.67809775394123,69.66660492442216,69.66660492442216	0.9952702495229601	69.66660492442216	0	true	20
31	17	16	23	2070	16146	129168	0	0	66.307388098787	66.307388098787	66.307388098787	66.307388098787	64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,64.27414458574091,65.94895129799116,65.94895129799116,65.94895129799116,65.94895129799116,65.94895129799116,66.307388098787,66.307388098787	0.9952902084353822	66.307388098787	0	true	34
32	18	18	15	1470	10530	84240	0	0	71.51642895927007	71.51642895927007	71.51642895927007	71.51642895927007	67.14974511951652,69.38140923756495,71.48818435872802,71.48818435872802,71.48818435872802,71.48818435872802,71.5003517642295,71.5003517642295,71.5003517642295,71.5003517642295,71.5003517642295,71.5003517642295,71.5003517642295,71.51642895927007,71.51642895927007	0.9952459040363794	71.51642895927007	0	true	21
33	20	19	25	2550	17550	140400	0	0	69.41417120043855	69.41417120043855	69.41417120043855	69.41417120043855	64.4086588684363,66.99562293000298,68.86677103781196,68.86677103781196,68.86677103781196,68.86677103781196,68.86677103781196,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.06648634184353,69.41417120043855,69.41417120043855	0.9941927606904467	69.41417120043855	0	true	22
34	21	18	32	3136	22464	179712	0	0	56.756638677119234	56.756638677119234	56.756638677119234	56.756638677119234	51.890064132206746,51.890064132206746,51.890064132206746,51.890064132206746,48.10133702169678,49.95448203516763,51.754595583691255,51.754595583691255,51.754595583691255,52.7687065168317,55.83605538941983,51.28866949649297,55.366238356440896,55.366238356440896,55.366238356440896,55.366238356440896,55.366238356440896,55.366238356440896,55.366238356440896,55.366238356440896,55.366238356440896,56.36627207425838,56.36627207425838,56.4526160021095,56.4526160021095,56.4526160021095,56.4526160021095,56.4526160021095,56.4526160021095,56.4526160021095,56.756638677119234,56.756638677119234	0.9934722658848817	56.756638677119234	0	true	39
35	21	19	8	816	5616	44928	0	0	60.30704698482677	60.30704698482677	60.30704698482677	60.30704698482677	58.92968134389915,58.92968134389915,59.40622046242227,59.40622046242227,59.40622046242227,59.40622046242227,60.30704698482677,60.30704698482677	0.9932508535542217	60.30704698482677	0	true	12
36	22	18	28	2744	19656	157248	0	0	59.93663895172784	59.93663895172784	59.93663895172784	59.93663895172784	54.05048356624834,53.612837956756536,53.612837956756536,53.612837956756536,53.247719406227404,53.247719406227404,54.62573167516311,54.62573167516311,54.62573167516311,57.11261863480395,57.41106708759329,57.485545056164916,56.29012624314373,51.863054751962906,51.863054751962906,47.78569476629023,47.78569476629023,47.78569476629023,55.36306833842965,57.36283967068662,59.04573424614507,59.91229117543809,59.91229117543809,59.91229117543809,59.91229117543809,59.91229117543809,59.93663895172784,59.93663895172784	0.9931001381770861	59.93663895172784	0	true	188
37	22	20	34	3604	23868	190944	0	0	63.45966381595598	63.45966381595598	63.45966381595598	63.45966381595598	54.68057490857125,55.46252580156273,55.46252580156273,55.46252580156273,58.09708707693487,58.09708707693487,61.86690876546285,61.86690876546285,61.86690876546285,61.86690876546285,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,62.870893541906256,63.45966381595598,63.45966381595598	0.9927245377647483	63.45966381595598	0	true	33
38	23	22	18	2052	12636	101088	0	0	69.80085800807083	69.80085800807083	69.80085800807083	69.80085800807083	66.75095505261184,66.75095505261184,66.33363136477581,66.52311770074138,66.52311770074138,66.52311770074138,66.52311770074138,66.92283846275636,66.2725375230122,67.78337698933107,68.58343578041894,68.58343578041894,68.58343578041894,68.58343578041894,68.58352832761226,68.58352832761226,69.80085800807083,69.80085800807083	0.9925241809900499	69.80085800807083	0	true	7
39	24	20	17	1802	11934	95472	0	0	62.85512007877037	62.85512007877037	62.85512007877037	62.85512007877037	54.21948925289719,54.912662802158664,56.89002511544187,57.417229116227816,59.5571496435489,59.5571496435489,59.5571496435489,62.835134565646285,62.835134565646285,62.835134565646285,62.835134565646285,62.835134565646285,62.835134565646285,62.835134565646285,62.835134565646285,62.85512007877037,62.85512007877037	0.9924911354647209	62.85512007877037	0	true	9
40	24	20	5	530	3510	28080	0	0	66.55318259002333	66.55318259002333	66.55318259002333	66.55318259002333	64.26862853626973,65.65381393686626,65.65381393686626,66.55318259002333,66.55318259002333	0.9924498285580602	66.55318259002333	1	true	4
41	26	20	43	4558	30186	241488	0	0	65.78889074390467	65.78889074390467	65.78889074390467	65.78889074390467	44.73337653793847,49.432761321136695,54.07364625861416,55.08721237671756,55.08721237671756,55.08721237671756,55.08721237671756,55.08721237671756,55.99114420035187,55.99114420035187,55.99114420035187,62.65596254960579,62.65596254960579,63.555563688732875,63.555563688732875,65.26339055144166,65.26339055144166,65.26339055144166,65.26339055144166,65.26339055144166,65.26339055144166,65.26339055144166,65.26339055144166,65.26339055144166,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36321147756712,65.36352560048773,65.36352560048773,65.36352560048773,63.39656684740764,63.05103911315685,65.78889074390467,65.78889074390467	0.9917950592553062	65.78889074390467	0	true	28
42	26	20	2	212	1404	11232	0	0	66.21528081458634	66.21528081458634	66.21528081458634	66.21528081458634	66.21528081458634,66.21528081458634	0.9916306358339246	66.21528081458634	1	true	4
43	26	19	9	918	6318	50544	0	0	60.77592010832822	60.77592010832822	60.77592010832822	60.77592010832822	58.84306847164035,59.289268668128386,59.289268668128386,59.289268668128386,59.289268668128386,59.289268668128386,59.289268668128386,60.77592010832822,60.77592010832822	0.9914198609455993	60.77592010832822	2	true	7
44	26	21	8	880	5616	44928	0	0	64.94572775103961	64.94572775103961	64.94572775103961	64.94572775103961	61.657802795786374,60.78032495878611,60.78032495878611,64.15959956823545,64.15959956823545,64.3317917866127,64.94572775103961,64.94572775103961	0.9913602035370409	64.94572775103961	1	true	4
45	26	19	29	2958	20358	162864	0	0	53.279700296134926	53.279700296134926	53.279700296134926	53.279700296134926	49.75109973177301,50.76837392412679,50.76837392412679,50.76837392412679,51.68614678826724,52.954551643656416,52.95490868750966,52.97116558805982,52.97116558805982,52.97116558805982,52.97116558805982,52.97116558805982,52.98079237576221,52.98079237576221,52.98079237576221,52.98079237576221,52.98079237576221,52.98079237576221,52.98079237576221,53.24154982650003,53.24154982650003,53.24154982650003,53.24154982650003,53.24154982650003,53.24154982650003,53.24154982650003,53.24154982650003,53.279700296134926,53.279700296134926	0.9915159269196746	53.279700296134926	3	true	8
