# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 7
# run: 39f13ce7-1e9a-42db-95ae-c2a3097ec93d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	20	1720	14040	112320	0	0	57.093560792091665	57.093560792091665	57.093560792091665	57.093560792091665	32.34505788458839,34.816487749762004,42.60626120384971,43.55265370782952,46.746691668961226,50.65054795367921,50.78718693851198,52.60712127306094,52.60712127306094,54.85495555985183,55.79500033504458,55.79500033504458,55.79500033504458,55.79500033504458,55.79500033504458,55.79500033504458,55.79500033504458,55.79500033504458,57.093560792091665,57.093560792091665	0.9960817657423182	57.093560792091665	0	true	302
26	15	15	1	86	702	5616	0	0	65.22829697952686	65.22829697952686	65.22829697952686	65.22829697952686	65.22829697952686	0.9960817657423182	65.22829697952686	0	true	10
27	15	15	1	86	702	5616	0	0	66.03774761885538	66.03774761885538	66.03774761885538	66.03774761885538	66.03774761885538	0.9958718681688247	66.03774761885538	0	true	8
28	17	17	23	2162	16146	129168	0	0	67.12832347242241	67.12832347242241	67.12832347242241	67.12832347242241	61.66429344501546,61.66429344501546,62.44678191036891,62.44678191036891,62.44678191036891,63.2804210867146,63.2804210867146,63.2804210867146,63.2804210867146,63.2804210867146,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,66.2293489629507,67.12832347242241,67.12832347242241	0.9952702495229601	67.12832347242241	0	true	54
29	17	17	1	94	702	5616	0	0	70.61726979911694	70.61726979911694	70.61726979911694	70.61726979911694	70.61726979911694	0.9952702495229601	70.61726979911694	0	true	9
30	20	20	13	1378	9126	73008	0	0	74.2849523739077	74.2849523739077	74.2849523739077	74.2849523739077	71.00797848667291,71.00797848667291,72.55785617494739,73.35764072259703,73.35764072259703,73.35764072259703,73.70412671736442,73.70412671736442,73.70412671736442,73.70412671736442,73.70412671736442,74.2849523739077,74.2849523739077	0.9948494308420032	74.2849523739077	0	true	7
31	20	19	8	816	5616	44928	0	0	67.87844655592828	68.24321736524215	67.87844655592828	68.87887538185285	67.55695611342493,68.24321736524215,65.94270064920408,64.36312283396136,66.03686190363632,66.03686190363632,67.87844655592828,67.87844655592828	0.9944422470957223	68.24321736524215	1	true	7
32	21	20	12	1272	8424	67392	0	0	67.95140191707634	67.95140191707634	67.95140191707634	67.95140191707634	62.97556419287177,63.77557107970517,65.22483226136686,65.22483226136686,65.22483226136686,67.02710694759625,67.02710694759625,67.02710694759625,67.02710694759625,67.02710694759625,67.95140191707634,67.95140191707634	0.9936215190706312	67.95140191707634	0	true	23
33	23	22	4	456	2808	22464	0	0	68.16122274112963	68.16122274112963	68.16122274112963	68.16122274112963	66.41266104030247,67.26397755687938,68.16122274112963,68.16122274112963	0.992955600558557	68.16122274112963	0	true	12
34	23	23	3	354	2106	16848	0	0	71.8321869571838	71.8321869571838	71.8321869571838	71.8321869571838	70.20174942851109,71.8321869571838,71.8321869571838	0.992905593613148	71.8321869571838	0	true	22
35	24	23	6	708	4212	33696	0	0	69.28519222446013	69.28519222446013	69.28519222446013	69.28519222446013	65.07497566969714,67.82343958494262,68.52318734714791,68.52318734714791,69.28519222446013,69.28519222446013	0.9926981086554421	69.28519222446013	0	true	20
36	25	25	9	1134	6318	50544	0	0	75.34023522524484	75.34023522524484	75.34023522524484	75.34023522524484	70.86485419024883,70.86485419024883,69.1670902606259,69.1670902606259,69.95339792008915,71.59028484541464,74.31661059640179,75.34023522524484,75.34023522524484	0.9924376923695543	75.34023522524484	0	true	22
37	27	26	6	780	4212	33696	0	0	80.15507918866537	80.15507918866537	80.15507918866537	80.15507918866537	79.8631471856946,79.8631471856946,79.8631471856946,79.8631471856946,80.15507918866537,80.15507918866537	0.9922444272230793	80.15507918866537	0	true	27
