# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: fe6f9b03-865a-4788-9a0d-ed80a6c441dc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	8	688	5616	44928	0	0	57.54315025621539	57.54315025621539	57.54315025621539	57.54315025621539	41.28332152690671,43.0575020729546,51.67102912712882,54.91856385268935,54.91856385268935,56.55968971828222,57.54315025621539,57.54315025621539	0.9960817657423182	57.54315025621539	0	true	233
26	15	15	1	86	702	5616	0	0	63.55943862364706	63.55943862364706	63.55943862364706	63.55943862364706	63.55943862364706	0.9958718681688247	63.55943862364706	0	true	4
27	17	17	12	1128	8424	67392	0	0	67.49087443297896	67.49087443297896	67.49087443297896	67.49087443297896	64.91322105989799,65.75289129347128,65.75289129347128,65.75289129347128,66.58954981615123,66.58954981615123,66.58954981615123,66.58954981615123,66.58954981615123,66.58954981615123,67.49087443297896,67.49087443297896	0.9953534847676211	67.49087443297896	0	true	36
28	18	18	4	392	2808	22464	0	0	68.35541559846865	68.35541559846865	68.35541559846865	68.35541559846865	67.53494791048224,66.59990676285811,68.35541559846865,68.35541559846865	0.9952459040363794	68.35541559846865	0	true	8
29	20	20	10	1060	7020	56160	0	0	73.71856511910269	73.71856511910269	73.71856511910269	73.71856511910269	70.86809285629846,70.86809285629846,70.86809285629846,70.86809285629846,70.86809285629846,71.66862878099835,72.49014883013413,72.49014883013413,73.71856511910269,73.71856511910269	0.9948494308420032	73.71856511910269	0	true	36
30	20	19	22	2244	15444	123552	0	0	72.9439217107711	72.9439217107711	72.9439217107711	72.9439217107711	70.59287312364312,70.59287312364312,71.31359103339184,71.31359103339184,71.31359103339184,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.01440028480131,72.9439217107711,72.9439217107711	0.9947717884793941	72.9439217107711	0	true	37
31	23	21	29	3190	20358	162864	0	0	64.94342539037018	64.94342539037018	64.94342539037018	64.94342539037018	56.22466560407882,56.99579976990859,59.756543432891974,61.24636707460361,59.39849460381089,59.39849460381089,59.39849460381089,61.290370123507046,62.00464921152732,63.82035175212242,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.0214180453671,64.94342539037018,64.94342539037018	0.9931421396246555	64.94342539037018	0	true	34
32	23	22	14	1596	9828	78624	0	0	67.43040372291692	67.43040372291692	67.43040372291692	67.43040372291692	67.0274164762974,67.0274164762974,67.0274164762974,67.0274164762974,67.307431397499,67.307431397499,67.307431397499,67.307431397499,67.3852395191014,67.3852395191014,67.3852395191014,67.3852395191014,67.43040372291692,67.43040372291692	0.9929075675715195	67.43040372291692	0	true	7
33	24	23	18	2124	12636	101088	0	0	70.28737156925894	70.28737156925894	70.28737156925894	70.28737156925894	68.90952031070378,68.90952031070378,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,69.7088040198321,70.28737156925894,70.28737156925894	0.9926632353908803	70.28737156925894	0	true	10
34	24	22	2	228	1404	11232	0	0	69.56142943405467	69.56142943405467	69.56142943405467	69.56142943405467	69.56142943405467,69.56142943405467	0.9924918300056296	69.56142943405467	0	true	21
35	25	24	10	1220	7020	56160	0	0	72.89854234955244	72.89854234955244	72.89854234955244	72.89854234955244	70.93216696749734,71.75935167831001,71.75935167831001,71.68226094210502,71.68226094210502,71.68226094210502,71.68226094210502,71.68226094210502,72.89854234955244,72.89854234955244	0.9923278086868792	72.89854234955244	0	true	29
36	26	26	3	390	2106	16848	0	0	77.90846552126456	77.90846552126456	77.90846552126456	77.90846552126456	76.31995013679682,77.90846552126456,77.90846552126456	0.9921493482281896	77.90846552126456	0	true	9
37	27	27	36	4824	25272	202176	0	0	80.94346226843314	80.94346226843314	80.94346226843314	80.94346226843314	79.71205310260046,79.71205310260046,79.71205310260046,79.71205310260046,79.71205310260046,79.71205310260046,79.71205310260046,79.71205310260046,79.71205310260046,79.93872034747122,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.01309603448145,80.81295016443192,80.81295016443192,80.81295016443192,80.81295016443192,80.81295016443192,80.81295016443192,80.81295016443192,80.81295016443192,80.81295016443192,80.81295016443192,80.94346226843314,80.94346226843314	0.9918013466782668	80.94346226843314	0	true	56
38	28	28	14	1932	9828	78624	0	0	81.97350901390267	81.97350901390267	81.97350901390267	81.97350901390267	80.39124252253993,80.39124252253993,80.39124252253993,80.39124252253993,80.39124252253993,80.39124252253993,80.39124252253993,80.39124252253993,81.1732424159106,81.1732424159106,81.1732424159106,81.1732424159106,81.97350901390267,81.97350901390267	0.9907516760368765	81.97350901390267	0	true	16
39	28	27	3	402	2106	16848	0	0	78.59561276567123	78.59561276567123	78.59561276567123	78.59561276567123	76.5386945361544,78.59561276567123,78.59561276567123	0.9906550617410311	78.59561276567123	0	true	6
40	29	29	18	2556	12636	101088	0	0	81.97754208678356	81.97754208678356	81.97754208678356	81.97754208678356	80.20933280745992,81.00897637388603,81.00897637388603,81.00897637388603,81.00897637388603,81.00897637388603,81.00897637388603,81.00897637388603,81.6506614427164,81.83073527124041,81.83073527124041,81.83073527124041,81.83073527124041,81.83073527124041,81.83073527124041,81.83073527124041,81.97754208678356,81.97754208678356	0.9905830122604747	81.97754208678356	0	true	7
41	31	29	8	1136	5616	44928	0	0	83.70616127964855	83.70616127964855	83.70616127964855	83.70616127964855	78.47124924329613,78.47124924329613,79.8189062652742,80.13014799653024,81.00499525994074,82.03693417422129,83.70616127964855,83.70616127964855	0.9901538956434007	83.70616127964855	0	true	6
42	32	29	8	1136	5616	44928	0	0	85.51611331622912	85.51611331622912	85.51611331622912	85.51611331622912	82.63961551801448,84.01028856033574,84.01028856033574,84.01028856033574,84.01028856033574,84.01028856033574,85.51611331622912,85.51611331622912	0.9901490338570417	85.51611331622912	0	true	6
43	32	29	1	142	702	5616	0	0	86.69434276948694	86.69434276948694	86.69434276948694	86.69434276948694	86.69434276948694	0.9901490338570417	86.69434276948694	0	true	5
44	33	29	23	3266	16146	129168	0	0	80.2343565370777	80.2343565370777	80.2343565370777	80.2343565370777	75.23239950183681,77.5916140822942,77.5916140822942,79.00696967632351,79.00696967632351,79.00696967632351,79.00696967632351,79.00696967632351,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.11694009996434,80.2343565370777,80.2343565370777	0.989297672922409	80.2343565370777	0	true	25
45	33	29	1	142	702	5616	0	0	82.5815834986738	82.5815834986738	82.5815834986738	82.5815834986738	82.5815834986738	0.9891131078146819	82.5815834986738	0	true	5
46	35	32	10	1540	7020	56160	0	0	85.48644974542052	85.48644974542052	85.48644974542052	85.48644974542052	82.86522397980065,83.26460925672117,83.91175568986341,85.15796780054418,85.15796780054418,85.15796780054418,85.15796780054418,85.15796780054418,85.48644974542052,85.48644974542052	0.9889578230894642	85.48644974542052	0	true	17
47	36	31	6	900	4212	33696	0	0	84.60468893133697	84.60468893133697	84.60468893133697	84.60468893133697	82.44618732592679,82.44618732592679,82.62223032105953,83.57747410551346,84.60468893133697,84.60468893133697	0.9886179732565198	84.60468893133697	0	true	16
48	36	30	5	730	3510	28080	0	0	84.15047286628398	84.15047286628398	84.15047286628398	84.15047286628398	81.64786359787036,81.64786359787036,82.67210979364533,84.15047286628398,84.15047286628398	0.9886268560691909	84.15047286628398	0	true	6
49	37	32	22	3388	15444	123552	0	0	85.5088849364899	85.5088849364899	85.5088849364899	85.5088849364899	81.84386211409307,82.75894702183605,82.75894702183605,82.75894702183605,82.75894702183605,82.75894702183605,82.75894702183605,82.75894702183605,83.28103099537154,83.28103099537154,83.28103099537154,83.28103099537154,84.00346494654401,84.00346494654401,84.00346494654401,84.00346494654401,84.00346494654401,84.00346494654401,84.00346494654401,84.00346494654401,85.5088849364899,85.5088849364899	0.9883294097864469	85.5088849364899	0	true	9
50	38	28	14	1932	9828	78624	0	0	75.75522242113689	75.75522242113689	75.75522242113689	75.75522242113689	64.32363500248951,67.28413904586833,70.262111310637,61.45171351824416,66.36969006392319,70.0593080976007,69.97447065511655,69.56403820805447,72.84207948096135,74.72745312591312,74.72745312591312,74.72745312591312,75.75522242113689,75.75522242113689	0.9882974609046579	75.75522242113689	0	true	23
51	38	30	36	5256	25272	202176	0	0	81.2617471619367	81.2617471619367	81.2617471619367	81.2617471619367	78.11321055675471,78.40071771117657,78.40071771117657,78.78070687865983,79.37024897331288,79.37024897331288,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,79.98739354678355,80.16478032351114,80.16478032351114,80.16478032351114,80.2452478453483,80.2452478453483,80.2452478453483,80.2452478453483,80.2452478453483,80.73023151635707,79.70436385398548,79.07907578940038,78.64586838980053,78.64586838980053,78.64586838980053,81.00683582436753,81.00683582436753,81.2617471619367,81.2617471619367	0.9878932380959343	81.2617471619367	0	true	18
52	39	32	18	2772	12636	101088	0	0	82.66556040650555	82.66556040650555	82.66556040650555	82.66556040650555	73.13956241472505,76.65442413114909,78.3549361752332,78.3549361752332,78.3549361752332,78.3549361752332,78.3549361752332,80.70938778547551,82.06862555632638,82.06862555632638,82.06862555632638,82.06862555632638,82.06862555632638,82.06862555632638,82.06862555632638,82.06862555632638,82.66556040650555,82.66556040650555	0.987496326244142	82.66556040650555	0	true	29
53	39	32	4	616	2808	22464	0	0	84.61533594624257	84.61533594624257	84.61533594624257	84.61533594624257	82.93009872075284,82.93009872075284,84.61533594624257,84.61533594624257	0.987362535732302	84.61533594624257	0	true	5
54	40	31	10	1500	7020	56160	0	0	79.59287529556396	79.59287529556396	79.59287529556396	79.59287529556396	67.37562117759938,69.37517524184892,69.45075892566781,69.45075892566781,76.50669899829516,78.89168818864604,78.89168818864604,78.89168818864604,79.59287529556396,79.59287529556396	0.9871371754848993	79.59287529556396	0	true	8
55	40	29	5	710	3510	28080	0	0	77.12616522074205	77.12616522074205	77.12616522074205	77.12616522074205	68.82162176856902,74.13247344638135,74.13247344638135,77.12616522074205,77.12616522074205	0.987218436771189	77.12616522074205	0	true	6
56	40	31	24	3600	16848	134784	0	0	81.38306609253054	81.38306609253054	81.38306609253054	81.38306609253054	78.45749938442266,79.2572224087883,78.44863907956321,78.44863907956321,78.44863907956321,79.24815547855665,79.39086765998772,79.39086765998772,79.39086765998772,76.88131962062296,76.88131962062296,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,80.16004686803343,81.38306609253054,81.38306609253054	0.9871253317346709	81.38306609253054	0	true	9
