# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: 0e114916-2f8f-4f9b-9dc6-f8e0a39deefc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	11	990	10230	81840	0	0	61.926157272552864	61.926157272552864	61.926157272552864	61.926157272552864	33.03698301908226,41.70108589832924,52.28831422725903,55.89839418159437,56.82935232920383,58.76856600394902,60.98616368322543,60.98616368322543,60.98616368322543,61.926157272552864,61.926157272552864	0.9960817657423182	61.926157272552864	1	true	249
26	15	15	1	90	930	7440	0	0	69.0841040357368	69.0841040357368	69.0841040357368	69.0841040357368	69.0841040357368	0.9958718681688247	69.0841040357368	1	true	16
27	16	16	15	1410	13950	111600	0	0	68.4648088138258	68.4648088138258	68.4648088138258	68.4648088138258	65.49859723240309,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.44581102230123,68.4648088138258,68.4648088138258	0.9954479788859564	68.4648088138258	1	true	27
28	18	18	13	1326	12090	96720	0	0	73.43817670957179	73.43817670957179	73.43817670957179	73.43817670957179	70.99665744438754,71.58030737305593,71.8238508636724,72.52074308886364,72.52074308886364,72.52074308886364,72.52074308886364,72.52074308886364,72.52074308886364,72.52074308886364,72.52074308886364,73.43817670957179,73.43817670957179	0.9952459040363794	73.43817670957179	0	true	43
29	20	19	4	424	3720	29760	0	0	78.32324847359104	78.32324847359104	78.32324847359104	78.32324847359104	77.11242328453858,77.11242328453858,78.32324847359104,78.32324847359104	0.9948514048003743	78.32324847359104	0	true	16
30	20	19	20	2120	18600	148800	0	0	79.59122560074785	79.59122560074785	79.59122560074785	79.59122560074785	76.75934030839447,76.75934030839447,76.75934030839447,76.75934030839447,76.8027204297056,76.8027204297056,76.8027204297056,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.45082426489046,79.59122560074785,79.59122560074785	0.9947717884793941	79.59122560074785	0	true	28
31	22	21	26	2964	24180	193440	0	0	70.49142936510034	71.75842825122088	70.49142936510034	72.55136327769563	68.58397086837607,67.75448891080276,67.34683281017483,66.62660527263336,66.62660527263336,69.92811747357632,71.75842825122088,71.75842825122088,66.22396495743784,67.34544599774632,62.69245175065658,64.05678048769441,66.96834124778651,66.96834124778651,66.96834124778651,68.58208529182328,70.49092089905895,70.49092089905895,70.49092089905895,70.49092089905895,70.49092089905895,70.49092089905895,70.49092089905895,70.49092089905895,70.49142936510034,70.49142936510034	0.9932184660150167	71.75842825122088	1	true	21
32	23	21	12	1368	11160	89280	0	0	74.75004939715502	74.75004939715502	74.75004939715502	74.75004939715502	72.18704165566403,72.18704165566403,72.8802945408674,73.6728380512359,73.6728380512359,73.6728380512359,73.6728380512359,73.67988343887069,73.67988343887069,73.67988343887069,74.75004939715502,74.75004939715502	0.9929243462176764	74.75004939715502	0	true	20
33	23	22	1	118	930	7440	0	0	77.75519746659292	77.75519746659292	77.75519746659292	77.75519746659292	77.75519746659292	0.9929075675715195	77.75519746659292	0	true	11
34	24	22	5	590	4650	37200	0	0	76.46373863157534	76.46373863157534	76.46373863157534	76.46373863157534	70.51423837262149,75.77318979891406,75.77318979891406,76.46373863157534,76.46373863157534	0.9927809052426873	76.46373863157534	0	true	25
