# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 5
# run: 24841f83-cd00-4699-9adc-940d573015fa
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	25	2250	23250	186000	0	0	61.58806691887691	61.58806691887691	61.58806691887691	61.58806691887691	31.055037581618308,36.285948222450955,36.285948222450955,44.31843434066246,44.31843434066246,47.45865922236584,56.04902926146306,58.22481994323984,58.22481994323984,58.25384844568869,59.927524580839865,59.927524580839865,59.927524580839865,60.85552038983119,60.85552038983119,60.85552038983119,60.85552038983119,60.85552038983119,60.85552038983119,60.85552038983119,58.344079694220746,58.32477739175845,59.34075087780024,61.58806691887691,61.58806691887691	0.9964291824156865	61.58806691887691	0	true	330
26	15	15	1	90	930	7440	0	0	70.68462808007169	70.68462808007169	70.68462808007169	70.68462808007169	70.68462808007169	0.9964291824156865	70.68462808007169	0	true	7
27	15	15	11	990	10230	81840	0	0	74.13047716742376	74.13047716742376	74.13047716742376	74.13047716742376	73.19164791279869,73.19164791279869,73.19164791279869,73.19164791279869,73.19164791279869,73.19164791279869,73.19164791279869,73.19164791279869,73.19164791279869,74.13047716742376,74.13047716742376	0.9960817657423182	74.13047716742376	0	true	105
28	15	15	1	90	930	7440	0	0	77.3017679404049	77.3017679404049	77.3017679404049	77.3017679404049	77.3017679404049	0.9960817657423182	77.3017679404049	0	true	16
29	15	15	1	90	930	7440	0	0	79.7310185458	79.7310185458	79.7310185458	79.7310185458	79.7310185458	0.9960817657423182	79.7310185458	0	true	5
30	15	15	11	990	10230	81840	0	0	77.01343011137878	77.01343011137878	77.01343011137878	77.01343011137878	74.7998025963938,74.7998025963938,76.8100197036961,76.8100197036961,76.8100197036961,76.8100197036961,76.8100197036961,76.8100197036961,76.8100197036961,77.01343011137878,77.01343011137878	0.9957029850637148	77.01343011137878	0	true	13
31	17	16	31	2914	28830	230640	0	0	76.33879057257853	76.33879057257853	76.33879057257853	76.33879057257853	73.87589236782559,74.70531087363686,74.854901385253,74.854901385253,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,75.55602647122357,76.33879057257853,76.33879057257853	0.9952870281691172	76.33879057257853	0	true	37
32	17	16	1	94	930	7440	0	0	76.70656177625415	76.70656177625415	76.70656177625415	76.70656177625415	76.70656177625415	0.9952701398586062	76.70656177625415	0	true	4
33	17	17	6	588	5580	44640	0	0	77.77588054237914	77.77588054237914	77.77588054237914	77.77588054237914	77.71249612794007,77.71249612794007,77.71249612794007,77.71249612794007,77.77588054237914,77.77588054237914	0.9952533612124491	77.77588054237914	0	true	12
34	17	17	7	686	6510	52080	0	0	76.86285480860364	76.86285480860364	76.86285480860364	76.86285480860364	73.93671819038009,73.93671819038009,73.93671819038009,73.93671819038009,73.93671819038009,76.86285480860364,76.86285480860364	0.9948987066917188	76.86285480860364	0	true	5
35	17	17	30	2940	27900	223200	0	0	63.10499103527894	63.10499103527894	63.10499103527894	63.10499103527894	59.45359832314152,59.45359832314152,59.45359832314152,60.25356252343994,60.25356252343994,60.25356252343994,60.27411409653274,60.27411409653274,60.27411409653274,61.074449483207346,61.074449483207346,61.074449483207346,61.074449483207346,61.074449483207346,61.074449483207346,61.074449483207346,61.074449483207346,62.97459172045055,62.97459172045055,62.97459172045055,62.97459172045055,62.97459172045055,62.97459172045055,62.97459172045055,62.97459172045055,62.97459172045055,63.005133272522144,63.005133272522144,63.10499103527894,63.10499103527894	0.9941399390266191	63.10499103527894	3	true	31
36	20	20	16	1760	14880	119040	0	0	71.2201998454553	71.2201998454553	71.2201998454553	71.2201998454553	63.083920076801064,63.19601550613153,62.226269914801975,47.69300833735787,52.73975185252918,57.06788995809315,66.0751481999239,66.0751481999239,66.0751481999239,66.0751481999239,68.13756326083657,68.13756326083657,69.5250574445553,69.6043138275284,71.2201998454553,71.2201998454553	0.9935674179893406	71.2201998454553	1	true	32
37	22	21	21	2394	19530	156240	0	0	70.43148947870502	70.43148947870502	70.43148947870502	70.43148947870502	63.829760695771085,61.25721553278018,61.27024714395155,64.59131030148343,65.56655391087533,67.82156638511678,67.23398799652274,67.23398799652274,67.23398799652274,67.23398799652274,67.23398799652274,67.23398799652274,67.23398799652274,67.23398799652274,67.23398799652274,69.63528011061807,69.63528011061807,69.63528011061807,69.63528011061807,70.43148947870502,70.43148947870502	0.9929324613798701	70.43148947870502	0	true	10
38	22	20	17	1870	15810	126480	0	0	69.9335891587526	69.9335891587526	69.9335891587526	69.9335891587526	68.00863144887138,68.00863144887138,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.93352598268477,69.9335891587526,69.9335891587526	0.9927393424525336	69.9335891587526	1	true	14
