# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 12
# run: 63bb93a5-08f2-499c-9a82-d89e2ae83418
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	19	1710	17670	141360	0	0	62.02092763930659	62.02092763930659	62.02092763930659	62.02092763930659	31.879414239770313,33.562937991763064,44.16949737019674,53.73257462278231,55.941588211726966,60.1805770598111,60.1805770598111,60.1805770598111,61.108714470346385,61.108714470346385,61.108714470346385,61.108714470346385,61.108714470346385,61.108714470346385,61.108714470346385,60.99058744503081,59.052346854622556,62.02092763930659,62.02092763930659	0.9964291824156865	62.02092763930659	1	true	311
26	15	15	18	1620	16740	133920	0	0	70.9275419091266	70.9275419091266	70.9275419091266	70.9275419091266	69.01934247455634,69.01934247455634,69.01934247455634,69.01934247455634,69.01934247455634,69.01934247455634,69.97424685547034,69.97424685547034,69.97424685547034,69.97424685547034,69.97424685547034,69.97424685547034,69.97424685547034,69.97424685547034,69.97424685547034,69.97424685547034,70.9275419091266,70.9275419091266	0.9960817657423182	70.9275419091266	1	true	151
27	15	15	1	90	930	7440	0	0	74.39898668236081	74.39898668236081	74.39898668236081	74.39898668236081	74.39898668236081	0.9960817657423182	74.39898668236081	1	true	15
28	15	15	1	90	930	7440	0	0	77.2416351179095	77.2416351179095	77.2416351179095	77.2416351179095	77.2416351179095	0.9960817657423182	77.2416351179095	1	true	8
29	15	15	13	1170	12090	96720	0	0	77.503176619309	77.503176619309	77.503176619309	77.503176619309	75.32013681038988,75.32013681038988,75.32013681038988,75.32013681038988,77.34220462083128,77.34220462083128,77.34220462083128,77.34220462083128,77.34220462083128,77.34220462083128,77.34220462083128,77.503176619309,77.503176619309	0.9959128826372083	77.503176619309	1	true	28
30	16	16	2	188	1860	14880	0	0	74.16251387609145	74.16251387609145	74.16251387609145	74.16251387609145	74.16251387609145,74.16251387609145	0.9954479788859564	74.16251387609145	1	true	11
31	17	17	3	294	2790	22320	0	0	77.59687842822585	77.59687842822585	77.59687842822585	77.59687842822585	76.79216520369107,77.59687842822585,77.59687842822585	0.9952702495229601	77.59687842822585	1	true	5
32	17	17	1	98	930	7440	0	0	76.93392774357397	76.93392774357397	76.93392774357397	76.93392774357397	76.93392774357397	0.9952533612124491	76.93392774357397	1	true	4
33	19	19	15	1590	13950	111600	0	0	81.85520789753359	81.85520789753359	81.85520789753359	81.85520789753359	79.16982059728933,79.16982059728933,80.74193743994611,80.8660229282378,80.8660229282378,80.8660229282378,80.8660229282378,80.8660229282378,80.8660229282378,80.8660229282378,81.81152876024997,81.81152876024997,81.81152876024997,81.85520789753359,81.85520789753359	0.9948555354910403	81.85520789753359	0	true	37
34	19	18	11	1122	10230	81840	0	0	74.47680837846548	74.47680837846548	74.47680837846548	74.47680837846548	72.00161736953883,72.45633050664306,72.45633050664306,72.45633050664306,72.45633050664306,72.45633050664306,72.45633050664306,72.45633050664306,72.45633050664306,74.47680837846548,74.47680837846548	0.9943379197403148	74.47680837846548	2	true	25
