# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 9
# run: 76ca6e65-2fcc-4196-a434-7f7d602fae44
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	30	2700	27900	223200	0	0	61.851361430126246	61.851361430126246	61.851361430126246	61.851361430126246	25.53205193228628,34.21759200640861,38.31425651800522,38.31425651800522,43.68826197695948,45.940940640104856,44.68396130980915,50.36454208998819,54.41611527986991,57.70430237380411,58.67375805225886,61.019688915530324,61.019688915530324,61.75878832881114,61.75878832881114,61.75878832881114,61.75878832881114,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.758973228596616,61.851361430126246,61.851361430126246	0.9960817657423182	61.851361430126246	1	true	378
26	15	15	1	90	930	7440	0	0	71.0514589277917	71.0514589277917	71.0514589277917	71.0514589277917	71.0514589277917	0.9960817657423182	71.0514589277917	1	true	18
27	16	16	10	940	9300	74400	0	0	71.81942076745304	71.81942076745304	71.81942076745304	71.81942076745304	70.0206566669517,70.93846315706736,70.93846315706736,70.93846315706736,70.93846315706736,70.93846315706736,70.93846315706736,70.93846315706736,71.81942076745304,71.81942076745304	0.9956494323041942	71.81942076745304	0	true	33
28	17	17	4	392	3720	29760	0	0	74.97511217365093	74.97511217365093	74.97511217365093	74.97511217365093	73.1843692315277,74.15876257143456,74.97511217365093,74.97511217365093	0.9954391326280697	74.97511217365093	0	true	18
29	18	18	23	2346	21390	171120	0	0	76.69269297270323	76.69269297270323	76.69269297270323	76.69269297270323	71.29417497091436,71.29417497091436,72.14921445986137,72.14921445986137,75.09349011569968,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,75.7641762806324,76.69269297270323,76.69269297270323	0.9950458031451738	76.69269297270323	0	true	38
30	20	20	6	660	5580	44640	0	0	80.81104362800924	80.81104362800924	80.81104362800924	80.81104362800924	79.13674875872718,80.40116029006587,80.40116029006587,80.40116029006587,80.81104362800924,80.81104362800924	0.9948494308420032	80.81104362800924	0	true	6
31	20	20	9	990	8370	66960	0	0	73.59390380030692	73.59390380030692	73.59390380030692	73.59390380030692	69.6398665911345,71.23869607088633,71.23869607088633,71.23869607088633,71.23869607088633,71.23869607088633,73.39278605541033,73.59390380030692,73.59390380030692	0.994225769660991	73.59390380030692	0	true	18
32	22	22	19	2242	17670	141360	0	0	75.12707604375434	75.12707604375434	75.12707604375434	75.12707604375434	68.84294405844982,72.47927419190177,72.47927419190177,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,74.23307955645085,75.12707604375434,75.12707604375434	0.9932164920566452	75.12707604375434	0	true	42
33	23	23	2	244	1860	14880	0	0	76.77941712796665	76.77941712796665	76.77941712796665	76.77941712796665	76.77941712796665,76.77941712796665	0.992905593613148	76.77941712796665	0	true	11
34	24	24	8	1008	7440	59520	0	0	80.30327980480762	80.30327980480762	80.30327980480762	80.30327980480762	78.7169340933554,79.51706961556317,79.51706961556317,79.51706961556317,79.51706961556317,79.51706961556317,80.30327980480762,80.30327980480762	0.9927601786797875	80.30327980480762	0	true	45
35	25	25	2	260	1860	14880	0	0	83.79476002917707	83.79476002917707	83.79476002917707	83.79476002917707	83.79476002917707,83.79476002917707	0.9925366096168329	83.79476002917707	0	true	6
36	26	25	14	1820	13020	104160	0	0	83.54543703646861	83.54543703646861	83.54543703646861	83.54543703646861	81.74720346152723,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,81.65124350525569,83.54543703646861,83.54543703646861	0.992414699410006	83.54543703646861	0	true	8
37	27	25	21	2730	19530	156240	0	0	83.75197695964044	83.75197695964044	83.75197695964044	83.75197695964044	78.80937397482633,81.3241959999373,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,82.85721851096534,83.75197695964044,83.75197695964044	0.9921412696207808	83.75197695964044	0	true	11
38	28	26	6	804	5580	44640	0	0	89.0729190050891	89.0729190050891	89.0729190050891	89.0729190050891	87.1899334150413,88.05684858999184,88.8477028650014,88.8477028650014,89.0729190050891,89.0729190050891	0.9917932680708581	89.0729190050891	0	true	8
39	29	26	5	670	4650	37200	0	0	86.94722704934742	86.94722704934742	86.94722704934742	86.94722704934742	84.80298847493302,84.80298847493302,85.7024485066288,86.94722704934742,86.94722704934742	0.9911971691974762	86.94722704934742	0	true	19
40	32	30	38	5700	35340	282720	0	0	96.94565626558801	96.94565626558801	96.94565626558801	96.94565626558801	91.74705981089377,91.75970440307277,92.0594315883158,92.84569214602048,94.43962178154717,94.71628949275879,94.71628949275879,94.71628949275879,94.71628949275879,94.71628949275879,94.71628949275879,94.71628949275879,95.54169094094968,95.54169094094968,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.32491631426853,96.42164161133192,96.42164161133192,96.42164161133192,96.42164161133192,96.42164161133192,96.42164161133192,96.42164161133192,96.42164161133192,96.94565626558801,96.94565626558801	0.9903980450501166	96.94565626558801	0	true	47
41	34	30	10	1500	9300	74400	0	0	97.45125988914717	97.45125988914717	97.45125988914717	97.45125988914717	91.71490570539302,91.71490570539302,91.71490570539302,91.71490570539302,92.5927954116348,95.6192452146858,95.6192452146858,96.41881124041723,97.45125988914717,97.45125988914717	0.9901574414575126	97.45125988914717	0	true	19
42	34	28	15	2130	13950	111600	0	0	92.74543949511026	92.74543949511026	92.74543949511026	92.74543949511026	83.52998939937768,83.52998939937768,87.56290714596501,88.36679423838602,89.06721361779076,89.06721361779076,91.0449171858175,92.0450434037439,92.0450434037439,92.0450434037439,92.0450434037439,92.0450434037439,92.0450434037439,92.74543949511026,92.74543949511026	0.9902035004861788	92.74543949511026	0	true	16
43	34	26	9	1206	8370	66960	0	0	90.30748140361023	90.30748140361023	90.30748140361023	90.30748140361023	85.95847900785142,88.90629414981937,88.90629414981937,88.90629414981937,88.90629414981937,88.6072286117207,88.6072286117207,90.30748140361023,90.30748140361023	0.9902643642026305	90.30748140361023	0	true	20
44	34	25	7	910	6510	52080	0	0	86.59127598589556	86.59127598589556	86.59127598589556	86.59127598589556	83.73124954683323,84.57047002663646,85.27077919216431,85.9710284633464,85.9710284633464,86.59127598589556,86.59127598589556	0.990057683450187	86.59127598589556	0	true	8
45	34	26	8	1072	7440	59520	0	0	89.01393529742643	89.01393529742643	89.01393529742643	89.01393529742643	84.963668320601,83.39819040406213,83.39819040406213,83.39819040406213,85.21300509652468,88.11322693079798,89.01393529742643,89.01393529742643	0.9898668674742838	89.01393529742643	0	true	6
46	34	28	9	1278	8370	66960	0	0	93.51031318114057	93.51031318114057	93.51031318114057	93.51031318114057	92.14428856307146,92.14428856307146,92.14428856307146,92.48064634822464,92.48064634822464,92.48064634822464,92.48064634822464,93.51031318114057,93.51031318114057	0.9897936847954031	93.51031318114057	0	true	15
47	35	29	1	146	930	7440	0	0	94.69338807941554	94.69338807941554	94.69338807941554	94.69338807941554	94.69338807941554	0.989710010893326	94.69338807941554	0	true	6
48	36	28	6	852	5580	44640	0	0	89.06947723429383	89.06947723429383	89.06947723429383	89.06947723429383	81.67334344882845,82.17346545703853,83.37311472101707,87.08523537867902,89.06947723429383,89.06947723429383	0.9895448198214664	89.06947723429383	0	true	13
49	36	24	39	4914	36270	290160	0	0	77.88671159623767	77.88671159623767	77.88671159623767	77.88671159623767	67.09582416079722,70.99847554069123,67.79373582715039,67.79373582715039,67.79373582715039,67.79373582715039,71.78442512801277,69.78541714330132,70.57326704004826,70.57326704004826,69.84628699392252,69.84628699392252,72.87971658614727,74.92696497690432,77.00590934856656,77.80587333149185,77.80587333149185,77.80587333149185,77.80587333149185,77.80587333149185,77.80600631026877,77.80600631026877,77.80600631026877,77.80600631026877,77.80600631026877,77.80614805414473,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.81968394670928,77.88671159623767,77.88671159623767	0.9894894027679285	77.88671159623767	1	true	27
50	36	24	7	882	6510	52080	0	0	81.88602641293183	82.44296596543114	81.88602641293183	82.81689093355968	82.44296596543114,81.4487709165748,81.66385713344238,77.92039710948883,81.08572383809553,81.88602641293183,81.88602641293183	0.9894798619691334	82.44296596543114	1	true	28
51	36	24	24	3024	22320	178560	0	0	68.76039663246519	68.76039663246519	68.76039663246519	68.76039663246519	62.59601528992544,61.851475897329216,57.47223207632184,61.98490634317229,64.97775597203959,63.130147959371456,65.20804012579471,67.86024875122679,68.43608886737199,68.43608886737199,68.43608886737199,68.43608886737199,68.43608886737199,68.43608886737199,68.43608886737199,68.43608886737199,68.43608886737199,68.43608886737199,68.43694245625649,68.43694245625649,68.75978697664708,68.75991129764232,68.76039663246519,68.76039663246519	0.9894976641492605	68.76039663246519	1	true	13
