# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: 8f0850af-ade0-4bc3-b0f9-50b381c82abd
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	14	1260	13020	104160	0	0	61.45555878729467	61.45555878729467	61.45555878729467	61.45555878729467	30.67923856192219,38.13724955278411,38.13724955278411,41.376986144498176,51.26066542655993,55.14611582388261,56.1371685438362,59.463442580660484,58.737377745931845,59.72051225491781,59.72051225491781,59.72051225491781,61.45555878729467,61.45555878729467	0.9960817657423182	61.45555878729467	1	true	272
26	15	15	1	90	930	7440	0	0	70.6575709941696	70.6575709941696	70.6575709941696	70.6575709941696	70.6575709941696	0.9960817657423182	70.6575709941696	1	true	5
27	15	15	1	90	930	7440	0	0	74.01948544078304	74.01948544078304	74.01948544078304	74.01948544078304	74.01948544078304	0.9960817657423182	74.01948544078304	1	true	10
28	15	15	1	90	930	7440	0	0	76.95398997581022	76.95398997581022	76.95398997581022	76.95398997581022	76.95398997581022	0.9960817657423182	76.95398997581022	1	true	7
29	15	15	13	1170	12090	96720	0	0	72.78923158423417	72.78923158423417	72.78923158423417	72.78923158423417	70.70536504823372,70.70536504823372,70.70536504823372,72.6572332566989,72.6572332566989,72.6572332566989,72.6572332566989,72.6572332566989,72.6572332566989,72.73505209420779,72.73505209420779,72.78923158423417,72.78923158423417	0.9956704147505866	72.78923158423417	1	true	42
30	17	17	7	686	6510	52080	0	0	77.03438634350735	77.03438634350735	77.03438634350735	77.03438634350735	76.53669971182364,76.53669971182364,76.53669971182364,76.53669971182364,76.53669971182364,77.03438634350735,77.03438634350735	0.9952702495229601	77.03438634350735	0	true	13
31	18	17	9	882	8370	66960	0	0	78.21868960070756	78.21868960070756	78.21868960070756	78.21868960070756	76.73150798234414,71.04228137628633,74.81774865804962,74.81774865804962,78.19571129826012,78.19571129826012,78.19571129826012,78.21868960070756,78.21868960070756	0.9952626826825363	78.21868960070756	0	true	28
32	19	19	27	2862	25110	200880	0	0	82.4081421250299	82.4081421250299	82.4081421250299	82.4081421250299	80.4219466261156,80.76306600179147,79.21919053649573,79.21919053649573,79.21919053649573,79.21919053649573,80.76306600179147,80.76306600179147,80.76306600179147,80.76306600179147,77.82887935387323,77.82887935387323,78.45608515114077,78.45608515114077,78.45608515114077,78.45608515114077,81.39299741855646,81.39299741855646,81.39299741855646,81.39299741855646,81.39299741855646,81.39299741855646,81.39299741855646,81.39299741855646,81.39299741855646,82.4081421250299,82.4081421250299	0.9950383459691039	82.4081421250299	0	true	43
33	20	19	11	1166	10230	81840	0	0	76.11901136833009	76.11901136833009	76.11901136833009	76.11901136833009	66.6399297431127,64.84083771931995,64.84083771931995,70.7816704655621,71.73711168014972,71.33651642329494,74.51253588627478,74.51253588627478,75.22636029270551,76.11901136833009,76.11901136833009	0.9940395595879545	76.11901136833009	0	true	26
34	21	20	8	880	7440	59520	0	0	72.02165972231955	72.02165972231955	72.02165972231955	72.02165972231955	65.68632677301144,69.01176351557615,71.0014979205807,71.0014979205807,71.04504041883968,71.04504041883968,72.02165972231955,72.02165972231955	0.9933804768206111	72.02165972231955	0	true	6
