# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 5
# run: 612e5a1e-8e94-4398-94c0-9f64b674a989
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	21	2079	32760	262080	0	0	65.80978323610732	65.80978323610732	65.80978323610732	65.80978323610732	15.56193635624718,33.45072170849117,34.858933127398736,40.694543833058574,40.13370337202058,37.91854094892621,44.83412265071096,47.81822295878214,50.79278336966436,51.72569589831441,59.291815799694334,60.57157339837394,58.46510578226592,59.723291271301974,63.2801611347671,63.2801611347671,63.48143101417952,65.73224654686129,65.73224654686129,65.80978323610732,65.80978323610732	0.9964291824156865	65.80978323610732	5	false	300
26	15	15	1	99	1560	12480	0	0	77.37309166322781	77.37309166322781	77.37309166322781	77.37309166322781	77.37309166322781	0.9964291824156865	77.37309166322781	5	false	43
27	15	15	23	2277	35880	287040	0	0	80.31365673146747	80.31365673146747	80.31365673146747	80.31365673146747	76.7555982857428,76.7555982857428,76.7555982857428,78.67757442598635,78.67757442598635,78.67757442598635,78.67757442598635,78.67757442598635,78.67757442598635,78.67757442598635,78.70222232904838,80.23563287171102,80.23563287171102,80.23563287171102,80.23563287171102,80.23563287171102,80.23563287171102,80.23563287171102,80.23563287171102,80.23563287171102,80.23563287171102,80.31365673146747,80.31365673146747	0.9960817657423182	80.31365673146747	6	false	150
28	15	15	3	297	4680	37440	0	0	84.69787897138093	84.69787897138093	84.69787897138093	84.69787897138093	84.69181746013727,84.69787897138093,84.69787897138093	0.9960817657423182	84.69787897138093	6	false	19
29	15	15	1	99	1560	12480	0	0	87.90726441969808	87.90726441969808	87.90726441969808	87.90726441969808	87.90726441969808	0.9960817657423182	87.90726441969808	6	false	6
30	15	14	4	380	6240	49920	0	0	76.01064631962048	76.01064631962048	76.01064631962048	76.01064631962048	74.10674271280992,75.25496670173574,76.01064631962048,76.01064631962048	0.9957118678763863	76.01064631962048	9	false	8
31	16	15	11	1089	17160	137280	0	0	78.7565191056265	78.7565191056265	78.7565191056265	78.7565191056265	78.69666763914864,73.07524863547633,76.53037869443058,76.53037869443058,76.84568282025249,75.97783957138938,77.0771986960497,77.91511368728773,78.40655528195637,78.7565191056265,78.7565191056265	0.9954509032687288	78.7565191056265	7	false	39
32	17	17	66	7062	102960	823680	0	0	89.92238337499953	89.92238337499953	89.92238337499953	89.92238337499953	80.9228642315099,83.97115592516752,84.29050489950987,86.58749397485322,87.20892739656382,87.20892739656382,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.23657732934493,87.37735651808904,87.37735651808904,87.37735651808904,87.37735651808904,88.03331829741883,88.03331829741883,88.03331829741883,88.03331829741883,88.03331829741883,88.03331829741883,88.03331829741883,88.03331829741883,89.02274974377778,89.02274974377778,89.58374896276709,89.62164472750167,89.62164472750167,89.92238337499953,89.92238337499953	0.9952859315255773	89.92238337499953	3	false	111
33	17	17	1	107	1560	12480	0	0	90.84064466845476	90.84064466845476	90.84064466845476	90.84064466845476	90.84064466845476	0.9952533612124491	90.84064466845476	3	false	7
34	17	16	17	1751	26520	212160	0	0	74.82226144711616	75.20936424705663	74.82226144711616	78.8514165965773	75.20936424705663,70.74416468539295,65.9892425846397,66.15023268713989,66.32739819820154,65.51058277508984,69.2039565891726,70.61600130259097,72.26959699431553,72.36202434427038,73.49267250299359,73.91400469107371,73.91400469107371,73.91400469107371,73.91400469107371,74.82226144711616,74.82226144711616	0.9949355539146518	75.20936424705663	7	false	39
35	17	16	21	2163	32760	262080	0	0	59.07957160481048	59.07957160481048	59.07957160481048	59.07957160481048	56.77508184117521,57.6725087084893,57.6725087084893,57.51639312292696,57.51639312292696,57.51639312292696,57.51639312292696,58.3934066713814,59.01604504959241,59.01604504959241,59.01604504959241,59.01604504959241,59.01604504959241,59.01604504959241,59.02092651847022,59.02092651847022,59.02092651847022,59.02092651847022,59.02092651847022,59.07957160481048,59.07957160481048	0.9941767862495522	59.07957160481048	11	false	21
36	18	17	43	4601	67080	536640	0	0	66.37321441746518	66.41374631064906	66.37321441746518	67.37986109206942	65.13423027683008,66.41374631064906,60.74109978454577,56.602923565229645,58.45974506247136,50.74830109634051,51.80024914601091,55.42433884860833,58.490403706462445,58.490403706462445,59.64872668426227,61.18919506560178,61.18919506560178,62.19824790486783,61.28672440416639,62.210371441083666,64.13340559716829,64.13340559716829,64.13340559716829,64.57050632414378,65.04144202176745,65.04144202176745,65.04144202176745,65.04144202176745,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,65.22199792629031,66.37321441746518,66.37321441746518	0.9939567995554938	66.41374631064906	9	false	51
37	18	17	17	1819	26520	212160	0	0	60.7423383078624	60.7423383078624	60.7423383078624	60.7423383078624	58.279883080832946,57.94159303046111,59.06721171536309,60.14551079425068,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.17604134624612,60.7423383078624,60.7423383078624	0.9936733172004885	60.7423383078624	10	false	20
38	18	15	47	4653	73320	586560	0	0	38.9595319487571	38.9595319487571	38.9595319487571	38.9595319487571	29.553897752418592,33.42038241263481,33.42038241263481,33.42038241263481,35.431439316129826,36.78176542396576,37.46842980481513,37.95410631349544,37.95410631349544,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.177306745654505,38.276324005819454,38.84241171337008,38.84241171337008,38.84241171337008,38.84241171337008,38.84241171337008,38.84241171337008,38.84241171337008,38.84241171337008,38.85895988517166,38.85895988517166,38.85895988517166,38.95828715541033,38.95828715541033,38.95828715541033,38.95828715541033,38.95828715541033,38.9595319487571,38.9595319487571	0.9935438035984531	38.9595319487571	15	false	42
39	18	15	15	1485	23400	187200	0	0	35.892347839862936	35.892347839862936	35.892347839862936	35.892347839862936	24.462494297169684,29.5065495257179,32.30525813390511,33.5139858997142,33.5139858997142,33.5139858997142,34.74113926132126,34.74113926132126,35.66982688124576,35.66982688124576,35.66982688124576,35.66982688124576,35.66982688124576,35.892347839862936,35.892347839862936	0.9935177034822088	35.892347839862936	15	false	20
40	19	16	31	3193	48360	386880	0	0	47.933353703507876	47.933353703507876	47.933353703507876	47.933353703507876	45.19624248674539,42.78007251398779,40.41774290937339,43.87058873331338,44.771275528496076,44.771275528496076,45.446716923902045,45.446716923902045,46.015583213165485,46.53080037042263,46.58583876834912,46.58583876834912,46.58583876834912,46.58583876834912,46.58583876834912,46.58583876834912,46.58583876834912,46.58583876834912,46.58583876834912,46.65531537993723,46.65531537993723,46.65531537993723,46.65531537993723,47.273856534572744,47.273856534572744,47.273856534572744,47.273856534572744,47.273856534572744,47.39577051928879,47.933353703507876,47.933353703507876	0.993300202513507	47.933353703507876	13	false	39
41	19	16	1	103	1560	12480	0	0	52.41176645029677	52.41176645029677	52.41176645029677	52.41176645029677	52.41176645029677	0.993300202513507	52.41176645029677	13	false	16
42	20	18	96	10656	149760	1198080	0	0	64.98371206028965	64.98371206028965	64.98371206028965	64.98371206028965	54.174074434749144,54.5522847878719,35.983815188920985,37.776630047861346,40.88516127618563,45.520671556818726,49.90005445486507,49.90005445486507,54.07978970474912,54.07978970474912,54.22790910851526,55.604354582118305,57.27444532320601,58.25926459997177,60.36381393807079,60.36381393807079,60.36381393807079,60.622084479020785,60.622084479020785,60.622084479020785,61.96311598213926,61.96311598213926,61.96311598213926,61.96311598213926,61.96311598213926,61.96311598213926,61.96311598213926,61.96311598213926,62.3091890798449,57.61344710344352,56.06416283415613,59.45440145056436,51.18985592077675,51.6826985203256,51.6826985203256,51.57705424748741,51.1995818629129,51.1995818629129,56.499002477987304,56.499002477987304,56.85185091563409,55.96438996156934,55.96438996156934,57.96488057596116,57.96488057596116,57.26769914150067,58.2414425035161,60.53046488442784,61.25286079301591,61.50463274360503,61.50463274360503,62.49735177500568,62.65864447028926,63.97143113643874,63.97143113643874,62.19278513740582,55.41763318191012,52.0632142729598,52.0632142729598,57.63342968559886,57.65973961694527,59.69250639222039,61.304817101199816,62.54412553251167,62.65961706070249,63.783534156617335,63.783534156617335,63.783534156617335,63.783534156617335,63.783534156617335,63.783534156617335,63.783534156617335,64.01471449150787,64.01471449150787,64.01471449150787,64.01471449150787,64.01471449150787,64.01471449150787,64.01471449150787,64.31745584132685,64.31745584132685,64.31795605106898,64.31795605106898,64.31795605106898,64.36426290003355,64.36426290003355,62.403207330275706,62.403207330275706,62.6420093208647,64.1711323325937,64.1711323325937,64.1711323325937,64.47793280291823,64.47793280291823,64.98371206028965,64.98371206028965	0.9931380089339894	64.98371206028965	9	false	75
43	20	15	37	3663	57720	461760	0	0	41.58888853145942	41.58888853145942	41.58888853145942	41.58888853145942	39.29849032288866,40.76019158307773,40.84714008744514,40.84714008744514,40.84714008744514,40.84714008744514,40.84714008744514,40.84714008744514,40.84714008744514,40.84714008744514,40.84714008744514,40.84714008744514,41.499080138166335,41.499080138166335,41.499080138166335,41.53212512149403,41.53212512149403,41.53212512149403,41.53212512149403,41.53212512149403,41.53212512149403,41.53212512149403,41.586849363882656,41.586849363882656,41.586849363882656,41.586849363882656,41.586849363882656,41.58720193352544,41.58720193352544,41.58720193352544,41.58720193352544,41.58720193352544,41.58720193352544,41.58720193352544,41.58720193352544,41.58888853145942,41.58888853145942	0.9928244054364277	41.58888853145942	16	false	30
44	22	16	8	824	12480	99840	0	0	49.25882322365932	49.25882322365932	49.25882322365932	49.25882322365932	37.268046553761366,43.92839439049999,41.632877924955146,46.647918614362,47.9876375237359,48.76953518030544,49.25882322365932,49.25882322365932	0.9926818783310549	49.25882322365932	14	false	8
