# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 1
# run: 94b88f1e-7dbf-4ebd-a0ff-c7ead3b0b739
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	23	2277	35880	287040	0	0	68.86535765218363	68.86535765218363	68.86535765218363	68.86535765218363	16.01997137241957,18.992072649969792,52.12301743791589,54.331818768152004,57.93310850031258,59.89532703052452,63.76211613096183,64.8616118097824,66.69597131282882,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.8115995299461,67.95484690791024,68.86535765218363,68.86535765218363	0.9966306358339244	68.86535765218363	5	false	427
26	15	15	26	2574	40560	324480	0	0	75.45459923326644	75.45459923326644	75.45459923326644	75.45459923326644	73.38817127781934,73.38817127781934,73.38817127781934,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.41460815650362,75.45459923326644,75.45459923326644	0.9960817657423182	75.45459923326644	6	false	183
27	15	15	1	99	1560	12480	0	0	80.51267968573266	80.51267968573266	80.51267968573266	80.51267968573266	80.51267968573266	0.9960817657423182	80.51267968573266	6	false	28
28	15	15	1	99	1560	12480	0	0	84.80217483287825	84.80217483287825	84.80217483287825	84.80217483287825	84.80217483287825	0.9960817657423182	84.80217483287825	6	false	15
29	15	15	1	99	1560	12480	0	0	88.13426412516607	88.13426412516607	88.13426412516607	88.13426412516607	88.13426412516607	0.9960817657423182	88.13426412516607	6	false	7
30	15	14	12	1140	18720	149760	0	0	79.94593944791247	79.94593944791247	79.94593944791247	79.94593944791247	75.20573891589743,78.50313803598324,79.6661078468013,79.6661078468013,79.70225659010829,79.70225659010829,79.70225659010829,79.70225659010829,79.70225659010829,79.70225659010829,79.94593944791247,79.94593944791247	0.9959217654498799	79.94593944791247	9	false	10
31	15	14	7	665	10920	87360	0	0	78.71012237554471	78.71012237554471	78.71012237554471	78.71012237554471	78.67696692409137,78.67696692409137,78.67696692409137,78.67696692409137,78.67696692409137,78.71012237554471,78.71012237554471	0.9957118678763863	78.71012237554471	9	false	37
32	16	16	75	7725	117000	936000	0	0	88.18963250350038	88.18963250350038	88.18963250350038	88.18963250350038	84.01498954407411,82.76612725474617,82.76612725474617,82.76612725474617,83.74043433902997,84.57009451446531,85.05871195362153,85.54440322992662,83.14723116758297,85.00864093556527,84.90414097064196,84.90414097064196,85.8941942685524,85.8941942685524,85.8941942685524,85.8941942685524,85.8941942685524,85.8941942685524,87.1717540329239,87.1717540329239,87.1717540329239,87.26237456752094,87.26237456752094,87.26237456752094,87.26237456752094,87.26237456752094,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.2779361775535,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.27840805627358,87.31346834753927,87.31770256375887,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,87.93867020711201,88.02827931001298,88.02827931001298,88.18963250350038,88.18963250350038	0.9955252557007185	88.18963250350038	5	false	120
33	17	16	5	515	7800	62400	0	0	91.32714821655715	91.32714821655715	91.32714821655715	91.32714821655715	90.13462745347536,90.13462745347536,90.13462745347536,91.32714821655715,91.32714821655715	0.9953949378934208	91.32714821655715	5	false	46
34	17	16	2	206	3120	24960	0	0	88.51146539835494	88.51146539835494	88.51146539835494	88.51146539835494	88.51146539835494,88.51146539835494	0.9952948143382488	88.51146539835494	5	false	7
