# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 11
# run: b84fae1e-5208-450d-a946-f86e37d1e51d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	21	2079	32760	262080	0	0	64.65158423563923	64.65158423563923	64.65158423563923	64.65158423563923	27.00855474918732,45.88836190656862,49.93630305536678,53.051234795684906,53.051234795684906,53.81271805571471,43.911958865678756,47.82451531310683,48.73592974805453,53.50764849267831,57.073576002065096,63.72776600650906,63.72776600650906,64.58321775854341,64.58321775854341,64.58321775854341,64.58321775854341,64.58321775854341,64.58321775854341,64.65158423563923,64.65158423563923	0.9960817657423182	64.65158423563923	7	false	411
26	15	15	1	99	1560	12480	0	0	76.55902660920106	76.55902660920106	76.55902660920106	76.55902660920106	76.55902660920106	0.9960817657423182	76.55902660920106	7	false	47
27	15	15	1	99	1560	12480	0	0	81.34643029786331	81.34643029786331	81.34643029786331	81.34643029786331	81.34643029786331	0.9960817657423182	81.34643029786331	7	false	10
28	15	15	1	99	1560	12480	0	0	83.13214318080857	83.13214318080857	83.13214318080857	83.13214318080857	83.13214318080857	0.9958718681688247	83.13214318080857	7	false	30
29	16	16	34	3502	53040	424320	0	0	81.7258482498352	81.7258482498352	81.7258482498352	81.7258482498352	78.9041142238033,66.42178560582882,68.0082631457572,70.55901536685182,71.23679411752335,77.85087641678504,75.75771741922819,75.75771741922819,76.86192445638196,77.66227970369017,77.7194255489462,79.81235076221122,79.81235076221122,81.00810726473672,81.00810726473672,81.02401011541757,81.02401011541757,81.02401011541757,81.02401011541757,81.02401011541757,81.02401011541757,81.02401011541757,81.13853447496713,81.13853447496713,79.92693378930628,74.30072304434029,75.06784819786932,75.06784819786932,78.10057778320014,78.10057778320014,78.10057778320014,80.41786158332108,81.7258482498352,81.7258482498352	0.9955312141306174	81.7258482498352	6	false	76
30	17	17	37	3959	57720	461760	0	0	81.71270086313042	81.71270086313042	81.71270086313042	81.71270086313042	81.31927145003228,69.28865111723361,60.043883121526164,64.63103572988143,72.913759974178,73.76675786184728,75.77545058261539,75.26113923776909,75.26113923776909,73.94875579413798,76.60896346774362,78.7162314520679,78.7162314520679,78.88649306546807,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,79.9306997587522,80.26725064824657,80.26725064824657,80.26725064824657,80.26725064824657,80.26725064824657,81.71270086313042,81.71270086313042	0.9952533612124491	81.71270086313042	3	false	79
31	17	17	1	107	1560	12480	0	0	86.61733596713499	86.61733596713499	86.61733596713499	86.61733596713499	86.61733596713499	0.9952533612124491	86.61733596713499	3	false	18
32	20	20	15	1785	23400	187200	0	0	96.85424081130927	96.85424081130927	96.85424081130927	96.85424081130927	85.54439140622677,87.9761693993597,89.74474204520783,91.74161955765187,90.45703564260202,92.92270963067044,93.60537536893632,93.60537536893632,93.60537536893632,93.60537536893632,96.58919119801634,96.58919119801634,96.63836876075132,96.85424081130927,96.85424081130927	0.9947698145210228	96.85424081130927	1	true	35
33	20	20	34	4046	53040	424320	0	0	91.51712677125407	91.51712677125407	91.51712677125407	91.51712677125407	88.387941536579,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.41757638283492,91.51712677125407,91.51712677125407	0.994037585629583	91.51712677125407	3	false	68
34	21	21	24	2952	37440	299520	0	0	86.76546500079228	86.76546500079228	86.76546500079228	86.76546500079228	80.84534268961116,82.11544014143591,82.11544014143591,84.99276157434332,85.8304412113827,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.15823254689708,86.47023416079345,86.47023416079345,84.91106901314902,84.91106901314902,84.91106901314902,84.91106901314902,86.76546500079228,86.76546500079228	0.9933785028622396	86.76546500079228	4	false	39
35	21	21	4	492	6240	49920	0	0	85.14062882314907	85.14062882314907	85.14062882314907	85.14062882314907	81.90518911852664,82.70593744250758,85.14062882314907,85.14062882314907	0.9930950205072342	85.14062882314907	4	false	9
36	23	23	20	2620	31200	249600	0	0	90.63122016286019	90.63122016286019	90.63122016286019	90.63122016286019	88.18737145388357,86.11396446014218,84.50244514115657,82.54893621201194,82.54893621201194,86.20985439527351,86.20985439527351,86.91229480790778,84.17737369621251,84.19426541200018,84.19426541200018,84.19426541200018,84.19426541200018,89.70381799481109,89.70381799481109,89.70381799481109,89.70381799481109,89.70381799481109,90.63122016286019,90.63122016286019	0.9928066763658695	90.63122016286019	2	true	45
37	23	22	47	5969	73320	586560	0	0	87.58384164665752	87.58384164665752	87.58384164665752	87.58384164665752	84.3327030568849,84.3327030568849,84.3327030568849,84.3327030568849,84.3327030568849,84.3327030568849,83.61135868198706,83.61135868198706,83.61135868198706,87.58361317667176,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58373343749837,87.58384164665752,87.58384164665752	0.9926517206337139	87.58384164665752	3	false	54
38	25	24	5	675	7800	62400	0	0	95.60712779059796	95.60712779059796	95.60712779059796	95.60712779059796	93.96350566605898,94.66363660257508,94.66363660257508,95.60712779059796,95.60712779059796	0.992492634210892	95.60712779059796	0	true	19
39	25	22	3	381	4680	37440	0	0	88.78666719310334	88.78666719310334	88.78666719310334	88.78666719310334	86.79245520863047,88.78666719310334,88.78666719310334	0.9924982270929443	88.78666719310334	3	false	10
40	25	21	6	738	9360	74880	0	0	86.01411801013167	86.01411801013167	86.01411801013167	86.01411801013167	84.73550166291871,84.73550166291871,84.73550166291871,84.01464212476982,86.01411801013167,86.01411801013167	0.992536719281187	86.01411801013167	4	false	35
41	25	19	26	2990	40560	324480	0	0	72.25314293451224	72.25314293451224	72.25314293451224	72.25314293451224	68.14931887699464,69.56359527214993,71.81657995785207,71.81657995785207,71.81657995785207,71.81657995785207,69.8602794168282,71.94348003399027,71.94348003399027,71.94348003399027,71.94348003399027,71.94348003399027,71.94348003399027,71.94348003399027,71.94348003399027,71.94348003399027,71.94348003399027,71.97566022143383,71.97566022143383,71.97566022143383,71.97566022143383,71.97566022143383,71.97566022143383,71.97566022143383,72.25314293451224,72.25314293451224	0.9922602554448354	72.25314293451224	8	false	48
42	26	19	27	3105	42120	336960	0	0	71.72211300537349	71.72211300537349	71.72211300537349	71.72211300537349	58.81533979570213,60.877323895984375,60.877323895984375,62.580304257047814,63.623352646952426,64.84313762762592,66.83015039397314,68.2051065802561,67.99333073155103,68.01517967152526,68.01517967152526,68.01517967152526,68.01517967152526,68.01517967152526,70.07592259284431,71.16601033217472,71.16601033217472,71.16601033217472,70.42872110120008,70.42872110120008,70.4761423641279,71.19090636874286,71.19090636874286,71.19090636874286,71.19090636874286,71.72211300537349,71.72211300537349	0.9916944604879334	71.72211300537349	7	false	46
43	26	16	32	3296	49920	399360	0	0	46.90498724643639	47.493466775197284	46.90498724643639	47.816553545650706	43.94105223267422,46.79384762333188,47.46063486911475,47.493466775197284,47.493466775197284,47.493466775197284,45.526424408139974,45.82803186879953,46.5009485491709,46.40022874789449,44.00024215793226,44.00024215793226,44.00024215793226,40.84581338194327,40.526012614306836,37.18993804054576,40.926899088449034,43.65727831806298,43.65727831806298,43.638933481172415,43.638933481172415,42.02714157458174,42.81055594045771,43.53361878972082,43.53361878972082,44.25026809398041,44.25026809398041,44.25026809398041,44.25026809398041,45.1320135302002,46.90498724643639,46.90498724643639	0.9916059979090662	47.493466775197284	13	false	51
44	26	17	4	428	6240	49920	0	0	54.86153879439618	54.86153879439618	54.86153879439618	54.86153879439618	53.46692482490664,54.538445686837505,54.86153879439618,54.86153879439618	0.9915892192629093	54.86153879439618	11	false	8
45	26	14	55	5225	85800	686400	0	0	28.138026855932488	28.138026855932488	28.138026855932488	28.138026855932488	20.309704523967387,22.269585011458467,23.254737187589633,23.254737187589633,23.254737187589633,24.527554969074416,25.8352539521056,26.22834464543547,26.254978543483176,26.25945962374719,26.321995819195088,26.704903618924106,26.704903618924106,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,26.992987122704086,27.829415355683288,28.093143840203524,28.093143840203524,28.13692190082771,28.13692190082771,28.13692190082771,28.13692190082771,28.138026855932488,28.138026855932488	0.9916955936862575	28.138026855932488	17	false	52
46	26	14	1	95	1560	12480	0	0	31.5703073831938	31.5703073831938	31.5703073831938	31.5703073831938	31.5703073831938	0.9916955936862575	31.5703073831938	17	false	6
47	26	11	25	2075	39000	312000	0	0	5.0094332875647005	5.0094332875647005	5.0094332875647005	5.0094332875647005	-5.820777691213934,-2.982717570799416,1.1344438326632726,2.974357551937935,2.974357551937935,4.231630956481897,3.9593313206060046,3.9593313206060046,3.9593313206060046,2.501726161560276,2.501726161560276,3.8986926603944028,3.8986926603944028,4.34001646304721,4.34001646304721,4.34001646304721,4.649681281760518,4.649681281760518,4.649681281760518,4.649681281760518,4.649681281760518,4.704325585745298,3.9836582944243553,5.0094332875647005,5.0094332875647005	0.9918555208691265	5.0094332875647005	21	false	22
