# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 7
# run: e18db66c-a328-4c15-8014-0c1ce52a372d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	35	3465	54600	436800	0	0	64.95338821136112	64.95338821136112	64.95338821136112	64.95338821136112	26.27935194118988,33.10107639270295,43.4331178737591,49.45640877989064,53.401209333361415,55.37377921161181,58.106424412837306,58.106424412837306,58.106424412837306,62.55212145473746,62.55212145473746,63.6296115716668,63.6296115716668,64.73685298114309,64.73685298114309,64.73685298114309,64.73685298114309,64.73685298114309,64.73685298114309,64.75043495604176,64.75043495604176,64.75043495604176,64.76834468402042,64.88556593517255,64.88556593517255,64.88556593517255,64.88556593517255,64.88556593517255,64.88556593517255,64.88556593517255,64.88556593517255,64.88556593517255,64.88556593517255,64.95338821136112,64.95338821136112	0.9960817657423182	64.95338821136112	7	false	499
26	15	15	1	99	1560	12480	0	0	76.78094894368111	76.78094894368111	76.78094894368111	76.78094894368111	76.78094894368111	0.9960817657423182	76.78094894368111	7	false	53
27	15	15	1	99	1560	12480	0	0	79.09795695842111	79.09795695842111	79.09795695842111	79.09795695842111	79.09795695842111	0.9958718681688247	79.09795695842111	7	false	17
28	17	17	28	2996	43680	349440	0	0	81.99627208010241	81.99627208010241	81.99627208010241	81.99627208010241	75.68008037238168,79.41855645900576,80.29731641950224,80.29731641950224,80.29731641950224,80.29731641950224,80.29731641950224,80.29731641950224,80.29731641950224,80.29731641950224,81.10549859131208,81.10671639615336,81.10671639615336,81.10671639615336,81.89007375289728,81.89007375289728,81.89007375289728,81.89007375289728,81.9194213416246,81.9194213416246,81.9194213416246,81.9194213416246,81.9194213416246,81.9194213416246,81.9194213416246,81.9194213416246,81.99627208010241,81.99627208010241	0.9952702495229601	81.99627208010241	4	false	63
29	17	17	1	107	1560	12480	0	0	86.9081793200163	86.9081793200163	86.9081793200163	86.9081793200163	86.9081793200163	0.9952702495229601	86.9081793200163	4	false	28
30	20	20	24	2856	37440	299520	0	0	96.48156296120875	96.48156296120875	96.48156296120875	96.48156296120875	91.14105595774247,93.91950360460483,93.91950360460483,94.60831606227747,94.60831606227747,94.60831606227747,94.60831606227747,94.67590544412887,95.60409015945079,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,95.70334441026067,96.48156296120875,96.48156296120875	0.9948494308420032	96.48156296120875	0	true	25
31	20	18	11	1221	17160	137280	0	0	85.59177176421441	85.59177176421441	85.59177176421441	85.59177176421441	81.61875031822765,81.61875031822765,84.53772927475251,84.53772927475251,85.59007079067723,85.59007079067723,85.59007079067723,85.59007079067723,85.59007079067723,85.59177176421441,85.59177176421441	0.9944590257418794	85.59177176421441	5	false	30
32	21	20	32	3808	49920	399360	0	0	83.70093628410348	83.70093628410348	83.70093628410348	83.70093628410348	76.7285695930755,74.72878009810829,75.13828637106924,75.13828637106924,74.52713876089462,76.35630064200038,76.35630064200038,78.27632352259914,81.3265344835192,81.3265344835192,81.3265344835192,81.3265344835192,81.3265344835192,81.63491035372978,82.56371562165555,82.56371562165555,82.56371562165555,82.56371562165555,82.56371562165555,82.56371562165555,83.59296202115291,83.66034538212779,83.66034538212779,83.66034538212779,83.66034538212779,83.66034538212779,83.66034538212779,83.66034538212779,83.66034538212779,83.66034538212779,83.70093628410348,83.70093628410348	0.9936215190706312	83.70093628410348	5	false	54
33	23	21	15	1845	23400	187200	0	0	84.99496152861543	84.99496152861543	84.99496152861543	84.99496152861543	69.85399854382676,69.79797916814344,78.26127761552983,80.19623104062099,80.29819047260584,83.30897911276845,83.30897911276845,83.91687488896822,83.91687488896822,83.91687488896822,83.91687488896822,83.9200649635204,83.9200649635204,84.99496152861543,84.99496152861543	0.9929723792047142	84.99496152861543	3	false	19
34	23	22	3	381	4680	37440	0	0	89.64380738961275	89.64380738961275	89.64380738961275	89.64380738961275	88.74408615916107,89.64380738961275,89.64380738961275	0.992955600558557	89.64380738961275	2	true	27
