# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 8
# run: e95fc855-07cc-4e75-958b-0e0aeb20a10d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	35	3465	54600	436800	0	0	63.9582374096902	63.9582374096902	63.9582374096902	63.9582374096902	15.414233245464189,19.788950406225375,24.879705801011937,28.57896936153338,35.842368276631255,39.761820795986566,45.5100789983684,45.5100789983684,48.89903009309499,52.967553322034405,52.967553322034405,59.56670072398816,61.24618368358746,62.503237622254176,62.503237622254176,62.503237622254176,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.64259968120267,63.71027990438664,63.71027990438664,63.71027990438664,63.71027990438664,63.71027990438664,63.9582374096902,63.9582374096902	0.9960817657423182	63.9582374096902	7	false	538
26	15	15	1	99	1560	12480	0	0	75.62046724136073	75.62046724136073	75.62046724136073	75.62046724136073	75.62046724136073	0.9960817657423182	75.62046724136073	7	false	45
27	15	15	1	99	1560	12480	0	0	77.99565838450657	77.99565838450657	77.99565838450657	77.99565838450657	77.99565838450657	0.9958718681688247	77.99565838450657	7	false	25
28	17	17	41	4387	63960	511680	0	0	81.28276893925819	81.28276893925819	81.28276893925819	81.28276893925819	78.43817006642087,70.44996410817063,71.73463493425858,74.18153497387063,74.33704465133862,74.56634335456083,74.56634335456083,78.40391555474538,78.71703269774542,79.72403806914087,79.89162150357055,79.89162150357055,79.89162150357055,79.89162150357055,79.89162150357055,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,80.77401706721884,81.01174266756205,81.01174266756205,81.01174266756205,81.28276893925819,81.28276893925819	0.9952702495229601	81.28276893925819	4	false	93
29	17	17	1	107	1560	12480	0	0	86.27345259632423	86.27345259632423	86.27345259632423	86.27345259632423	86.27345259632423	0.9952702495229601	86.27345259632423	4	false	16
30	20	20	20	2380	31200	249600	0	0	96.29239502188966	96.29239502188966	96.29239502188966	96.29239502188966	88.5794475135967,90.28704512576411,92.07516765450382,93.99932347797278,93.99932347797278,93.99932347797278,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,95.39228838828348,96.29239502188966,96.29239502188966	0.9948494308420032	96.29239502188966	0	true	41
31	20	20	5	595	7800	62400	0	0	97.82336933662741	97.82336933662741	97.82336933662741	97.82336933662741	95.73994294942699,95.73994294942699,95.73994294942699,97.82336933662741,97.82336933662741	0.9947698145210228	97.82336933662741	1	true	24
32	21	21	31	3813	48360	386880	0	0	85.64416818601183	85.64416818601183	85.64416818601183	85.64416818601183	76.62311467881581,78.42359514071418,79.6328476157825,81.55479202413875,83.553375558877,83.553375558877,83.553375558877,83.553375558877,83.553375558877,83.553375558877,83.553375558877,83.553375558877,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.60130899671148,85.64416818601183,85.64416818601183	0.993433993025347	85.64416818601183	2	true	64
33	22	22	23	2921	35880	287040	0	0	84.62457032021696	84.85330815047014	84.62457032021696	86.26470500359234	81.44830997227456,82.46165287958115,79.86496874429022,79.86496874429022,84.18413189257679,84.85330815047014,83.28016745361792,77.06155654562065,77.06155654562065,81.56085391563317,81.56085391563317,81.56085391563317,81.56085391563317,83.49682295888839,83.49682295888839,83.49682295888839,83.51625275423278,83.26524014573874,84.29491794633334,84.29491794633334,84.29491794633334,84.62457032021696,84.62457032021696	0.9929764367858108	84.85330815047014	2	true	37
34	22	21	16	1968	24960	199680	0	0	86.2738844774727	86.2738844774727	86.2738844774727	86.2738844774727	83.59168820781444,83.59168820781444,84.86953836020346,84.86953836020346,84.86953836020346,84.28227097635245,86.27370298677015,86.27370298677015,86.27370298677015,86.27370298677015,86.27370298677015,86.27370298677015,86.27370298677015,86.27370298677015,86.2738844774727,86.2738844774727	0.992993215431968	86.2738844774727	2	false	23
