# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: f56df1d3-ea2d-4ee0-bbdb-34509c6f0f1a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	48	4752	74880	599040	0	0	64.54317327330408	64.54317327330408	64.54317327330408	64.54317327330408	14.738273901829423,25.384049285914728,37.354353732230116,40.37695914672261,45.86966189989002,55.77138371328751,55.957364702476106,59.07982468382229,59.760799918729454,61.77194922046549,61.73355409857854,61.50165036982757,54.476711099779635,56.468204022473515,56.468204022473515,59.2222800431154,61.54348639795076,61.54348639795076,61.54348639795076,62.809502339043036,62.809502339043036,62.809502339043036,62.809502339043036,64.51867648581792,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.53069218781722,64.54317327330408,64.54317327330408	0.9960817657423182	64.54317327330408	7	false	582
26	15	15	1	99	1560	12480	0	0	76.39178589695088	76.39178589695088	76.39178589695088	76.39178589695088	76.39178589695088	0.9960817657423182	76.39178589695088	7	false	40
27	15	15	5	495	7800	62400	0	0	77.72374131229039	77.72374131229039	77.72374131229039	77.72374131229039	76.79524090717514,76.79524090717514,76.79524090717514,77.72374131229039,77.72374131229039	0.9959128826372083	77.72374131229039	8	false	26
28	18	18	14	1554	21840	174720	0	0	87.17225934031553	87.17225934031553	87.17225934031553	87.17225934031553	80.77842906877754,80.77842906877754,83.38041148449588,86.0825808096669,84.37787681336157,83.08609441342725,83.08609441342725,83.08609441342725,85.0461999681746,85.0461999681746,85.0461999681746,87.0434467580449,87.17225934031553,87.17225934031553	0.9953460275915513	87.17225934031553	3	false	31
29	19	19	14	1610	21840	174720	0	0	91.8739960196517	91.8739960196517	91.8739960196517	91.8739960196517	80.9752828730543,81.569799029532,81.569799029532,82.26751151491382,86.71819698532477,86.71819698532477,88.76067890543392,88.76067890543392,88.76067890543392,91.5684706714925,91.73301240188432,90.63493892366326,91.8739960196517,91.8739960196517	0.9950738772197893	91.8739960196517	2	true	36
30	20	20	6	714	9360	74880	0	0	94.53250748375315	94.53250748375315	94.53250748375315	94.53250748375315	88.09539981102924,92.59549345010544,90.574548548666,93.66104868949769,94.53250748375315,94.53250748375315	0.9947698145210228	94.53250748375315	0	true	20
31	20	20	3	357	4680	37440	0	0	94.41945345262221	94.41945345262221	94.41945345262221	94.41945345262221	89.4370738129295,94.41945345262221,94.41945345262221	0.9944151600002925	94.41945345262221	2	true	29
32	23	23	14	1834	21840	174720	0	0	96.18558445446159	96.18558445446159	96.18558445446159	96.18558445446159	92.19747786572349,82.81237321875041,83.58738960219523,90.45176780757062,90.45176780757062,90.45482932352077,90.45482932352077,90.45482932352077,93.36524307644778,95.2458569295332,95.2458569295332,96.15736245929926,96.18558445446159,96.18558445446159	0.9933362455311775	96.18558445446159	1	true	25
33	23	22	5	635	7800	62400	0	0	88.68078502507726	88.68078502507726	88.68078502507726	88.68078502507726	85.44857880978276,86.2487899415894,86.2487899415894,88.68078502507726,88.68078502507726	0.9928234550120266	88.68078502507726	4	true	40
34	24	23	4	524	6240	49920	0	0	93.93096235132742	93.93096235132742	93.93096235132742	93.93096235132742	92.60956364255222,92.60956364255222,93.93096235132742,93.93096235132742	0.9928097835225651	93.93096235132742	2	true	10
35	25	25	16	2224	24960	199680	0	0	98.02850948717871	98.02850948717871	98.02850948717871	98.02850948717871	93.87938208192037,91.07405695944622,93.97386245549185,93.97386245549185,94.61642370614771,94.61642370614771,94.61642370614771,95.34359540715725,95.34359540715725,95.34359540715725,96.73745734588272,96.73745734588272,96.73745734588272,96.73745734588272,98.02850948717871,98.02850948717871	0.9924376923695543	98.02850948717871	1	true	18
36	26	24	11	1485	17160	137280	0	0	94.6631109453049	94.6631109453049	94.6631109453049	94.6631109453049	91.52944207616108,93.68458650177529,93.68458650177529,93.68458650177529,93.68458650177529,93.68458650177529,93.68458650177529,93.68458650177529,93.68458650177529,94.6631109453049,94.6631109453049	0.9923177561210988	94.6631109453049	3	true	12
37	27	24	33	4455	51480	411840	0	0	93.75270855024763	93.75270855024763	93.75270855024763	93.75270855024763	80.19984508502951,83.15590776127917,85.78200062784715,85.78200062784715,89.60660529267997,91.64049768944395,91.64049768944395,91.64049768944395,92.44053203788214,92.44053203788214,92.44053203788214,92.44053203788214,92.44053203788214,92.44053203788214,92.44053203788214,92.44053203788214,92.44053203788214,92.44053203788214,93.7518753125438,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75220377603509,93.75270855024763,93.75270855024763	0.9923424306007416	93.75270855024763	3	true	29
